ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Michael Benjamin Younan,Michael Benjamin Younan Percent,Morris Shanfield,Morris Shanfield Percent,precinct_id
40,3,446,389,87.22,33,7.4,24,5.38,40003
40,4,360,301,83.61,36,10.0,23,6.39,40004
40,7,447,387,86.58,30,6.71,30,6.71,40007
40,8,116,88,75.86,23,19.83,5,4.31,40008
40,9,352,282,80.11,59,16.76,11,3.13,40009
40,11,383,313,81.72,43,11.23,27,7.05,40011
40,12,283,246,86.93,28,9.89,9,3.18,40012
40,13,471,387,82.17,50,10.62,34,7.22,40013
40,16,389,325,83.55,47,12.08,17,4.37,40016
40,18,476,409,85.92,56,11.76,11,2.31,40018
40,22,270,225,83.33,37,13.7,8,2.96,40022
40,26,414,358,86.47,30,7.25,26,6.28,40026
40,27,333,290,87.09,30,9.01,13,3.9,40027
40,28,491,416,84.73,47,9.57,28,5.7,40028
40,33,421,350,83.14,52,12.35,19,4.51,40033
40,35,418,318,76.08,83,19.86,17,4.07,40035
40,37,296,244,82.43,43,14.53,9,3.04,40037
40,39,331,259,78.25,64,19.34,8,2.42,40039
40,41,444,370,83.33,48,10.81,26,5.86,40041
40,42,476,392,82.35,63,13.24,21,4.41,40042
40,43,464,374,80.6,64,13.79,26,5.6,40043
40,46,466,394,84.55,56,12.02,16,3.43,40046
40,47,410,359,87.56,28,6.83,23,5.61,40047
41,1,508,312,61.42,179,35.24,17,3.35,41001
41,2,513,318,61.99,184,35.87,11,2.14,41002
41,4,507,308,60.75,185,36.49,14,2.76,41004
41,5,624,412,66.03,195,31.25,17,2.72,41005
41,7,538,369,68.59,154,28.62,15,2.79,41007
41,8,491,317,64.56,157,31.98,17,3.46,41008
41,11,508,332,65.35,155,30.51,21,4.13,41011
41,13,263,165,62.74,91,34.6,7,2.66,41013
41,15,520,358,68.85,146,28.08,16,3.08,41015
41,17,469,316,67.38,133,28.36,20,4.26,41017
41,18,424,277,65.33,136,32.08,11,2.59,41018
41,20,456,287,62.94,155,33.99,14,3.07,41020
41,25,322,249,77.33,65,20.19,8,2.48,41025
41,26,206,126,61.17,79,38.35,1,0.49,41026
41,27,206,157,76.21,41,19.9,8,3.88,41027
41,28,510,358,70.2,133,26.08,19,3.73,41028
41,29,306,230,75.16,67,21.9,9,2.94,41029
41,31,495,348,70.3,140,28.28,7,1.41,41031
41,32,338,207,61.24,125,36.98,6,1.78,41032
41,33,369,236,63.96,127,34.42,6,1.63,41033
41,34,375,217,57.87,145,38.67,13,3.47,41034
41,36,463,302,65.23,151,32.61,10,2.16,41036
41,37,515,318,61.75,183,35.53,14,2.72,41037
41,40,502,319,63.55,169,33.67,14,2.79,41040
41,41,489,334,68.3,145,29.65,10,2.04,41041
41,42,527,351,66.6,162,30.74,14,2.66,41042
41,43,469,327,69.72,127,27.08,15,3.2,41043
41,45,454,326,71.81,115,25.33,13,2.86,41045
41,48,331,247,74.62,77,23.26,7,2.11,41048
41,49,543,324,59.67,206,37.94,13,2.39,41049
41,52,578,359,62.11,205,35.47,14,2.42,41052
41,55,454,284,62.56,148,32.6,22,4.85,41055
41,56,530,346,65.28,169,31.89,15,2.83,41056
44,3,407,329,80.84,68,16.71,10,2.46,44003
44,4,406,327,80.54,71,17.49,8,1.97,44004
44,7,489,373,76.28,100,20.45,16,3.27,44007
44,18,27,17,62.96,9,33.33,1,3.7,44018
44,35,367,286,77.93,67,18.26,14,3.81,44035
44,48,298,222,74.5,70,23.49,6,2.01,44048
44,49,717,562,78.38,136,18.97,19,2.65,44049
46,1,659,536,81.34,102,15.48,21,3.19,46001
46,2,532,436,81.95,54,10.15,42,7.89,46002
46,4,473,391,82.66,59,12.47,23,4.86,46004
46,6,540,447,82.78,67,12.41,26,4.81,46006
46,7,386,310,80.31,52,13.47,24,6.22,46007
46,8,476,402,84.45,56,11.76,18,3.78,46008
46,9,558,438,78.49,80,14.34,40,7.17,46009
46,10,465,354,76.13,83,17.85,28,6.02,46010
46,11,551,446,80.94,87,15.79,18,3.27,46011
46,12,570,483,84.74,47,8.25,40,7.02,46012
46,14,449,375,83.52,36,8.02,38,8.46,46014
46,15,576,443,76.91,109,18.92,24,4.17,46015
46,16,446,344,77.13,70,15.7,32,7.17,46016
46,19,613,531,86.62,45,7.34,37,6.04,46019
46,20,394,336,85.28,39,9.9,19,4.82,46020
46,21,228,188,82.46,25,10.96,15,6.58,46021
46,22,373,292,78.28,54,14.48,27,7.24,46022
46,23,375,344,91.73,18,4.8,13,3.47,46023
46,25,628,485,77.23,116,18.47,27,4.3,46025
46,26,526,441,83.84,60,11.41,25,4.75,46026
46,27,672,507,75.45,131,19.49,34,5.06,46027
46,28,643,490,76.21,137,21.31,16,2.49,46028
46,30,522,403,77.2,93,17.82,26,4.98,46030
46,32,355,281,79.15,62,17.46,12,3.38,46032
46,33,553,438,79.2,87,15.73,28,5.06,46033
46,34,548,483,88.14,49,8.94,16,2.92,46034
46,35,573,438,76.44,105,18.32,30,5.24,46035
46,38,398,335,84.17,42,10.55,21,5.28,46038
46,39,576,449,77.95,108,18.75,19,3.3,46039
46,40,388,324,83.51,45,11.6,19,4.9,46040
46,41,479,389,81.21,73,15.24,17,3.55,46041
46,42,517,434,83.95,60,11.61,23,4.45,46042
46,45,562,450,80.07,89,15.84,23,4.09,46045
46,46,419,351,83.77,49,11.69,19,4.53,46046
46,47,273,230,84.25,27,9.89,16,5.86,46047
48,1,513,426,83.04,62,12.09,25,4.87,48001
48,2,362,291,80.39,53,14.64,18,4.97,48002
48,3,654,564,86.24,58,8.87,32,4.89,48003
48,4,513,390,76.02,103,20.08,20,3.9,48004
48,5,359,274,76.32,76,21.17,9,2.51,48005
48,6,578,498,86.16,54,9.34,26,4.5,48006
48,7,398,335,84.17,40,10.05,23,5.78,48007
48,8,326,249,76.38,63,19.33,14,4.29,48008
48,9,395,293,74.18,87,22.03,15,3.8,48009
48,10,327,278,85.02,34,10.4,15,4.59,48010
48,11,508,434,85.43,48,9.45,26,5.12,48011
48,12,493,424,86.0,51,10.34,18,3.65,48012
48,13,381,309,81.1,55,14.44,17,4.46,48013
48,14,495,378,76.36,94,18.99,23,4.65,48014
48,15,369,305,82.66,41,11.11,23,6.23,48015
48,16,436,367,84.17,56,12.84,13,2.98,48016
48,17,568,459,80.81,83,14.61,26,4.58,48017
48,18,350,310,88.57,29,8.29,11,3.14,48018
48,19,357,304,85.15,38,10.64,15,4.2,48019
48,20,258,212,82.17,40,15.5,6,2.33,48020
48,21,455,390,85.71,38,8.35,27,5.93,48021
48,22,494,405,81.98,80,16.19,9,1.82,48022
48,23,361,305,84.49,43,11.91,13,3.6,48023
48,24,350,300,85.71,26,7.43,24,6.86,48024
48,25,481,383,79.63,78,16.22,20,4.16,48025
48,26,467,382,81.8,73,15.63,12,2.57,48026
48,27,286,238,83.22,35,12.24,13,4.55,48027
48,28,320,256,80.0,48,15.0,16,5.0,48028
48,29,283,221,78.09,50,17.67,12,4.24,48029
48,30,405,338,83.46,39,9.63,28,6.91,48030
48,31,424,373,87.97,31,7.31,20,4.72,48031
48,32,440,370,84.09,28,6.36,42,9.55,48032
48,33,308,252,81.82,50,16.23,6,1.95,48033
48,34,465,389,83.66,55,11.83,21,4.52,48034
48,35,199,160,80.4,27,13.57,12,6.03,48035
48,36,337,274,81.31,55,16.32,8,2.37,48036
48,37,420,348,82.86,49,11.67,23,5.48,48037
48,38,430,366,85.12,50,11.63,14,3.26,48038
48,39,351,287,81.77,52,14.81,12,3.42,48039
48,40,349,301,86.25,37,10.6,11,3.15,48040
48,41,366,303,82.79,40,10.93,23,6.28,48041
48,42,366,325,88.8,23,6.28,18,4.92,48042
48,43,586,503,85.84,56,9.56,27,4.61,48043
48,44,543,475,87.48,51,9.39,17,3.13,48044
48,45,363,309,85.12,35,9.64,19,5.23,48045
48,46,363,306,84.3,38,10.47,19,5.23,48046
48,47,472,416,88.14,34,7.2,22,4.66,48047
48,48,450,381,84.67,54,12.0,15,3.33,48048
48,49,214,182,85.05,21,9.81,11,5.14,48049
48,50,476,410,86.13,42,8.82,24,5.04,48050
48,51,530,433,81.7,69,13.02,28,5.28,48051
48,52,385,323,83.9,40,10.39,22,5.71,48052
48,53,243,201,82.72,31,12.76,11,4.53,48053
48,54,424,368,86.79,37,8.73,19,4.48,48054
49,1,480,448,93.33,22,4.58,10,2.08,49001
49,2,536,440,82.09,78,14.55,18,3.36,49002
49,3,306,267,87.25,20,6.54,19,6.21,49003
49,4,231,206,89.18,14,6.06,11,4.76,49004
49,5,460,406,88.26,36,7.83,18,3.91,49005
49,6,499,411,82.36,63,12.63,25,5.01,49006
49,7,359,300,83.57,36,10.03,23,6.41,49007
49,8,490,427,87.14,51,10.41,12,2.45,49008
49,9,359,302,84.12,32,8.91,25,6.96,49009
