ward,precinct,total,Kristyna Colleen Ryan,Kristyna Colleen Ryan Percent,Paula M. Lingo,Paula M. Lingo Percent,Frank James Ryan,Frank James Ryan Percent,precinct_id
1,1,172,65,37.79,69,40.12,38,22.09,01001
1,2,146,62,42.47,52,35.62,32,21.92,01002
1,3,121,36,29.75,61,50.41,24,19.83,01003
1,4,134,60,44.78,51,38.06,23,17.16,01004
1,5,149,59,39.6,69,46.31,21,14.09,01005
1,6,159,71,44.65,61,38.36,27,16.98,01006
1,7,135,56,41.48,51,37.78,28,20.74,01007
1,8,148,59,39.86,63,42.57,26,17.57,01008
1,9,150,58,38.67,59,39.33,33,22.0,01009
1,10,157,61,38.85,79,50.32,17,10.83,01010
1,11,113,55,48.67,47,41.59,11,9.73,01011
1,12,167,63,37.72,73,43.71,31,18.56,01012
1,13,181,64,35.36,78,43.09,39,21.55,01013
1,14,157,55,35.03,62,39.49,40,25.48,01014
1,15,127,51,40.16,54,42.52,22,17.32,01015
1,16,71,29,40.85,24,33.8,18,25.35,01016
1,17,126,57,45.24,53,42.06,16,12.7,01017
1,18,111,42,37.84,53,47.75,16,14.41,01018
1,19,133,43,32.33,63,47.37,27,20.3,01019
1,20,122,50,40.98,53,43.44,19,15.57,01020
1,21,121,41,33.88,59,48.76,21,17.36,01021
1,22,147,58,39.46,57,38.78,32,21.77,01022
1,23,131,51,38.93,54,41.22,26,19.85,01023
1,24,255,102,40.0,106,41.57,47,18.43,01024
1,25,114,39,34.21,54,47.37,21,18.42,01025
1,26,121,55,45.45,47,38.84,19,15.7,01026
1,27,77,36,46.75,28,36.36,13,16.88,01027
1,28,95,42,44.21,38,40.0,15,15.79,01028
1,29,126,58,46.03,47,37.3,21,16.67,01029
1,30,231,99,42.86,88,38.1,44,19.05,01030
1,31,147,62,42.18,63,42.86,22,14.97,01031
1,32,135,56,41.48,54,40.0,25,18.52,01032
1,33,146,60,41.1,62,42.47,24,16.44,01033
1,34,93,40,43.01,38,40.86,15,16.13,01034
1,35,87,30,34.48,43,49.43,14,16.09,01035
1,36,139,57,41.01,62,44.6,20,14.39,01036
1,37,106,42,39.62,48,45.28,16,15.09,01037
1,38,107,48,44.86,42,39.25,17,15.89,01038
1,39,158,76,48.1,50,31.65,32,20.25,01039
1,40,78,31,39.74,35,44.87,12,15.38,01040
1,41,144,55,38.19,67,46.53,22,15.28,01041
1,42,114,48,42.11,41,35.96,25,21.93,01042
1,43,108,43,39.81,51,47.22,14,12.96,01043
1,44,123,51,41.46,51,41.46,21,17.07,01044
1,45,163,61,37.42,77,47.24,25,15.34,01045
1,46,156,75,48.08,58,37.18,23,14.74,01046
1,47,145,62,42.76,61,42.07,22,15.17,01047
1,48,73,21,28.77,39,53.42,13,17.81,01048
1,49,63,20,31.75,33,52.38,10,15.87,01049
1,50,115,50,43.48,46,40.0,19,16.52,01050
2,1,243,107,44.03,97,39.92,39,16.05,02001
2,2,48,22,45.83,11,22.92,15,31.25,02002
2,3,208,72,34.62,72,34.62,64,30.77,02003
2,4,133,51,38.35,53,39.85,29,21.8,02004
2,5,211,100,47.39,77,36.49,34,16.11,02005
2,6,220,85,38.64,91,41.36,44,20.0,02006
2,7,264,96,36.36,105,39.77,63,23.86,02007
2,8,259,101,39.0,121,46.72,37,14.29,02008
2,9,181,66,36.46,66,36.46,49,27.07,02009
2,10,167,62,37.13,62,37.13,43,25.75,02010
2,11,293,82,27.99,175,59.73,36,12.29,02011
2,12,221,85,38.46,88,39.82,48,21.72,02012
2,13,215,78,36.28,88,40.93,49,22.79,02013
2,14,291,102,35.05,144,49.48,45,15.46,02014
2,15,102,46,45.1,32,31.37,24,23.53,02015
2,16,210,83,39.52,86,40.95,41,19.52,02016
2,17,160,56,35.0,63,39.38,41,25.63,02017
2,18,197,69,35.03,96,48.73,32,16.24,02018
2,19,205,82,40.0,91,44.39,32,15.61,02019
2,20,239,94,39.33,92,38.49,53,22.18,02020
2,21,202,71,35.15,85,42.08,46,22.77,02021
2,22,300,106,35.33,137,45.67,57,19.0,02022
2,23,158,68,43.04,45,28.48,45,28.48,02023
2,24,121,46,38.02,46,38.02,29,23.97,02024
2,25,273,117,42.86,113,41.39,43,15.75,02025
2,26,168,63,37.5,64,38.1,41,24.4,02026
2,27,149,59,39.6,61,40.94,29,19.46,02027
