ward,precinct,total,Anita Rivkin-Carothers,Anita Rivkin-Carothers Percent,Melanie Rose Nuby,Melanie Rose Nuby Percent,Kevin Kenneth Pechous,Kevin Kenneth Pechous Percent,T. Lee Boyd Jr.,T. Lee Boyd Jr. Percent,precinct_id
1,6,40,11,27.5,17,42.5,5,12.5,2,5.0,01006
2,2,47,19,40.43,14,29.79,3,6.38,8,17.02,02002
2,3,212,71,33.49,58,27.36,13,6.13,35,16.51,02003
2,4,150,42,28.0,57,38.0,10,6.67,32,21.33,02004
2,5,229,123,53.71,45,19.65,8,3.49,30,13.1,02005
2,6,221,83,37.56,58,26.24,16,7.24,19,8.6,02006
2,9,185,67,36.22,63,34.05,12,6.49,31,16.76,02009
2,10,168,49,29.17,60,35.71,11,6.55,34,20.24,02010
2,12,214,88,41.12,52,24.3,24,11.21,11,5.14,02012
2,13,216,106,49.07,40,18.52,15,6.94,31,14.35,02013
2,15,106,54,50.94,21,19.81,6,5.66,15,14.15,02015
2,16,208,78,37.5,55,26.44,17,8.17,21,10.1,02016
2,17,170,75,44.12,46,27.06,9,5.29,24,14.12,02017
2,23,161,62,38.51,40,24.84,11,6.83,38,23.6,02023
2,25,271,105,38.75,95,35.06,21,7.75,27,9.96,02025
2,27,166,68,40.96,39,23.49,10,6.02,31,18.67,02027
2,28,101,42,41.58,25,24.75,12,11.88,9,8.91,02028
2,29,124,65,52.42,28,22.58,2,1.61,17,13.71,02029
2,32,100,28,28.0,25,25.0,15,15.0,18,18.0,02032
2,33,139,63,45.32,33,23.74,9,6.47,21,15.11,02033
2,34,199,66,33.17,87,43.72,10,5.03,23,11.56,02034
2,39,206,87,42.23,69,33.5,11,5.34,26,12.62,02039
2,41,113,40,35.4,29,25.66,2,1.77,33,29.2,02041
2,42,90,36,40.0,16,17.78,4,4.44,23,25.56,02042
2,45,197,75,38.07,60,30.46,9,4.57,33,16.75,02045
2,47,131,63,48.09,37,28.24,6,4.58,19,14.5,02047
2,48,159,63,39.62,33,20.75,10,6.29,36,22.64,02048
2,50,122,61,50.0,28,22.95,15,12.3,8,6.56,02050
2,51,185,79,42.7,50,27.03,10,5.41,27,14.59,02051
2,52,235,92,39.15,68,28.94,14,5.96,39,16.6,02052
2,56,206,94,45.63,51,24.76,7,3.4,35,16.99,02056
22,7,202,63,31.19,37,18.32,8,3.96,69,34.16,22007
22,21,183,57,31.15,30,16.39,14,7.65,67,36.61,22021
24,1,265,111,41.89,75,28.3,10,3.77,46,17.36,24001
24,2,135,52,38.52,49,36.3,5,3.7,19,14.07,24002
24,3,167,56,33.53,67,40.12,7,4.19,27,16.17,24003
24,4,186,84,45.16,41,22.04,12,6.45,30,16.13,24004
24,5,133,65,48.87,28,21.05,5,3.76,24,18.05,24005
24,6,207,81,39.13,77,37.2,6,2.9,27,13.04,24006
24,7,149,94,63.09,23,15.44,7,4.7,16,10.74,24007
24,8,143,69,48.25,43,30.07,7,4.9,15,10.49,24008
24,9,171,62,36.26,53,30.99,10,5.85,25,14.62,24009
24,10,107,59,55.14,24,22.43,3,2.8,14,13.08,24010
24,11,110,40,36.36,31,28.18,12,10.91,17,15.45,24011
24,12,137,59,43.07,41,29.93,5,3.65,22,16.06,24012
