ward,precinct,total,Toni Preckwinkle,Toni Preckwinkle Percent,precinct_id
4,1,358,358,100.0,04001
4,2,407,407,100.0,04002
4,3,329,329,100.0,04003
4,4,248,248,100.0,04004
4,5,277,277,100.0,04005
4,6,103,103,100.0,04006
4,7,301,301,100.0,04007
4,8,293,293,100.0,04008
4,9,481,481,100.0,04009
4,10,267,267,100.0,04010
4,11,337,337,100.0,04011
4,12,153,153,100.0,04012
4,13,210,210,100.0,04013
4,14,173,173,100.0,04014
4,15,193,193,100.0,04015
4,16,311,311,100.0,04016
4,17,257,257,100.0,04017
4,18,274,274,100.0,04018
4,19,281,281,100.0,04019
4,20,133,133,100.0,04020
4,21,337,337,100.0,04021
4,22,337,337,100.0,04022
4,23,183,183,100.0,04023
4,24,289,289,100.0,04024
4,25,207,207,100.0,04025
4,26,282,282,100.0,04026
4,27,255,255,100.0,04027
4,28,189,189,100.0,04028
4,29,233,233,100.0,04029
4,30,226,226,100.0,04030
4,31,164,164,100.0,04031
4,32,253,253,100.0,04032
4,33,201,201,100.0,04033
4,34,188,188,100.0,04034
4,35,187,187,100.0,04035
4,36,175,175,100.0,04036
4,37,70,70,100.0,04037
4,38,389,389,100.0,04038
4,39,173,173,100.0,04039
4,40,221,221,100.0,04040
4,41,143,143,100.0,04041
4,42,311,311,100.0,04042
4,43,160,160,100.0,04043
4,44,166,166,100.0,04044
4,45,425,425,100.0,04045
4,46,185,185,100.0,04046
4,47,378,378,100.0,04047
4,48,308,308,100.0,04048
4,49,178,178,100.0,04049
4,50,227,227,100.0,04050
4,51,269,269,100.0,04051
4,52,312,312,100.0,04052
