ward,precinct,total,John A. Pope,John A. Pope Percent,precinct_id
10,1,162,162,100.0,10001
10,2,118,118,100.0,10002
10,3,154,154,100.0,10003
10,4,130,130,100.0,10004
10,5,136,136,100.0,10005
10,6,185,185,100.0,10006
10,7,47,47,100.0,10007
10,8,127,127,100.0,10008
10,9,126,126,100.0,10009
10,10,145,145,100.0,10010
10,11,152,152,100.0,10011
10,12,127,127,100.0,10012
10,13,137,137,100.0,10013
10,14,162,162,100.0,10014
10,15,81,81,100.0,10015
10,16,150,150,100.0,10016
10,17,116,116,100.0,10017
10,18,148,148,100.0,10018
10,19,174,174,100.0,10019
10,20,138,138,100.0,10020
10,21,116,116,100.0,10021
10,22,116,116,100.0,10022
10,23,136,136,100.0,10023
10,24,128,128,100.0,10024
10,25,193,193,100.0,10025
10,26,129,129,100.0,10026
10,27,184,184,100.0,10027
10,28,118,118,100.0,10028
10,29,166,166,100.0,10029
10,30,191,191,100.0,10030
10,31,149,149,100.0,10031
10,32,160,160,100.0,10032
10,33,139,139,100.0,10033
10,34,178,178,100.0,10034
10,35,157,157,100.0,10035
10,36,179,179,100.0,10036
10,37,132,132,100.0,10037
10,38,175,175,100.0,10038
10,39,154,154,100.0,10039
10,40,139,139,100.0,10040
10,41,183,183,100.0,10041
10,42,144,144,100.0,10042
10,43,82,82,100.0,10043
10,44,174,174,100.0,10044
10,45,110,110,100.0,10045
10,46,153,153,100.0,10046
10,47,130,130,100.0,10047
10,48,151,151,100.0,10048
