ward,precinct,total,Toni L. Foulkes,Toni L. Foulkes Percent,Emma Tate Higginbottom,Emma Tate Higginbottom Percent,Michael Smith,Michael Smith Percent,Gerald Frazier,Gerald Frazier Percent,Fred McGee,Fred McGee Percent,precinct_id
15,1,141,108,76.6,12,8.51,13,9.22,2,1.42,6,4.26,15001
15,2,155,83,53.55,10,6.45,17,10.97,8,5.16,37,23.87,15002
15,3,161,95,59.01,12,7.45,28,17.39,13,8.07,13,8.07,15003
15,4,161,106,65.84,7,4.35,26,16.15,5,3.11,17,10.56,15004
15,5,166,108,65.06,7,4.22,20,12.05,17,10.24,14,8.43,15005
15,6,171,95,55.56,13,7.6,27,15.79,20,11.7,16,9.36,15006
15,7,171,121,70.76,13,7.6,23,13.45,6,3.51,8,4.68,15007
15,8,241,142,58.92,20,8.3,53,21.99,11,4.56,15,6.22,15008
15,9,185,140,75.68,8,4.32,10,5.41,18,9.73,9,4.86,15009
15,10,124,81,65.32,16,12.9,14,11.29,11,8.87,2,1.61,15010
15,11,208,134,64.42,27,12.98,23,11.06,8,3.85,16,7.69,15011
15,12,109,58,53.21,7,6.42,27,24.77,6,5.5,11,10.09,15012
15,13,120,60,50.0,11,9.17,27,22.5,12,10.0,10,8.33,15013
15,14,168,108,64.29,12,7.14,29,17.26,6,3.57,13,7.74,15014
15,15,147,70,47.62,29,19.73,26,17.69,11,7.48,11,7.48,15015
15,16,111,74,66.67,16,14.41,10,9.01,7,6.31,4,3.6,15016
15,17,187,120,64.17,7,3.74,34,18.18,15,8.02,11,5.88,15017
15,18,113,87,76.99,8,7.08,7,6.19,5,4.42,6,5.31,15018
15,19,149,100,67.11,15,10.07,21,14.09,10,6.71,3,2.01,15019
15,20,154,103,66.88,9,5.84,17,11.04,7,4.55,18,11.69,15020
15,21,177,105,59.32,17,9.6,18,10.17,30,16.95,7,3.95,15021
15,22,243,147,60.49,32,13.17,36,14.81,14,5.76,14,5.76,15022
15,23,149,102,68.46,17,11.41,15,10.07,10,6.71,5,3.36,15023
15,24,154,95,61.69,11,7.14,25,16.23,11,7.14,12,7.79,15024
15,25,166,95,57.23,17,10.24,28,16.87,17,10.24,9,5.42,15025
15,26,178,109,61.24,10,5.62,27,15.17,15,8.43,17,9.55,15026
15,27,161,100,62.11,7,4.35,26,16.15,19,11.8,9,5.59,15027
15,28,205,126,61.46,19,9.27,30,14.63,21,10.24,9,4.39,15028
15,29,90,51,56.67,6,6.67,17,18.89,8,8.89,8,8.89,15029
15,30,197,115,58.38,15,7.61,32,16.24,13,6.6,22,11.17,15030
15,31,145,86,59.31,10,6.9,22,15.17,15,10.34,12,8.28,15031
15,32,181,105,58.01,26,14.36,32,17.68,12,6.63,6,3.31,15032
15,33,123,89,72.36,5,4.07,19,15.45,7,5.69,3,2.44,15033
15,34,150,129,86.0,3,2.0,8,5.33,4,2.67,6,4.0,15034
15,35,169,108,63.91,17,10.06,26,15.38,7,4.14,11,6.51,15035
15,36,161,114,70.81,8,4.97,16,9.94,15,9.32,8,4.97,15036
15,37,135,90,66.67,7,5.19,19,14.07,10,7.41,9,6.67,15037
15,38,157,98,62.42,16,10.19,28,17.83,9,5.73,6,3.82,15038
15,39,185,117,63.24,22,11.89,31,16.76,8,4.32,7,3.78,15039
15,40,161,119,73.91,5,3.11,23,14.29,5,3.11,9,5.59,15040
15,41,234,146,62.39,25,10.68,39,16.67,15,6.41,9,3.85,15041
15,42,116,60,51.72,11,9.48,13,11.21,22,18.97,10,8.62,15042
15,43,127,77,60.63,14,11.02,21,16.54,9,7.09,6,4.72,15043
15,44,183,99,54.1,17,9.29,37,20.22,14,7.65,16,8.74,15044
15,45,98,64,65.31,8,8.16,15,15.31,9,9.18,2,2.04,15045
15,46,130,84,64.62,11,8.46,16,12.31,10,7.69,9,6.92,15046
15,47,186,127,68.28,10,5.38,24,12.9,14,7.53,11,5.91,15047
15,48,131,80,61.07,15,11.45,19,14.5,3,2.29,14,10.69,15048
15,49,134,64,47.76,26,19.4,25,18.66,10,7.46,9,6.72,15049
15,50,160,102,63.75,8,5.0,22,13.75,15,9.38,13,8.13,15050
15,51,129,87,67.44,12,9.3,13,10.08,6,4.65,11,8.53,15051
15,52,81,50,61.73,5,6.17,12,14.81,3,3.7,11,13.58,15052
