ward,precinct,total,Joann Thompson,Joann Thompson Percent,precinct_id
16,1,122,122,100.0,16001
16,2,128,128,100.0,16002
16,3,124,124,100.0,16003
16,4,78,78,100.0,16004
16,5,148,148,100.0,16005
16,6,72,72,100.0,16006
16,7,164,164,100.0,16007
16,8,149,149,100.0,16008
16,9,193,193,100.0,16009
16,10,253,253,100.0,16010
16,11,191,191,100.0,16011
16,12,116,116,100.0,16012
16,13,109,109,100.0,16013
16,14,167,167,100.0,16014
16,15,186,186,100.0,16015
16,16,144,144,100.0,16016
16,17,115,115,100.0,16017
16,18,182,182,100.0,16018
16,19,202,202,100.0,16019
16,20,129,129,100.0,16020
16,21,111,111,100.0,16021
16,22,123,123,100.0,16022
16,23,136,136,100.0,16023
16,24,52,52,100.0,16024
16,25,106,106,100.0,16025
16,26,146,146,100.0,16026
16,27,174,174,100.0,16027
16,28,169,169,100.0,16028
16,29,127,127,100.0,16029
16,30,149,149,100.0,16030
16,31,189,189,100.0,16031
16,32,128,128,100.0,16032
16,33,124,124,100.0,16033
16,34,124,124,100.0,16034
16,35,149,149,100.0,16035
16,36,154,154,100.0,16036
16,37,99,99,100.0,16037
16,38,102,102,100.0,16038
16,39,124,124,100.0,16039
16,40,185,185,100.0,16040
16,41,85,85,100.0,16041
16,42,143,143,100.0,16042
16,43,165,165,100.0,16043
16,44,152,152,100.0,16044
