ward,precinct,total,Rahm Emanuel,Rahm Emanuel Percent,precinct_id
1,7,1,1,100.0,01007
1,28,42,42,100.0,01028
1,42,68,68,100.0,01042
29,2,124,124,100.0,29002
29,9,109,109,100.0,29009
29,24,73,73,100.0,29024
29,30,104,104,100.0,29030
29,32,116,116,100.0,29032
30,1,149,149,100.0,30001
30,2,109,109,100.0,30002
30,3,216,216,100.0,30003
30,6,89,89,100.0,30006
30,7,94,94,100.0,30007
30,8,150,150,100.0,30008
30,9,122,122,100.0,30009
30,10,112,112,100.0,30010
30,11,100,100,100.0,30011
30,12,112,112,100.0,30012
30,13,121,121,100.0,30013
30,14,46,46,100.0,30014
30,15,157,157,100.0,30015
30,16,137,137,100.0,30016
30,17,81,81,100.0,30017
30,25,49,49,100.0,30025
30,28,94,94,100.0,30028
30,30,165,165,100.0,30030
30,34,125,125,100.0,30034
30,37,97,97,100.0,30037
30,38,181,181,100.0,30038
30,39,127,127,100.0,30039
30,40,118,118,100.0,30040
31,3,105,105,100.0,31003
31,8,100,100,100.0,31008
31,9,96,96,100.0,31009
31,15,50,50,100.0,31015
31,16,40,40,100.0,31016
31,19,87,87,100.0,31019
31,26,62,62,100.0,31026
31,28,96,96,100.0,31028
31,29,97,97,100.0,31029
31,32,120,120,100.0,31032
31,33,103,103,100.0,31033
31,35,17,17,100.0,31035
31,38,67,67,100.0,31038
31,41,83,83,100.0,31041
31,43,111,111,100.0,31043
31,45,85,85,100.0,31045
31,46,86,86,100.0,31046
31,47,116,116,100.0,31047
31,48,89,89,100.0,31048
31,50,97,97,100.0,31050
32,7,171,171,100.0,32007
32,8,250,250,100.0,32008
32,9,308,308,100.0,32009
32,10,201,201,100.0,32010
32,13,114,114,100.0,32013
32,15,165,165,100.0,32015
32,18,166,166,100.0,32018
32,19,204,204,100.0,32019
32,20,166,166,100.0,32020
32,21,189,189,100.0,32021
32,22,251,251,100.0,32022
32,23,206,206,100.0,32023
32,24,203,203,100.0,32024
32,25,172,172,100.0,32025
32,27,199,199,100.0,32027
32,30,215,215,100.0,32030
