ward,precinct,total,Enoch Clarke-Bey (Clinton),Enoch Clarke-Bey (Clinton) Percent,Alice J. Palmer (Clinton),Alice J. Palmer (Clinton) Percent,Dante Sawyer (Clinton),Dante Sawyer (Clinton) Percent,Mercedes Mallette (Clinton),Mercedes Mallette (Clinton) Percent,"William Payton, Sr. (Clinton)","William Payton, Sr. (Clinton) Percent",Lupe M. Perez (Clinton),Lupe M. Perez (Clinton) Percent,Bernard McCann (Clinton),Bernard McCann (Clinton) Percent,Malissa Rainey (Clinton),Malissa Rainey (Clinton) Percent,Carrie Austin (Obama),Carrie Austin (Obama) Percent,Anthony A. Beale (Obama),Anthony A. Beale (Obama) Percent,Michael Eaddy (Obama),Michael Eaddy (Obama) Percent,Leslie A. Hairston (Obama),Leslie A. Hairston (Obama) Percent,Cheryle Jackson (Obama),Cheryle Jackson (Obama) Percent,Sandi Jackson (Obama),Sandi Jackson (Obama) Percent,James T. Meeks (Obama),James T. Meeks (Obama) Percent,"Willie ''Bill'' Williams, Jr. (Obama)","Willie ''Bill'' Williams, Jr. (Obama) Percent",Adam Avrushin (Richardson),Adam Avrushin (Richardson) Percent,Joan Donahue (Richardson),Joan Donahue (Richardson) Percent,precinct_id
5,1,2404,29,1.21,32,1.33,25,1.04,19,0.79,23,0.96,19,0.79,23,0.96,15,0.62,255,10.61,279,11.61,262,10.9,289,12.02,276,11.48,287,11.94,284,11.81,270,11.23,8,0.33,9,0.37,05001
5,4,1573,16,1.02,18,1.14,16,1.02,12,0.76,13,0.83,11,0.7,13,0.83,14,0.89,177,11.25,179,11.38,181,11.51,183,11.63,186,11.82,187,11.89,182,11.57,170,10.81,5,0.32,10,0.64,05004
5,6,2498,10,0.4,21,0.84,14,0.56,9,0.36,14,0.56,9,0.36,8,0.32,12,0.48,278,11.13,303,12.13,288,11.53,312,12.49,304,12.17,308,12.33,302,12.09,283,11.33,16,0.64,7,0.28,05006
5,7,2202,22,1.0,22,1.0,23,1.04,18,0.82,24,1.09,19,0.86,19,0.86,18,0.82,243,11.04,251,11.4,253,11.49,263,11.94,254,11.53,260,11.81,258,11.72,239,10.85,10,0.45,6,0.27,05007
5,11,2042,32,1.57,37,1.81,33,1.62,35,1.71,29,1.42,35,1.71,30,1.47,34,1.67,218,10.68,223,10.92,220,10.77,230,11.26,226,11.07,223,10.92,214,10.48,214,10.48,6,0.29,3,0.15,05011
5,14,2869,65,2.27,76,2.65,66,2.3,70,2.44,67,2.34,66,2.3,59,2.06,68,2.37,281,9.79,287,10.0,282,9.83,304,10.6,292,10.18,298,10.39,290,10.11,279,9.72,7,0.24,12,0.42,05014
5,21,2030,22,1.08,25,1.23,30,1.48,15,0.74,27,1.33,22,1.08,17,0.84,21,1.03,216,10.64,224,11.03,218,10.74,242,11.92,226,11.13,243,11.97,236,11.63,227,11.18,8,0.39,11,0.54,05021
5,24,1786,39,2.18,46,2.58,37,2.07,38,2.13,37,2.07,40,2.24,36,2.02,37,2.07,176,9.85,181,10.13,182,10.19,199,11.14,183,10.25,182,10.19,178,9.97,178,9.97,8,0.45,9,0.5,05024
5,26,2086,15,0.72,23,1.1,23,1.1,15,0.72,17,0.81,19,0.91,17,0.81,18,0.86,226,10.83,235,11.27,230,11.03,252,12.08,236,11.31,253,12.13,255,12.22,227,10.88,11,0.53,14,0.67,05026
5,28,2413,27,1.12,34,1.41,31,1.28,27,1.12,30,1.24,30,1.24,23,0.95,23,0.95,259,10.73,272,11.27,270,11.19,282,11.69,275,11.4,278,11.52,278,11.52,259,10.73,10,0.41,5,0.21,05028
5,29,2051,18,0.88,29,1.41,18,0.88,17,0.83,17,0.83,14,0.68,16,0.78,14,0.68,221,10.78,231,11.26,222,10.82,247,12.04,237,11.56,250,12.19,239,11.65,235,11.46,12,0.59,14,0.68,05029
5,31,1827,17,0.93,19,1.04,16,0.88,13,0.71,19,1.04,15,0.82,11,0.6,14,0.77,204,11.17,213,11.66,199,10.89,218,11.93,208,11.38,225,12.32,219,11.99,201,11.0,8,0.44,8,0.44,05031
5,32,2996,22,0.73,35,1.17,29,0.97,24,0.8,15,0.5,19,0.63,15,0.5,17,0.57,328,10.95,348,11.62,337,11.25,372,12.42,354,11.82,361,12.05,353,11.78,335,11.18,17,0.57,15,0.5,05032
5,34,2333,18,0.77,31,1.33,17,0.73,19,0.81,22,0.94,19,0.81,13,0.56,15,0.64,249,10.67,274,11.74,260,11.14,271,11.62,271,11.62,282,12.09,275,11.79,266,11.4,14,0.6,17,0.73,05034
