ward,precinct,total,Proco ''Joe'' Moreno,Proco ''Joe'' Moreno Percent,William ''Willie'' Delgado,William ''Willie'' Delgado Percent,precinct_id
1,1,209,132,63.16,77,36.84,01001
1,2,183,114,62.3,69,37.7,01002
1,3,158,100,63.29,58,36.71,01003
1,4,192,106,55.21,86,44.79,01004
1,5,185,116,62.7,69,37.3,01005
1,10,201,132,65.67,69,34.33,01010
1,11,142,63,44.37,79,55.63,01011
1,14,204,147,72.06,57,27.94,01014
1,15,180,108,60.0,72,40.0,01015
1,17,152,96,63.16,56,36.84,01017
1,18,167,88,52.69,79,47.31,01018
1,21,158,85,53.8,73,46.2,01021
1,22,191,97,50.79,94,49.21,01022
1,23,170,99,58.24,71,41.76,01023
1,25,158,84,53.16,74,46.84,01025
1,26,157,95,60.51,62,39.49,01026
1,27,106,48,45.28,58,54.72,01027
1,32,188,90,47.87,98,52.13,01032
1,33,201,104,51.74,97,48.26,01033
1,35,21,12,57.14,9,42.86,01035
1,36,174,110,63.22,64,36.78,01036
1,37,156,96,61.54,60,38.46,01037
1,40,91,58,63.74,33,36.26,01040
1,43,142,68,47.89,74,52.11,01043
1,44,111,58,52.25,53,47.75,01044
1,45,221,92,41.63,129,58.37,01045
1,46,198,104,52.53,94,47.47,01046
1,47,194,119,61.34,75,38.66,01047
1,48,119,70,58.82,49,41.18,01048
1,49,89,46,51.69,43,48.31,01049
1,50,153,84,54.9,69,45.1,01050
26,1,113,47,41.59,66,58.41,26001
26,2,178,91,51.12,87,48.88,26002
26,3,144,56,38.89,88,61.11,26003
26,4,112,40,35.71,72,64.29,26004
26,5,195,102,52.31,93,47.69,26005
26,6,90,17,18.89,73,81.11,26006
26,7,87,38,43.68,49,56.32,26007
26,9,110,66,60.0,44,40.0,26009
26,10,111,75,67.57,36,32.43,26010
26,11,135,55,40.74,80,59.26,26011
26,12,97,47,48.45,50,51.55,26012
26,13,148,77,52.03,71,47.97,26013
26,14,132,56,42.42,76,57.58,26014
26,15,132,36,27.27,96,72.73,26015
26,16,112,30,26.79,82,73.21,26016
26,18,96,53,55.21,43,44.79,26018
26,20,171,49,28.65,122,71.35,26020
26,21,139,60,43.17,79,56.83,26021
26,22,103,53,51.46,50,48.54,26022
26,23,100,38,38.0,62,62.0,26023
26,24,87,45,51.72,42,48.28,26024
26,25,46,15,32.61,31,67.39,26025
26,26,91,21,23.08,70,76.92,26026
26,27,119,50,42.02,69,57.98,26027
26,28,114,38,33.33,76,66.67,26028
26,29,141,56,39.72,85,60.28,26029
26,30,127,37,29.13,90,70.87,26030
26,31,133,51,38.35,82,61.65,26031
26,32,126,72,57.14,54,42.86,26032
26,35,153,73,47.71,80,52.29,26035
26,36,135,89,65.93,46,34.07,26036
26,37,83,25,30.12,58,69.88,26037
26,38,88,39,44.32,49,55.68,26038
26,39,121,54,44.63,67,55.37,26039
26,40,73,20,27.4,53,72.6,26040
26,41,139,33,23.74,106,76.26,26041
26,42,104,19,18.27,85,81.73,26042
26,43,105,30,28.57,75,71.43,26043
26,44,64,25,39.06,39,60.94,26044
26,45,173,81,46.82,92,53.18,26045
26,47,81,24,29.63,57,70.37,26047
26,48,132,51,38.64,81,61.36,26048
26,49,103,46,44.66,57,55.34,26049
26,50,98,35,35.71,63,64.29,26050
26,52,57,15,26.32,42,73.68,26052
26,53,82,35,42.68,47,57.32,26053
26,54,121,29,23.97,92,76.03,26054
26,55,98,43,43.88,55,56.12,26055
26,56,104,42,40.38,62,59.62,26056
26,57,129,58,44.96,71,55.04,26057
26,58,125,60,48.0,65,52.0,26058
26,59,131,61,46.56,70,53.44,26059
26,60,129,50,38.76,79,61.24,26060
26,61,80,24,30.0,56,70.0,26061
26,62,159,62,38.99,97,61.01,26062
26,63,56,29,51.79,27,48.21,26063
27,4,124,57,45.97,67,54.03,27004
27,10,151,77,50.99,74,49.01,27010
27,13,142,83,58.45,59,41.55,27013
27,27,0,0,0.0,0,0.0,27027
27,32,147,73,49.66,74,50.34,27032
27,35,161,88,54.66,73,45.34,27035
27,38,137,66,48.18,71,51.82,27038
27,41,186,128,68.82,58,31.18,27041
27,56,100,57,57.0,43,43.0,27056
27,59,216,75,34.72,141,65.28,27059
29,2,177,61,34.46,116,65.54,29002
29,6,102,33,32.35,69,67.65,29006
29,7,154,39,25.32,115,74.68,29007
29,9,134,38,28.36,96,71.64,29009
29,10,117,32,27.35,85,72.65,29010
29,24,179,47,26.26,132,73.74,29024
29,30,133,39,29.32,94,70.68,29030
29,32,171,49,28.65,122,71.35,29032
29,39,184,61,33.15,123,66.85,29039
30,2,142,25,17.61,117,82.39,30002
30,4,163,35,21.47,128,78.53,30004
30,5,109,32,29.36,77,70.64,30005
30,6,122,29,23.77,93,76.23,30006
30,9,59,11,18.64,48,81.36,30009
30,10,164,69,42.07,95,57.93,30010
30,11,119,27,22.69,92,77.31,30011
30,12,165,58,35.15,107,64.85,30012
30,17,115,21,18.26,94,81.74,30017
30,20,130,29,22.31,101,77.69,30020
30,21,190,40,21.05,150,78.95,30021
30,22,162,27,16.67,135,83.33,30022
30,23,156,46,29.49,110,70.51,30023
30,24,182,47,25.82,135,74.18,30024
30,26,106,31,29.25,75,70.75,30026
30,27,225,62,27.56,163,72.44,30027
30,28,126,48,38.1,78,61.9,30028
30,29,119,29,24.37,90,75.63,30029
30,31,138,35,25.36,103,74.64,30031
30,32,68,14,20.59,54,79.41,30032
30,33,160,57,35.63,103,64.38,30033
30,34,164,24,14.63,140,85.37,30034
30,35,161,43,26.71,118,73.29,30035
30,37,141,56,39.72,85,60.28,30037
30,40,167,45,26.95,122,73.05,30040
30,41,200,43,21.5,157,78.5,30041
31,3,147,44,29.93,103,70.07,31003
31,10,65,14,21.54,51,78.46,31010
31,12,135,39,28.89,96,71.11,31012
31,15,76,37,48.68,39,51.32,31015
31,17,130,42,32.31,88,67.69,31017
31,20,121,49,40.5,72,59.5,31020
31,21,157,46,29.3,111,70.7,31021
31,23,73,18,24.66,55,75.34,31023
31,24,114,22,19.3,92,80.7,31024
31,25,153,24,15.69,129,84.31,31025
31,27,128,29,22.66,99,77.34,31027
31,29,126,34,26.98,92,73.02,31029
31,34,118,25,21.19,93,78.81,31034
31,35,106,32,30.19,74,69.81,31035
31,36,159,43,27.04,116,72.96,31036
31,37,128,35,27.34,93,72.66,31037
31,39,71,18,25.35,53,74.65,31039
31,40,81,21,25.93,60,74.07,31040
31,42,188,42,22.34,146,77.66,31042
31,43,147,35,23.81,112,76.19,31043
31,44,121,38,31.4,83,68.6,31044
31,45,128,35,27.34,93,72.66,31045
31,51,104,26,25.0,78,75.0,31051
32,1,239,155,64.85,84,35.15,32001
32,3,186,88,47.31,98,52.69,32003
32,11,160,87,54.38,73,45.63,32011
32,12,139,62,44.6,77,55.4,32012
32,17,213,122,57.28,91,42.72,32017
32,46,43,30,69.77,13,30.23,32046
35,2,191,91,47.64,100,52.36,35002
35,14,0,0,0.0,0,0.0,35014
35,23,139,57,41.01,82,58.99,35023
35,32,139,45,32.37,94,67.63,35032
35,35,218,114,52.29,104,47.71,35035
36,1,177,66,37.29,111,62.71,36001
36,3,304,92,30.26,212,69.74,36003
36,4,162,53,32.72,109,67.28,36004
36,6,19,5,26.32,14,73.68,36006
36,36,181,77,42.54,104,57.46,36036
36,41,114,48,42.11,66,57.89,36041
36,51,212,95,44.81,117,55.19,36051
36,53,69,25,36.23,44,63.77,36053
37,1,163,54,33.13,109,66.87,37001
37,2,59,15,25.42,44,74.58,37002
37,11,85,26,30.59,59,69.41,37011
37,19,192,78,40.63,114,59.38,37019
37,39,213,65,30.52,148,69.48,37039
37,42,149,52,34.9,97,65.1,37042
38,16,182,58,31.87,124,68.13,38016
38,53,23,7,30.43,16,69.57,38053
