ward,precinct,total,Louis S. ''Lou'' Viverito,Louis S. ''Lou'' Viverito Percent,precinct_id
13,1,198,198,100.0,13001
13,2,141,141,100.0,13002
13,4,274,274,100.0,13004
13,5,229,229,100.0,13005
13,6,187,187,100.0,13006
13,7,156,156,100.0,13007
13,8,214,214,100.0,13008
13,9,227,227,100.0,13009
13,10,163,163,100.0,13010
13,11,182,182,100.0,13011
13,12,164,164,100.0,13012
13,13,174,174,100.0,13013
13,14,174,174,100.0,13014
13,15,273,273,100.0,13015
13,16,236,236,100.0,13016
13,17,180,180,100.0,13017
13,19,168,168,100.0,13019
13,21,198,198,100.0,13021
13,22,142,142,100.0,13022
13,23,171,171,100.0,13023
13,24,168,168,100.0,13024
13,25,173,173,100.0,13025
13,26,166,166,100.0,13026
13,27,182,182,100.0,13027
13,28,161,161,100.0,13028
13,29,175,175,100.0,13029
13,30,66,66,100.0,13030
13,31,41,41,100.0,13031
13,32,187,187,100.0,13032
13,33,179,179,100.0,13033
13,34,215,215,100.0,13034
13,35,187,187,100.0,13035
13,36,109,109,100.0,13036
13,37,163,163,100.0,13037
13,38,217,217,100.0,13038
13,39,178,178,100.0,13039
13,40,217,217,100.0,13040
13,41,147,147,100.0,13041
13,42,178,178,100.0,13042
13,43,190,190,100.0,13043
13,44,113,113,100.0,13044
13,45,222,222,100.0,13045
13,46,205,205,100.0,13046
23,1,202,202,100.0,23001
23,2,225,225,100.0,23002
23,3,163,163,100.0,23003
23,4,200,200,100.0,23004
23,7,55,55,100.0,23007
23,8,196,196,100.0,23008
23,11,205,205,100.0,23011
23,12,201,201,100.0,23012
23,13,232,232,100.0,23013
23,14,9,9,100.0,23014
23,15,172,172,100.0,23015
23,16,207,207,100.0,23016
23,17,227,227,100.0,23017
23,18,143,143,100.0,23018
23,19,161,161,100.0,23019
23,20,163,163,100.0,23020
23,21,150,150,100.0,23021
23,22,193,193,100.0,23022
23,23,162,162,100.0,23023
23,26,191,191,100.0,23026
23,27,170,170,100.0,23027
23,28,197,197,100.0,23028
23,30,168,168,100.0,23030
23,34,168,168,100.0,23034
23,35,126,126,100.0,23035
23,36,244,244,100.0,23036
23,37,130,130,100.0,23037
23,38,174,174,100.0,23038
23,39,170,170,100.0,23039
23,40,164,164,100.0,23040
23,42,150,150,100.0,23042
23,43,209,209,100.0,23043
23,44,207,207,100.0,23044
23,45,236,236,100.0,23045
23,46,200,200,100.0,23046
23,47,198,198,100.0,23047
23,48,163,163,100.0,23048
23,49,199,199,100.0,23049
23,52,212,212,100.0,23052
23,54,208,208,100.0,23054
23,55,183,183,100.0,23055
23,56,163,163,100.0,23056
