ward,precinct,total,James T. Meeks,James T. Meeks Percent,precinct_id
9,3,123,123,100.0,09003
9,4,252,252,100.0,09004
9,6,313,313,100.0,09006
9,7,249,249,100.0,09007
9,11,210,210,100.0,09011
9,15,240,240,100.0,09015
9,16,214,214,100.0,09016
9,18,65,65,100.0,09018
9,19,320,320,100.0,09019
9,24,139,139,100.0,09024
9,26,173,173,100.0,09026
9,28,108,108,100.0,09028
9,30,253,253,100.0,09030
9,33,165,165,100.0,09033
9,39,332,332,100.0,09039
9,41,305,305,100.0,09041
9,42,88,88,100.0,09042
9,44,205,205,100.0,09044
9,45,228,228,100.0,09045
9,50,265,265,100.0,09050
34,3,30,30,100.0,34003
34,6,184,184,100.0,34006
34,35,366,366,100.0,34035
