ward,precinct,total,Donne E. Trotter,Donne E. Trotter Percent,precinct_id
5,4,175,175,100.0,05004
5,12,153,153,100.0,05012
5,20,95,95,100.0,05020
5,50,197,197,100.0,05050
6,1,307,307,100.0,06001
6,2,306,306,100.0,06002
6,3,257,257,100.0,06003
6,8,307,307,100.0,06008
6,9,244,244,100.0,06009
6,10,340,340,100.0,06010
6,13,229,229,100.0,06013
6,14,283,283,100.0,06014
6,16,305,305,100.0,06016
6,17,326,326,100.0,06017
6,21,258,258,100.0,06021
6,22,249,249,100.0,06022
6,23,197,197,100.0,06023
6,24,260,260,100.0,06024
6,25,190,190,100.0,06025
6,26,304,304,100.0,06026
6,27,341,341,100.0,06027
6,28,461,461,100.0,06028
6,29,319,319,100.0,06029
6,31,315,315,100.0,06031
6,34,256,256,100.0,06034
6,35,242,242,100.0,06035
6,37,329,329,100.0,06037
6,38,271,271,100.0,06038
6,39,182,182,100.0,06039
6,41,296,296,100.0,06041
6,43,278,278,100.0,06043
6,44,268,268,100.0,06044
6,45,204,204,100.0,06045
6,46,251,251,100.0,06046
6,47,293,293,100.0,06047
6,50,284,284,100.0,06050
6,51,188,188,100.0,06051
6,52,186,186,100.0,06052
6,53,238,238,100.0,06053
6,54,267,267,100.0,06054
6,55,222,222,100.0,06055
6,56,176,176,100.0,06056
6,57,160,160,100.0,06057
6,58,289,289,100.0,06058
6,59,243,243,100.0,06059
6,60,163,163,100.0,06060
6,63,265,265,100.0,06063
6,64,304,304,100.0,06064
7,1,292,292,100.0,07001
7,2,272,272,100.0,07002
7,4,188,188,100.0,07004
7,5,183,183,100.0,07005
7,6,189,189,100.0,07006
7,7,162,162,100.0,07007
7,12,163,163,100.0,07012
7,13,158,158,100.0,07013
7,19,358,358,100.0,07019
7,21,217,217,100.0,07021
7,24,215,215,100.0,07024
7,25,278,278,100.0,07025
7,26,283,283,100.0,07026
7,27,339,339,100.0,07027
7,29,146,146,100.0,07029
7,30,264,264,100.0,07030
7,31,235,235,100.0,07031
7,33,188,188,100.0,07033
7,34,216,216,100.0,07034
7,36,243,243,100.0,07036
7,37,114,114,100.0,07037
7,38,169,169,100.0,07038
7,41,195,195,100.0,07041
7,42,327,327,100.0,07042
7,43,230,230,100.0,07043
7,46,0,0,0.0,07046
7,47,180,180,100.0,07047
7,49,126,126,100.0,07049
7,50,145,145,100.0,07050
7,51,198,198,100.0,07051
7,52,171,171,100.0,07052
7,53,185,185,100.0,07053
7,55,189,189,100.0,07055
7,57,173,173,100.0,07057
7,58,285,285,100.0,07058
7,59,130,130,100.0,07059
7,60,134,134,100.0,07060
7,61,200,200,100.0,07061
7,62,184,184,100.0,07062
8,1,266,266,100.0,08001
8,2,149,149,100.0,08002
8,3,342,342,100.0,08003
8,4,262,262,100.0,08004
8,5,307,307,100.0,08005
8,6,303,303,100.0,08006
8,7,261,261,100.0,08007
8,8,308,308,100.0,08008
8,9,335,335,100.0,08009
8,10,358,358,100.0,08010
8,11,246,246,100.0,08011
8,12,259,259,100.0,08012
8,13,205,205,100.0,08013
8,14,214,214,100.0,08014
8,15,214,214,100.0,08015
8,16,298,298,100.0,08016
8,17,242,242,100.0,08017
8,18,189,189,100.0,08018
8,19,336,336,100.0,08019
8,20,213,213,100.0,08020
8,21,214,214,100.0,08021
8,22,245,245,100.0,08022
8,23,244,244,100.0,08023
8,24,282,282,100.0,08024
8,25,273,273,100.0,08025
8,26,197,197,100.0,08026
8,27,292,292,100.0,08027
8,28,223,223,100.0,08028
8,29,304,304,100.0,08029
8,30,230,230,100.0,08030
8,31,192,192,100.0,08031
8,32,389,389,100.0,08032
8,33,261,261,100.0,08033
8,34,308,308,100.0,08034
