ward,precinct,total,Iris Y. Martinez,Iris Y. Martinez Percent,Richard T. Bradley,Richard T. Bradley Percent,Carlos Juan Guevara,Carlos Juan Guevara Percent,precinct_id
1,7,178,107,60.11,63,35.39,8,4.49,01007
1,9,188,109,57.98,56,29.79,23,12.23,01009
1,13,254,167,65.75,76,29.92,11,4.33,01013
1,16,103,64,62.14,34,33.01,5,4.85,01016
1,19,161,87,54.04,66,40.99,8,4.97,01019
1,20,213,155,72.77,47,22.07,11,5.16,01020
1,24,328,228,69.51,89,27.13,11,3.35,01024
1,28,63,37,58.73,21,33.33,5,7.94,01028
1,29,186,104,55.91,72,38.71,10,5.38,01029
1,30,316,208,65.82,95,30.06,13,4.11,01030
1,31,56,33,58.93,17,30.36,6,10.71,01031
1,34,130,80,61.54,42,32.31,8,6.15,01034
1,38,138,83,60.14,50,36.23,5,3.62,01038
1,39,215,123,57.21,84,39.07,8,3.72,01039
1,41,198,106,53.54,79,39.9,13,6.57,01041
1,42,147,73,49.66,65,44.22,9,6.12,01042
26,8,123,92,74.8,21,17.07,10,8.13,26008
26,19,247,156,63.16,54,21.86,37,14.98,26019
26,34,145,96,66.21,38,26.21,11,7.59,26034
26,51,146,114,78.08,22,15.07,10,6.85,26051
30,1,181,55,30.39,113,62.43,13,7.18,30001
30,3,251,77,30.68,162,64.54,12,4.78,30003
30,7,142,67,47.18,58,40.85,17,11.97,30007
30,8,197,99,50.25,84,42.64,14,7.11,30008
30,9,129,19,14.73,102,79.07,8,6.2,30009
30,13,152,72,47.37,68,44.74,12,7.89,30013
30,14,61,28,45.9,27,44.26,6,9.84,30014
30,15,189,38,20.11,144,76.19,7,3.7,30015
30,16,174,65,37.36,79,45.4,30,17.24,30016
30,18,112,50,44.64,55,49.11,7,6.25,30018
30,19,119,68,57.14,40,33.61,11,9.24,30019
30,25,89,46,51.69,38,42.7,5,5.62,30025
30,30,197,101,51.27,88,44.67,8,4.06,30030
30,36,155,98,63.23,47,30.32,10,6.45,30036
30,38,236,85,36.02,135,57.2,16,6.78,30038
30,39,172,64,37.21,87,50.58,21,12.21,30039
31,1,80,44,55.0,30,37.5,6,7.5,31001
31,2,112,59,52.68,30,26.79,23,20.54,31002
31,4,137,73,53.28,56,40.88,8,5.84,31004
31,5,161,83,51.55,60,37.27,18,11.18,31005
31,6,150,80,53.33,32,21.33,38,25.33,31006
31,7,158,102,64.56,26,16.46,30,18.99,31007
31,8,130,48,36.92,63,48.46,19,14.62,31008
31,9,126,61,48.41,50,39.68,15,11.9,31009
31,11,101,46,45.54,44,43.56,11,10.89,31011
31,13,140,75,53.57,44,31.43,21,15.0,31013
31,14,131,62,47.33,57,43.51,12,9.16,31014
31,16,91,55,60.44,32,35.16,4,4.4,31016
31,18,124,69,55.65,40,32.26,15,12.1,31018
31,19,124,67,54.03,42,33.87,15,12.1,31019
31,22,111,57,51.35,37,33.33,17,15.32,31022
31,26,88,41,46.59,36,40.91,11,12.5,31026
31,28,150,95,63.33,37,24.67,18,12.0,31028
31,30,181,73,40.33,88,48.62,20,11.05,31030
31,31,196,98,50.0,76,38.78,22,11.22,31031
31,32,163,99,60.74,49,30.06,15,9.2,31032
31,33,141,70,49.65,54,38.3,17,12.06,31033
31,38,85,48,56.47,28,32.94,9,10.59,31038
31,41,141,94,66.67,38,26.95,9,6.38,31041
31,46,125,65,52.0,49,39.2,11,8.8,31046
31,47,153,81,52.94,59,38.56,13,8.5,31047
31,48,126,74,58.73,35,27.78,17,13.49,31048
31,49,68,41,60.29,15,22.06,12,17.65,31049
31,50,151,83,54.97,53,35.1,15,9.93,31050
32,14,198,120,60.61,71,35.86,7,3.54,32014
32,16,161,85,52.8,69,42.86,7,4.35,32016
33,1,299,129,43.14,152,50.84,18,6.02,33001
33,2,305,142,46.56,150,49.18,13,4.26,33002
33,3,278,133,47.84,128,46.04,17,6.12,33003
33,4,333,180,54.05,140,42.04,13,3.9,33004
33,5,243,104,42.8,122,50.21,17,7.0,33005
33,6,314,129,41.08,166,52.87,19,6.05,33006
33,9,272,83,30.51,177,65.07,12,4.41,33009
33,11,276,116,42.03,139,50.36,21,7.61,33011
33,12,299,123,41.14,165,55.18,11,3.68,33012
33,13,317,146,46.06,148,46.69,23,7.26,33013
33,14,222,109,49.1,97,43.69,16,7.21,33014
33,15,256,100,39.06,146,57.03,10,3.91,33015
33,16,276,110,39.86,154,55.8,12,4.35,33016
33,17,319,120,37.62,175,54.86,24,7.52,33017
33,18,92,51,55.43,39,42.39,2,2.17,33018
33,19,285,117,41.05,150,52.63,18,6.32,33019
33,20,300,138,46.0,146,48.67,16,5.33,33020
33,21,285,129,45.26,135,47.37,21,7.37,33021
33,22,357,92,25.77,255,71.43,10,2.8,33022
33,23,280,127,45.36,137,48.93,16,5.71,33023
33,25,353,136,38.53,193,54.67,24,6.8,33025
33,26,276,133,48.19,118,42.75,25,9.06,33026
33,27,230,130,56.52,86,37.39,14,6.09,33027
35,1,281,158,56.23,103,36.65,20,7.12,35001
35,3,176,122,69.32,44,25.0,10,5.68,35003
35,4,254,123,48.43,115,45.28,16,6.3,35004
35,5,249,156,62.65,88,35.34,5,2.01,35005
35,6,256,133,51.95,96,37.5,27,10.55,35006
35,7,295,184,62.37,89,30.17,22,7.46,35007
35,8,217,139,64.06,72,33.18,6,2.76,35008
35,9,225,138,61.33,76,33.78,11,4.89,35009
35,10,238,154,64.71,61,25.63,23,9.66,35010
35,11,251,153,60.96,85,33.86,13,5.18,35011
35,12,299,159,53.18,130,43.48,10,3.34,35012
35,13,79,49,62.03,19,24.05,11,13.92,35013
35,14,252,179,71.03,52,20.63,21,8.33,35014
35,15,241,147,61.0,78,32.37,16,6.64,35015
35,16,227,156,68.72,59,25.99,12,5.29,35016
35,17,259,167,64.48,72,27.8,20,7.72,35017
35,18,281,152,54.09,116,41.28,13,4.63,35018
35,19,247,171,69.23,60,24.29,16,6.48,35019
35,20,222,140,63.06,64,28.83,18,8.11,35020
35,21,255,131,51.37,102,40.0,22,8.63,35021
35,22,95,25,26.32,63,66.32,7,7.37,35022
35,24,159,89,55.97,63,39.62,7,4.4,35024
35,25,222,141,63.51,64,28.83,17,7.66,35025
35,26,295,104,35.25,173,58.64,18,6.1,35026
35,27,295,171,57.97,114,38.64,10,3.39,35027
35,28,245,168,68.57,67,27.35,10,4.08,35028
35,29,299,184,61.54,100,33.44,15,5.02,35029
