ward,precinct,total,Susana Mendoza,Susana Mendoza Percent,precinct_id
11,3,126,126,100.0,11003
12,2,116,116,100.0,12002
12,3,110,110,100.0,12003
12,4,100,100,100.0,12004
12,5,116,116,100.0,12005
12,6,108,108,100.0,12006
12,8,32,32,100.0,12008
12,9,98,98,100.0,12009
12,10,140,140,100.0,12010
12,11,191,191,100.0,12011
12,12,104,104,100.0,12012
12,13,167,167,100.0,12013
12,14,132,132,100.0,12014
12,17,133,133,100.0,12017
12,19,156,156,100.0,12019
12,20,132,132,100.0,12020
12,21,140,140,100.0,12021
12,23,144,144,100.0,12023
12,24,166,166,100.0,12024
14,7,143,143,100.0,14007
14,8,113,113,100.0,14008
14,10,163,163,100.0,14010
14,12,145,145,100.0,14012
14,14,145,145,100.0,14014
14,16,167,167,100.0,14016
14,17,185,185,100.0,14017
14,18,190,190,100.0,14018
14,19,218,218,100.0,14019
14,20,127,127,100.0,14020
14,21,169,169,100.0,14021
14,22,184,184,100.0,14022
14,23,212,212,100.0,14023
14,26,178,178,100.0,14026
14,29,182,182,100.0,14029
14,30,143,143,100.0,14030
14,31,153,153,100.0,14031
14,33,128,128,100.0,14033
14,34,25,25,100.0,14034
14,35,148,148,100.0,14035
16,11,158,158,100.0,16011
16,13,114,114,100.0,16013
16,21,129,129,100.0,16021
16,23,134,134,100.0,16023
16,32,80,80,100.0,16032
16,42,146,146,100.0,16042
20,4,136,136,100.0,20004
20,21,96,96,100.0,20021
22,8,134,134,100.0,22008
22,9,173,173,100.0,22009
22,11,136,136,100.0,22011
22,15,104,104,100.0,22015
22,22,118,118,100.0,22022
22,28,32,32,100.0,22028
