ward,precinct,total,Lou Lang,Lou Lang Percent,precinct_id
40,8,39,39,100.0,40008
49,24,217,217,100.0,49024
49,28,147,147,100.0,49028
49,38,143,143,100.0,49038
49,40,141,141,100.0,49040
49,41,149,149,100.0,49041
50,1,245,245,100.0,50001
50,2,222,222,100.0,50002
50,3,183,183,100.0,50003
50,4,171,171,100.0,50004
50,5,190,190,100.0,50005
50,6,133,133,100.0,50006
50,7,234,234,100.0,50007
50,8,144,144,100.0,50008
50,9,142,142,100.0,50009
50,10,105,105,100.0,50010
50,11,198,198,100.0,50011
50,12,89,89,100.0,50012
50,13,162,162,100.0,50013
50,14,87,87,100.0,50014
50,15,231,231,100.0,50015
50,16,88,88,100.0,50016
50,17,129,129,100.0,50017
50,18,140,140,100.0,50018
50,19,120,120,100.0,50019
50,20,149,149,100.0,50020
50,21,189,189,100.0,50021
50,22,178,178,100.0,50022
50,23,124,124,100.0,50023
50,24,155,155,100.0,50024
50,25,147,147,100.0,50025
50,26,113,113,100.0,50026
50,27,69,69,100.0,50027
50,28,125,125,100.0,50028
50,29,172,172,100.0,50029
50,30,151,151,100.0,50030
50,31,52,52,100.0,50031
50,32,164,164,100.0,50032
50,33,134,134,100.0,50033
50,34,106,106,100.0,50034
50,35,220,220,100.0,50035
50,36,187,187,100.0,50036
50,37,180,180,100.0,50037
50,38,128,128,100.0,50038
50,39,128,128,100.0,50039
50,40,194,194,100.0,50040
50,41,246,246,100.0,50041
50,42,189,189,100.0,50042
50,43,143,143,100.0,50043
