ward,precinct,total,Michael C. Marzullo,Michael C. Marzullo Percent,precinct_id
29,9,6,6,100.0,29009
36,5,111,111,100.0,36005
36,7,119,119,100.0,36007
36,8,151,151,100.0,36008
36,9,144,144,100.0,36009
36,10,103,103,100.0,36010
36,11,161,161,100.0,36011
36,12,112,112,100.0,36012
36,13,178,178,100.0,36013
36,14,164,164,100.0,36014
36,15,159,159,100.0,36015
36,17,121,121,100.0,36017
36,18,194,194,100.0,36018
36,19,179,179,100.0,36019
36,20,177,177,100.0,36020
36,21,227,227,100.0,36021
36,25,109,109,100.0,36025
36,27,94,94,100.0,36027
36,28,123,123,100.0,36028
36,29,125,125,100.0,36029
36,30,164,164,100.0,36030
36,31,160,160,100.0,36031
36,32,142,142,100.0,36032
36,34,116,116,100.0,36034
36,35,165,165,100.0,36035
36,37,121,121,100.0,36037
36,38,101,101,100.0,36038
36,39,153,153,100.0,36039
36,40,164,164,100.0,36040
36,42,117,117,100.0,36042
36,46,129,129,100.0,36046
36,47,108,108,100.0,36047
36,48,114,114,100.0,36048
36,49,165,165,100.0,36049
36,50,106,106,100.0,36050
36,52,156,156,100.0,36052
36,53,57,57,100.0,36053
38,3,102,102,100.0,38003
38,38,174,174,100.0,38038
41,1,189,189,100.0,41001
41,2,232,232,100.0,41002
41,3,192,192,100.0,41003
41,4,202,202,100.0,41004
41,5,199,199,100.0,41005
41,7,228,228,100.0,41007
41,8,185,185,100.0,41008
41,9,188,188,100.0,41009
41,11,193,193,100.0,41011
41,12,186,186,100.0,41012
41,15,192,192,100.0,41015
41,16,182,182,100.0,41016
41,17,200,200,100.0,41017
41,18,146,146,100.0,41018
41,20,230,230,100.0,41020
41,21,197,197,100.0,41021
41,22,185,185,100.0,41022
41,24,171,171,100.0,41024
41,30,230,230,100.0,41030
41,31,213,213,100.0,41031
41,33,142,142,100.0,41033
41,34,128,128,100.0,41034
41,35,203,203,100.0,41035
41,36,192,192,100.0,41036
41,37,203,203,100.0,41037
41,38,216,216,100.0,41038
41,40,220,220,100.0,41040
41,41,185,185,100.0,41041
41,42,233,233,100.0,41042
41,43,200,200,100.0,41043
41,45,164,164,100.0,41045
41,46,145,145,100.0,41046
41,49,217,217,100.0,41049
41,50,206,206,100.0,41050
41,51,147,147,100.0,41051
41,52,241,241,100.0,41052
41,55,166,166,100.0,41055
41,56,240,240,100.0,41056
