ward,precinct,total,Constance A. ''Connie'' Howard,Constance A. ''Connie'' Howard Percent,precinct_id
5,12,145,145,100.0,05012
5,20,119,119,100.0,05020
5,50,201,201,100.0,05050
6,1,295,295,100.0,06001
6,2,316,316,100.0,06002
6,3,240,240,100.0,06003
6,8,286,286,100.0,06008
6,9,236,236,100.0,06009
6,10,307,307,100.0,06010
6,13,227,227,100.0,06013
6,14,241,241,100.0,06014
6,16,291,291,100.0,06016
6,17,314,314,100.0,06017
6,21,235,235,100.0,06021
6,22,238,238,100.0,06022
6,23,190,190,100.0,06023
6,24,259,259,100.0,06024
6,25,183,183,100.0,06025
6,26,296,296,100.0,06026
6,27,354,354,100.0,06027
6,28,457,457,100.0,06028
6,29,292,292,100.0,06029
6,31,295,295,100.0,06031
6,34,228,228,100.0,06034
6,35,230,230,100.0,06035
6,37,311,311,100.0,06037
6,38,257,257,100.0,06038
6,39,177,177,100.0,06039
6,41,285,285,100.0,06041
6,43,259,259,100.0,06043
6,44,248,248,100.0,06044
6,45,182,182,100.0,06045
6,46,237,237,100.0,06046
6,47,286,286,100.0,06047
6,50,276,276,100.0,06050
6,51,170,170,100.0,06051
6,52,179,179,100.0,06052
6,53,217,217,100.0,06053
6,54,243,243,100.0,06054
6,55,206,206,100.0,06055
6,56,172,172,100.0,06056
6,57,147,147,100.0,06057
6,58,282,282,100.0,06058
6,59,226,226,100.0,06059
6,60,153,153,100.0,06060
6,63,227,227,100.0,06063
6,64,288,288,100.0,06064
7,36,241,241,100.0,07036
7,37,105,105,100.0,07037
7,43,225,225,100.0,07043
8,18,163,163,100.0,08018
8,32,344,344,100.0,08032
8,34,286,286,100.0,08034
8,37,195,195,100.0,08037
8,39,253,253,100.0,08039
8,43,181,181,100.0,08043
8,45,152,152,100.0,08045
8,47,215,215,100.0,08047
8,56,246,246,100.0,08056
8,59,154,154,100.0,08059
8,66,360,360,100.0,08066
8,67,131,131,100.0,08067
8,68,131,131,100.0,08068
8,69,144,144,100.0,08069
9,8,234,234,100.0,09008
9,25,166,166,100.0,09025
9,36,276,276,100.0,09036
9,37,175,175,100.0,09037
9,47,276,276,100.0,09047
9,49,154,154,100.0,09049
9,51,8,8,100.0,09051
9,53,112,112,100.0,09053
10,2,110,110,100.0,10002
10,3,126,126,100.0,10003
10,5,115,115,100.0,10005
10,15,74,74,100.0,10015
10,16,1,1,100.0,10016
10,17,113,113,100.0,10017
10,21,105,105,100.0,10021
10,42,34,34,100.0,10042
21,23,186,186,100.0,21023
21,25,186,186,100.0,21025
21,26,172,172,100.0,21026
21,43,194,194,100.0,21043
21,46,172,172,100.0,21046
21,48,305,305,100.0,21048
21,53,52,52,100.0,21053
21,55,247,247,100.0,21055
