ward,precinct,total,Marianne Jackson,Marianne Jackson Percent,precinct_id
11,6,263,263,100.0,11006
11,7,170,170,100.0,11007
22,19,0,0,0.0,22019
22,21,256,256,100.0,22021
24,1,247,247,100.0,24001
24,2,213,213,100.0,24002
24,3,192,192,100.0,24003
24,4,200,200,100.0,24004
24,5,108,108,100.0,24005
24,6,226,226,100.0,24006
24,8,94,94,100.0,24008
24,9,213,213,100.0,24009
24,10,95,95,100.0,24010
24,11,218,218,100.0,24011
24,12,130,130,100.0,24012
24,13,106,106,100.0,24013
24,14,169,169,100.0,24014
24,15,123,123,100.0,24015
24,17,168,168,100.0,24017
24,18,241,241,100.0,24018
24,19,267,267,100.0,24019
24,20,170,170,100.0,24020
24,21,126,126,100.0,24021
24,22,280,280,100.0,24022
24,23,196,196,100.0,24023
24,24,251,251,100.0,24024
24,25,179,179,100.0,24025
24,26,281,281,100.0,24026
24,27,216,216,100.0,24027
24,28,157,157,100.0,24028
24,29,155,155,100.0,24029
24,30,112,112,100.0,24030
24,31,257,257,100.0,24031
24,32,117,117,100.0,24032
24,33,141,141,100.0,24033
24,34,180,180,100.0,24034
24,35,212,212,100.0,24035
24,36,281,281,100.0,24036
24,37,136,136,100.0,24037
24,38,165,165,100.0,24038
24,40,190,190,100.0,24040
24,41,157,157,100.0,24041
25,3,223,223,100.0,25003
25,4,167,167,100.0,25004
25,10,207,207,100.0,25010
25,16,172,172,100.0,25016
25,20,172,172,100.0,25020
25,25,10,10,100.0,25025
25,27,99,99,100.0,25027
25,29,168,168,100.0,25029
25,31,188,188,100.0,25031
26,2,116,116,100.0,26002
26,10,80,80,100.0,26010
26,17,122,122,100.0,26017
26,31,0,0,0.0,26031
26,46,97,97,100.0,26046
27,2,179,179,100.0,27002
27,3,122,122,100.0,27003
27,4,135,135,100.0,27004
27,5,150,150,100.0,27005
27,8,203,203,100.0,27008
27,10,247,247,100.0,27010
27,14,133,133,100.0,27014
27,15,164,164,100.0,27015
27,16,130,130,100.0,27016
27,17,226,226,100.0,27017
27,18,181,181,100.0,27018
27,19,142,142,100.0,27019
27,22,139,139,100.0,27022
27,23,185,185,100.0,27023
27,24,152,152,100.0,27024
27,25,177,177,100.0,27025
27,26,179,179,100.0,27026
27,27,225,225,100.0,27027
27,29,181,181,100.0,27029
27,30,145,145,100.0,27030
27,31,183,183,100.0,27031
27,32,157,157,100.0,27032
27,33,129,129,100.0,27033
27,34,202,202,100.0,27034
27,36,171,171,100.0,27036
27,39,182,182,100.0,27039
27,41,191,191,100.0,27041
27,43,94,94,100.0,27043
27,44,199,199,100.0,27044
27,45,218,218,100.0,27045
27,49,159,159,100.0,27049
27,50,188,188,100.0,27050
28,1,218,218,100.0,28001
28,2,196,196,100.0,28002
28,3,163,163,100.0,28003
28,4,122,122,100.0,28004
28,5,137,137,100.0,28005
28,6,98,98,100.0,28006
28,7,235,235,100.0,28007
28,8,108,108,100.0,28008
28,9,202,202,100.0,28009
28,10,227,227,100.0,28010
28,11,344,344,100.0,28011
28,12,212,212,100.0,28012
28,13,191,191,100.0,28013
28,14,197,197,100.0,28014
28,15,70,70,100.0,28015
28,16,140,140,100.0,28016
28,17,204,204,100.0,28017
28,18,162,162,100.0,28018
28,19,152,152,100.0,28019
28,20,188,188,100.0,28020
28,21,169,169,100.0,28021
28,22,177,177,100.0,28022
28,23,257,257,100.0,28023
28,24,187,187,100.0,28024
28,25,303,303,100.0,28025
28,26,223,223,100.0,28026
28,27,181,181,100.0,28027
28,28,202,202,100.0,28028
28,29,97,97,100.0,28029
28,30,35,35,100.0,28030
28,31,268,268,100.0,28031
28,32,195,195,100.0,28032
28,33,250,250,100.0,28033
28,34,355,355,100.0,28034
28,35,208,208,100.0,28035
28,36,130,130,100.0,28036
28,37,289,289,100.0,28037
28,38,101,101,100.0,28038
28,39,163,163,100.0,28039
28,40,281,281,100.0,28040
28,41,181,181,100.0,28041
28,42,220,220,100.0,28042
28,43,281,281,100.0,28043
28,44,138,138,100.0,28044
28,45,147,147,100.0,28045
28,46,297,297,100.0,28046
29,2,376,376,100.0,29002
29,3,285,285,100.0,29003
29,4,288,288,100.0,29004
29,5,224,224,100.0,29005
29,6,243,243,100.0,29006
29,8,231,231,100.0,29008
29,11,161,161,100.0,29011
29,13,246,246,100.0,29013
29,14,251,251,100.0,29014
29,16,335,335,100.0,29016
29,18,288,288,100.0,29018
29,19,297,297,100.0,29019
29,20,297,297,100.0,29020
29,21,347,347,100.0,29021
29,22,187,187,100.0,29022
29,25,278,278,100.0,29025
29,26,238,238,100.0,29026
29,27,209,209,100.0,29027
29,28,323,323,100.0,29028
29,33,191,191,100.0,29033
29,34,134,134,100.0,29034
29,35,217,217,100.0,29035
29,37,246,246,100.0,29037
29,40,312,312,100.0,29040
29,41,211,211,100.0,29041
29,42,284,284,100.0,29042
29,44,331,331,100.0,29044
37,1,191,191,100.0,37001
37,3,192,192,100.0,37003
37,4,202,202,100.0,37004
37,5,250,250,100.0,37005
37,6,222,222,100.0,37006
37,7,146,146,100.0,37007
37,8,139,139,100.0,37008
37,9,247,247,100.0,37009
37,11,161,161,100.0,37011
37,13,182,182,100.0,37013
37,14,226,226,100.0,37014
37,15,243,243,100.0,37015
37,17,216,216,100.0,37017
37,18,227,227,100.0,37018
37,19,180,180,100.0,37019
37,20,204,204,100.0,37020
37,21,173,173,100.0,37021
37,22,23,23,100.0,37022
37,23,249,249,100.0,37023
37,24,96,96,100.0,37024
37,25,216,216,100.0,37025
37,27,198,198,100.0,37027
37,28,194,194,100.0,37028
37,29,231,231,100.0,37029
37,30,236,236,100.0,37030
37,31,251,251,100.0,37031
37,32,185,185,100.0,37032
37,33,214,214,100.0,37033
37,34,205,205,100.0,37034
37,35,220,220,100.0,37035
37,36,213,213,100.0,37036
37,37,233,233,100.0,37037
37,38,254,254,100.0,37038
37,39,192,192,100.0,37039
37,40,253,253,100.0,37040
37,41,164,164,100.0,37041
42,3,220,220,100.0,42003
42,12,61,61,100.0,42012
42,16,176,176,100.0,42016
42,18,159,159,100.0,42018
42,21,142,142,100.0,42021
42,36,194,194,100.0,42036
42,41,175,175,100.0,42041
