ward,precinct,total,Tim Egan,Tim Egan Percent,precinct_id
2,1,217,217,100.0,02001
2,2,115,115,100.0,02002
2,3,228,228,100.0,02003
2,4,198,198,100.0,02004
2,5,255,255,100.0,02005
2,6,252,252,100.0,02006
2,7,194,194,100.0,02007
2,8,218,218,100.0,02008
2,9,131,131,100.0,02009
2,10,147,147,100.0,02010
2,11,135,135,100.0,02011
2,12,215,215,100.0,02012
2,13,166,166,100.0,02013
2,14,245,245,100.0,02014
2,15,191,191,100.0,02015
2,16,189,189,100.0,02016
2,17,257,257,100.0,02017
2,18,176,176,100.0,02018
2,19,113,113,100.0,02019
2,20,181,181,100.0,02020
2,21,236,236,100.0,02021
2,22,177,177,100.0,02022
2,23,106,106,100.0,02023
2,24,161,161,100.0,02024
2,25,217,217,100.0,02025
2,26,164,164,100.0,02026
2,27,149,149,100.0,02027
2,28,180,180,100.0,02028
2,29,169,169,100.0,02029
2,30,152,152,100.0,02030
2,31,223,223,100.0,02031
2,32,145,145,100.0,02032
2,33,275,275,100.0,02033
2,34,148,148,100.0,02034
2,35,167,167,100.0,02035
2,36,133,133,100.0,02036
2,37,188,188,100.0,02037
2,38,151,151,100.0,02038
2,39,117,117,100.0,02039
2,40,151,151,100.0,02040
2,41,125,125,100.0,02041
2,42,175,175,100.0,02042
2,43,188,188,100.0,02043
2,44,104,104,100.0,02044
2,45,225,225,100.0,02045
2,46,95,95,100.0,02046
