ward,precinct,total,Toni L. Foulkes,Toni L. Foulkes Percent,Nathan Wilson,Nathan Wilson Percent,Stephanie D. Coleman,Stephanie D. Coleman Percent,precinct_id
16,1,302,132,43.71,55,18.21,115,38.08,16001
16,2,296,116,39.19,62,20.95,118,39.86,16002
16,3,233,112,48.07,35,15.02,86,36.91,16003
16,4,219,96,43.84,45,20.55,78,35.62,16004
16,5,261,81,31.03,56,21.46,124,47.51,16005
16,6,277,143,51.62,52,18.77,82,29.6,16006
16,7,255,87,34.12,45,17.65,123,48.24,16007
16,8,200,81,40.5,27,13.5,92,46.0,16008
16,9,315,109,34.6,54,17.14,152,48.25,16009
16,10,235,88,37.45,39,16.6,108,45.96,16010
16,11,257,75,29.18,63,24.51,119,46.3,16011
16,12,242,79,32.64,44,18.18,119,49.17,16012
16,13,264,129,48.86,50,18.94,85,32.2,16013
16,14,225,66,29.33,37,16.44,122,54.22,16014
16,15,302,66,21.85,114,37.75,122,40.4,16015
16,16,260,137,52.69,48,18.46,75,28.85,16016
16,17,263,118,44.87,55,20.91,90,34.22,16017
16,18,253,108,42.69,58,22.92,87,34.39,16018
16,19,257,96,37.35,47,18.29,114,44.36,16019
16,20,242,60,24.79,37,15.29,145,59.92,16020
16,21,231,109,47.19,28,12.12,94,40.69,16021
16,22,245,110,44.9,35,14.29,100,40.82,16022
16,23,247,79,31.98,48,19.43,120,48.58,16023
16,24,176,79,44.89,27,15.34,70,39.77,16024
16,25,291,86,29.55,58,19.93,147,50.52,16025
16,26,236,43,18.22,29,12.29,164,69.49,16026
16,27,236,107,45.34,23,9.75,106,44.92,16027
16,28,256,116,45.31,48,18.75,92,35.94,16028
16,29,235,108,45.96,34,14.47,93,39.57,16029
16,30,209,80,38.28,32,15.31,97,46.41,16030
16,31,271,98,36.16,33,12.18,140,51.66,16031
16,32,278,106,38.13,53,19.06,119,42.81,16032
16,33,240,105,43.75,22,9.17,113,47.08,16033
16,34,254,116,45.67,36,14.17,102,40.16,16034
16,35,269,88,32.71,61,22.68,120,44.61,16035
16,36,200,55,27.5,36,18.0,109,54.5,16036
