ward,precinct,total,Michael D. Rodriguez,Michael D. Rodriguez Percent,precinct_id
22,1,181,181,100.0,22001
22,2,279,279,100.0,22002
22,3,385,385,100.0,22003
22,4,242,242,100.0,22004
22,5,291,291,100.0,22005
22,6,262,262,100.0,22006
22,7,194,194,100.0,22007
22,8,303,303,100.0,22008
22,9,235,235,100.0,22009
22,10,390,390,100.0,22010
22,11,205,205,100.0,22011
22,12,227,227,100.0,22012
22,13,295,295,100.0,22013
22,14,208,208,100.0,22014
22,15,229,229,100.0,22015
22,16,279,279,100.0,22016
22,17,296,296,100.0,22017
22,18,248,248,100.0,22018
22,19,137,137,100.0,22019
22,20,291,291,100.0,22020
22,21,307,307,100.0,22021
22,22,253,253,100.0,22022
22,23,313,313,100.0,22023
22,24,344,344,100.0,22024
22,25,288,288,100.0,22025
