ward,precinct,total,Marcus Lewis,Marcus Lewis Percent,Robin Kelly,Robin Kelly Percent,Dorian C.L. Myrickes,Dorian C.L. Myrickes Percent,Charles Rayburn,Charles Rayburn Percent,precinct_id
5,1,346,81,23.41,236,68.21,10,2.89,19,5.49,05001
5,6,334,54,16.17,245,73.35,16,4.79,19,5.69,05006
5,10,149,35,23.49,102,68.46,5,3.36,7,4.7,05010
5,11,225,24,10.67,181,80.44,9,4.0,11,4.89,05011
5,14,358,59,16.48,285,79.61,0,0.0,14,3.91,05014
5,18,123,17,13.82,102,82.93,2,1.63,2,1.63,05018
5,23,569,63,11.07,470,82.6,17,2.99,19,3.34,05023
5,25,265,34,12.83,217,81.89,4,1.51,10,3.77,05025
5,26,383,83,21.67,266,69.45,13,3.39,21,5.48,05026
5,28,429,87,20.28,317,73.89,10,2.33,15,3.5,05028
5,29,436,73,16.74,328,75.23,12,2.75,23,5.28,05029
5,31,319,74,23.2,207,64.89,16,5.02,22,6.9,05031
5,32,446,72,16.14,355,79.6,6,1.35,13,2.91,05032
5,35,42,4,9.52,37,88.1,0,0.0,1,2.38,05035
5,36,293,82,27.99,184,62.8,12,4.1,15,5.12,05036
5,37,347,32,9.22,290,83.57,8,2.31,17,4.9,05037
5,38,397,72,18.14,288,72.54,22,5.54,15,3.78,05038
5,40,296,53,17.91,215,72.64,11,3.72,17,5.74,05040
5,41,205,21,10.24,179,87.32,2,0.98,3,1.46,05041
7,1,168,30,17.86,113,67.26,10,5.95,15,8.93,07001
7,2,320,47,14.69,242,75.63,11,3.44,20,6.25,07002
7,3,328,57,17.38,248,75.61,10,3.05,13,3.96,07003
7,4,358,50,13.97,283,79.05,10,2.79,15,4.19,07004
7,5,257,62,24.12,171,66.54,14,5.45,10,3.89,07005
7,6,405,61,15.06,308,76.05,16,3.95,20,4.94,07006
7,7,313,65,20.77,231,73.8,11,3.51,6,1.92,07007
7,8,277,53,19.13,195,70.4,12,4.33,17,6.14,07008
7,9,498,79,15.86,378,75.9,20,4.02,21,4.22,07009
7,10,365,54,14.79,284,77.81,15,4.11,12,3.29,07010
7,11,399,68,17.04,299,74.94,14,3.51,18,4.51,07011
7,12,326,61,18.71,230,70.55,17,5.21,18,5.52,07012
7,13,197,26,13.2,137,69.54,15,7.61,19,9.64,07013
7,14,344,80,23.26,213,61.92,25,7.27,26,7.56,07014
7,15,342,59,17.25,257,75.15,6,1.75,20,5.85,07015
7,16,293,62,21.16,200,68.26,14,4.78,17,5.8,07016
7,17,295,53,17.97,217,73.56,14,4.75,11,3.73,07017
7,18,259,56,21.62,166,64.09,12,4.63,25,9.65,07018
7,19,333,67,20.12,238,71.47,10,3.0,18,5.41,07019
7,20,243,42,17.28,178,73.25,17,7.0,6,2.47,07020
7,21,261,59,22.61,169,64.75,18,6.9,15,5.75,07021
7,22,246,53,21.54,169,68.7,12,4.88,12,4.88,07022
7,23,345,60,17.39,259,75.07,8,2.32,18,5.22,07023
7,24,292,60,20.55,208,71.23,12,4.11,12,4.11,07024
7,25,322,62,19.25,219,68.01,19,5.9,22,6.83,07025
7,26,290,63,21.72,205,70.69,8,2.76,14,4.83,07026
7,27,273,44,16.12,201,73.63,10,3.66,18,6.59,07027
7,28,228,60,26.32,143,62.72,8,3.51,17,7.46,07028
7,29,288,44,15.28,224,77.78,12,4.17,8,2.78,07029
7,30,245,67,27.35,153,62.45,14,5.71,11,4.49,07030
7,31,207,60,28.99,120,57.97,17,8.21,10,4.83,07031
7,32,461,82,17.79,347,75.27,16,3.47,16,3.47,07032
7,33,430,69,16.05,335,77.91,14,3.26,12,2.79,07033
7,34,387,63,16.28,293,75.71,13,3.36,18,4.65,07034
7,35,312,61,19.55,229,73.4,11,3.53,11,3.53,07035
7,36,402,79,19.65,297,73.88,13,3.23,13,3.23,07036
7,37,380,67,17.63,278,73.16,14,3.68,21,5.53,07037
7,38,290,63,21.72,198,68.28,12,4.14,17,5.86,07038
7,39,311,56,18.01,235,75.56,9,2.89,11,3.54,07039
7,40,302,69,22.85,202,66.89,16,5.3,15,4.97,07040
7,41,325,71,21.85,221,68.0,18,5.54,15,4.62,07041
7,42,317,69,21.77,222,70.03,12,3.79,14,4.42,07042
7,43,299,63,21.07,201,67.22,20,6.69,15,5.02,07043
7,44,299,71,23.75,206,68.9,12,4.01,10,3.34,07044
7,45,338,87,25.74,211,62.43,22,6.51,18,5.33,07045
7,46,158,42,26.58,99,62.66,9,5.7,8,5.06,07046
8,4,175,32,18.29,137,78.29,4,2.29,2,1.14,08004
8,5,6,3,50.0,3,50.0,0,0.0,0,0.0,08005
8,7,408,95,23.28,284,69.61,7,1.72,22,5.39,08007
8,9,245,49,20.0,179,73.06,5,2.04,12,4.9,08009
8,17,301,61,20.27,225,74.75,6,1.99,9,2.99,08017
8,27,296,43,14.53,235,79.39,6,2.03,12,4.05,08027
8,28,357,63,17.65,266,74.51,11,3.08,17,4.76,08028
8,32,270,45,16.67,206,76.3,6,2.22,13,4.81,08032
8,36,363,68,18.73,276,76.03,8,2.2,11,3.03,08036
8,39,365,64,17.53,283,77.53,5,1.37,13,3.56,08039
8,42,431,67,15.55,337,78.19,8,1.86,19,4.41,08042
8,46,269,47,17.47,200,74.35,6,2.23,16,5.95,08046
8,49,19,2,10.53,16,84.21,1,5.26,0,0.0,08049
8,50,116,14,12.07,96,82.76,1,0.86,5,4.31,08050
8,53,200,46,23.0,138,69.0,7,3.5,9,4.5,08053
9,1,366,63,17.21,272,74.32,12,3.28,19,5.19,09001
9,2,317,59,18.61,202,63.72,26,8.2,30,9.46,09002
9,3,292,62,21.23,187,64.04,21,7.19,22,7.53,09003
9,4,276,49,17.75,211,76.45,9,3.26,7,2.54,09004
9,5,307,54,17.59,235,76.55,4,1.3,14,4.56,09005
9,6,326,72,22.09,228,69.94,8,2.45,18,5.52,09006
9,7,253,57,22.53,171,67.59,9,3.56,16,6.32,09007
9,8,338,79,23.37,230,68.05,15,4.44,14,4.14,09008
9,9,382,67,17.54,289,75.65,6,1.57,20,5.24,09009
9,10,302,69,22.85,199,65.89,18,5.96,16,5.3,09010
9,11,247,64,25.91,143,57.89,17,6.88,23,9.31,09011
9,13,360,62,17.22,269,74.72,7,1.94,22,6.11,09013
9,14,433,66,15.24,327,75.52,14,3.23,26,6.0,09014
9,15,350,74,21.14,233,66.57,23,6.57,20,5.71,09015
9,16,321,51,15.89,246,76.64,7,2.18,17,5.3,09016
9,17,278,58,20.86,189,67.99,19,6.83,12,4.32,09017
9,18,244,73,29.92,146,59.84,5,2.05,20,8.2,09018
9,19,336,62,18.45,242,72.02,15,4.46,17,5.06,09019
9,20,369,72,19.51,258,69.92,17,4.61,22,5.96,09020
9,21,284,62,21.83,197,69.37,6,2.11,19,6.69,09021
9,22,360,66,18.33,255,70.83,18,5.0,21,5.83,09022
9,26,327,75,22.94,199,60.86,26,7.95,27,8.26,09026
9,27,314,75,23.89,201,64.01,13,4.14,25,7.96,09027
9,28,219,46,21.0,142,64.84,16,7.31,15,6.85,09028
9,29,287,53,18.47,200,69.69,14,4.88,20,6.97,09029
9,30,303,58,19.14,210,69.31,11,3.63,24,7.92,09030
9,31,259,44,16.99,183,70.66,10,3.86,22,8.49,09031
9,32,293,49,16.72,214,73.04,12,4.1,18,6.14,09032
9,33,260,59,22.69,180,69.23,8,3.08,13,5.0,09033
9,34,281,61,21.71,183,65.12,14,4.98,23,8.19,09034
9,35,324,51,15.74,245,75.62,9,2.78,19,5.86,09035
9,37,360,43,11.94,282,78.33,15,4.17,20,5.56,09037
9,38,324,63,19.44,219,67.59,18,5.56,24,7.41,09038
9,39,350,76,21.71,244,69.71,13,3.71,17,4.86,09039
9,40,371,52,14.02,269,72.51,18,4.85,32,8.63,09040
9,41,283,55,19.43,206,72.79,10,3.53,12,4.24,09041
9,43,305,67,21.97,195,63.93,14,4.59,29,9.51,09043
9,44,299,43,14.38,233,77.93,14,4.68,9,3.01,09044
9,45,273,51,18.68,195,71.43,12,4.4,15,5.49,09045
9,46,325,55,16.92,231,71.08,14,4.31,25,7.69,09046
10,1,281,63,22.42,174,61.92,22,7.83,22,7.83,10001
10,2,213,38,17.84,130,61.03,19,8.92,26,12.21,10002
10,3,223,39,17.49,147,65.92,19,8.52,18,8.07,10003
10,4,241,63,26.14,135,56.02,19,7.88,24,9.96,10004
10,5,179,37,20.67,108,60.34,15,8.38,19,10.61,10005
10,6,220,48,21.82,136,61.82,18,8.18,18,8.18,10006
10,7,204,58,28.43,111,54.41,20,9.8,15,7.35,10007
10,8,229,69,30.13,120,52.4,18,7.86,22,9.61,10008
10,9,215,47,21.86,123,57.21,26,12.09,19,8.84,10009
10,10,275,48,17.45,175,63.64,31,11.27,21,7.64,10010
10,11,319,70,21.94,191,59.87,29,9.09,29,9.09,10011
10,12,188,40,21.28,112,59.57,19,10.11,17,9.04,10012
10,13,318,70,22.01,183,57.55,41,12.89,24,7.55,10013
10,14,335,73,21.79,192,57.31,44,13.13,26,7.76,10014
10,15,618,135,21.84,436,70.55,22,3.56,25,4.05,10015
10,16,197,26,13.2,137,69.54,19,9.64,15,7.61,10016
10,17,283,49,17.31,188,66.43,15,5.3,31,10.95,10017
10,18,200,46,23.0,113,56.5,22,11.0,19,9.5,10018
10,19,235,47,20.0,131,55.74,27,11.49,30,12.77,10019
10,20,275,64,23.27,156,56.73,23,8.36,32,11.64,10020
10,21,292,65,22.26,165,56.51,38,13.01,24,8.22,10021
10,22,176,43,24.43,100,56.82,17,9.66,16,9.09,10022
10,23,279,54,19.35,169,60.57,27,9.68,29,10.39,10023
10,24,220,29,13.18,152,69.09,16,7.27,23,10.45,10024
10,25,99,17,17.17,70,70.71,4,4.04,8,8.08,10025
10,26,225,58,25.78,121,53.78,24,10.67,22,9.78,10026
