ward,precinct,total,Richard F. Mell,Richard F. Mell Percent,Aaron Goldstein,Aaron Goldstein Percent,precinct_id
33,1,379,189,49.87,190,50.13,33001
33,2,430,232,53.95,198,46.05,33002
33,3,444,182,40.99,262,59.01,33003
33,4,457,251,54.92,206,45.08,33004
33,5,273,156,57.14,117,42.86,33005
33,6,369,260,70.46,109,29.54,33006
33,7,317,164,51.74,153,48.26,33007
33,8,498,138,27.71,360,72.29,33008
33,9,353,188,53.26,165,46.74,33009
33,10,329,187,56.84,142,43.16,33010
33,11,376,196,52.13,180,47.87,33011
33,12,391,267,68.29,124,31.71,33012
33,13,390,221,56.67,169,43.33,33013
33,14,176,94,53.41,82,46.59,33014
33,15,437,242,55.38,195,44.62,33015
33,16,511,287,56.16,224,43.84,33016
33,17,390,180,46.15,210,53.85,33017
33,18,412,179,43.45,233,56.55,33018
33,19,364,188,51.65,176,48.35,33019
33,20,455,162,35.6,293,64.4,33020
33,21,401,198,49.38,203,50.62,33021
33,22,429,290,67.6,139,32.4,33022
33,23,387,175,45.22,212,54.78,33023
33,24,500,172,34.4,328,65.6,33024
33,25,442,171,38.69,271,61.31,33025
33,26,284,122,42.96,162,57.04,33026
33,27,336,143,42.56,193,57.44,33027
33,28,334,173,51.8,161,48.2,33028
