ward,precinct,total,Ira I. Silverstein,Ira I. Silverstein Percent,precinct_id
50,1,142,142,100.0,50001
50,2,119,119,100.0,50002
50,3,179,179,100.0,50003
50,4,217,217,100.0,50004
50,5,104,104,100.0,50005
50,6,244,244,100.0,50006
50,7,276,276,100.0,50007
50,8,190,190,100.0,50008
50,9,174,174,100.0,50009
50,10,171,171,100.0,50010
50,11,78,78,100.0,50011
50,12,80,80,100.0,50012
50,13,257,257,100.0,50013
50,14,56,56,100.0,50014
50,15,275,275,100.0,50015
50,16,58,58,100.0,50016
50,17,154,154,100.0,50017
50,18,29,29,100.0,50018
50,19,143,143,100.0,50019
50,20,227,227,100.0,50020
50,21,185,185,100.0,50021
50,22,141,141,100.0,50022
50,23,112,112,100.0,50023
50,24,110,110,100.0,50024
50,25,126,126,100.0,50025
50,26,202,202,100.0,50026
50,27,63,63,100.0,50027
50,28,209,209,100.0,50028
50,29,170,170,100.0,50029
50,30,153,153,100.0,50030
50,31,248,248,100.0,50031
50,32,225,225,100.0,50032
50,33,120,120,100.0,50033
50,34,261,261,100.0,50034
50,35,283,283,100.0,50035
50,36,208,208,100.0,50036
50,37,258,258,100.0,50037
50,38,109,109,100.0,50038
50,39,112,112,100.0,50039
50,40,131,131,100.0,50040
