ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Thomas Day,Thomas Day Percent,precinct_id
1,12,307,171,55.7,136,44.3,01012
1,14,78,53,67.95,25,32.05,01014
1,15,44,33,75.0,11,25.0,01015
1,32,116,74,63.79,42,36.21,01032
2,2,190,124,65.26,66,34.74,02002
2,9,192,140,72.92,52,27.08,02009
2,10,205,155,75.61,50,24.39,02010
2,11,218,156,71.56,62,28.44,02011
2,12,204,178,87.25,26,12.75,02012
2,13,250,176,70.4,74,29.6,02013
2,14,269,163,60.59,106,39.41,02014
2,17,304,186,61.18,118,38.82,02017
2,18,238,165,69.33,73,30.67,02018
2,19,165,126,76.36,39,23.64,02019
2,20,85,61,71.76,24,28.24,02020
2,21,4,4,100.0,0,0.0,02021
2,23,177,122,68.93,55,31.07,02023
2,27,204,126,61.76,78,38.24,02027
2,28,18,14,77.78,4,22.22,02028
2,29,231,142,61.47,89,38.53,02029
2,32,186,120,64.52,66,35.48,02032
2,34,204,144,70.59,60,29.41,02034
2,35,226,144,63.72,82,36.28,02035
2,36,185,121,65.41,64,34.59,02036
2,38,175,115,65.71,60,34.29,02038
2,39,153,110,71.9,43,28.1,02039
2,40,208,142,68.27,66,31.73,02040
2,41,178,117,65.73,61,34.27,02041
2,42,239,154,64.44,85,35.56,02042
2,43,248,180,72.58,68,27.42,02043
2,45,285,219,76.84,66,23.16,02045
2,46,141,88,62.41,53,37.59,02046
3,1,530,465,87.74,65,12.26,03001
3,2,528,473,89.58,55,10.42,03002
3,3,346,285,82.37,61,17.63,03003
3,4,58,49,84.48,9,15.52,03004
3,5,313,277,88.5,36,11.5,03005
3,6,303,210,69.31,93,30.69,03006
3,8,407,345,84.77,62,15.23,03008
3,9,436,377,86.47,59,13.53,03009
3,10,233,213,91.42,20,8.58,03010
3,11,442,382,86.43,60,13.57,03011
3,12,407,379,93.12,28,6.88,03012
3,13,374,258,68.98,116,31.02,03013
3,14,346,249,71.97,97,28.03,03014
3,15,444,388,87.39,56,12.61,03015
3,16,423,368,87.0,55,13.0,03016
3,17,374,296,79.14,78,20.86,03017
3,18,411,345,83.94,66,16.06,03018
3,19,296,224,75.68,72,24.32,03019
3,20,446,387,86.77,59,13.23,03020
3,21,348,283,81.32,65,18.68,03021
3,22,375,240,64.0,135,36.0,03022
3,23,301,262,87.04,39,12.96,03023
3,24,374,326,87.17,48,12.83,03024
3,25,399,284,71.18,115,28.82,03025
3,26,410,317,77.32,93,22.68,03026
3,27,302,214,70.86,88,29.14,03027
3,28,298,271,90.94,27,9.06,03028
3,29,432,365,84.49,67,15.51,03029
3,30,33,28,84.85,5,15.15,03030
3,31,490,429,87.55,61,12.45,03031
3,32,348,249,71.55,99,28.45,03032
3,33,324,225,69.44,99,30.56,03033
3,34,386,284,73.58,102,26.42,03034
3,35,18,17,94.44,1,5.56,03035
3,36,245,212,86.53,33,13.47,03036
3,37,363,327,90.08,36,9.92,03037
3,39,336,237,70.54,99,29.46,03039
3,40,418,342,81.82,76,18.18,03040
4,2,346,237,68.5,109,31.5,04002
4,4,485,418,86.19,67,13.81,04004
4,5,438,378,86.3,60,13.7,04005
4,6,506,438,86.56,68,13.44,04006
4,7,504,449,89.09,55,10.91,04007
4,8,40,36,90.0,4,10.0,04008
4,10,507,435,85.8,72,14.2,04010
4,11,301,265,88.04,36,11.96,04011
4,13,286,196,68.53,90,31.47,04013
4,14,71,63,88.73,8,11.27,04014
4,15,144,123,85.42,21,14.58,04015
