ward,precinct,total,Kwame Raoul,Kwame Raoul Percent,precinct_id
2,2,145,145,100.0,02002
2,10,155,155,100.0,02010
2,11,177,177,100.0,02011
2,13,205,205,100.0,02013
2,18,213,213,100.0,02018
2,19,128,128,100.0,02019
2,23,126,126,100.0,02023
2,27,111,111,100.0,02027
2,29,143,143,100.0,02029
2,34,171,171,100.0,02034
2,42,92,92,100.0,02042
3,2,25,25,100.0,03002
3,4,379,379,100.0,03004
3,11,146,146,100.0,03011
3,12,128,128,100.0,03012
3,19,270,270,100.0,03019
3,21,37,37,100.0,03021
3,27,149,149,100.0,03027
3,30,327,327,100.0,03030
3,31,216,216,100.0,03031
4,1,448,448,100.0,04001
4,3,334,334,100.0,04003
4,4,472,472,100.0,04004
4,5,391,391,100.0,04005
4,6,111,111,100.0,04006
4,7,430,430,100.0,04007
4,8,437,437,100.0,04008
4,9,476,476,100.0,04009
4,10,465,465,100.0,04010
4,11,287,287,100.0,04011
4,12,424,424,100.0,04012
4,15,467,467,100.0,04015
4,18,308,308,100.0,04018
4,19,307,307,100.0,04019
4,22,387,387,100.0,04022
4,23,481,481,100.0,04023
4,24,350,350,100.0,04024
4,26,332,332,100.0,04026
4,27,419,419,100.0,04027
4,28,335,335,100.0,04028
4,29,338,338,100.0,04029
4,30,445,445,100.0,04030
4,31,409,409,100.0,04031
4,32,381,381,100.0,04032
4,33,408,408,100.0,04033
4,34,333,333,100.0,04034
4,35,471,471,100.0,04035
4,36,202,202,100.0,04036
4,38,291,291,100.0,04038
5,1,283,283,100.0,05001
5,3,352,352,100.0,05003
5,4,396,396,100.0,05004
5,5,305,305,100.0,05005
5,6,275,275,100.0,05006
5,7,349,349,100.0,05007
5,8,351,351,100.0,05008
5,9,435,435,100.0,05009
5,10,262,262,100.0,05010
5,11,369,369,100.0,05011
5,13,154,154,100.0,05013
5,14,323,323,100.0,05014
5,15,327,327,100.0,05015
5,16,314,314,100.0,05016
5,17,292,292,100.0,05017
5,18,320,320,100.0,05018
5,19,326,326,100.0,05019
5,20,387,387,100.0,05020
5,21,364,364,100.0,05021
5,22,396,396,100.0,05022
5,23,558,558,100.0,05023
5,24,391,391,100.0,05024
5,25,333,333,100.0,05025
5,26,330,330,100.0,05026
5,27,318,318,100.0,05027
5,28,382,382,100.0,05028
5,29,386,386,100.0,05029
5,30,120,120,100.0,05030
5,31,274,274,100.0,05031
5,32,393,393,100.0,05032
5,33,344,344,100.0,05033
5,34,401,401,100.0,05034
5,35,368,368,100.0,05035
5,36,230,230,100.0,05036
5,37,342,342,100.0,05037
5,38,333,333,100.0,05038
5,39,269,269,100.0,05039
5,40,263,263,100.0,05040
5,41,196,196,100.0,05041
7,1,235,235,100.0,07001
7,2,267,267,100.0,07002
7,3,195,195,100.0,07003
7,4,308,308,100.0,07004
7,5,219,219,100.0,07005
7,6,362,362,100.0,07006
7,7,258,258,100.0,07007
7,8,245,245,100.0,07008
7,9,438,438,100.0,07009
7,10,303,303,100.0,07010
7,11,346,346,100.0,07011
7,12,244,244,100.0,07012
7,13,157,157,100.0,07013
7,14,288,288,100.0,07014
7,15,287,287,100.0,07015
7,16,249,249,100.0,07016
7,17,236,236,100.0,07017
7,18,226,226,100.0,07018
7,19,274,274,100.0,07019
7,20,204,204,100.0,07020
7,21,226,226,100.0,07021
7,22,207,207,100.0,07022
7,23,293,293,100.0,07023
7,24,234,234,100.0,07024
7,25,269,269,100.0,07025
7,28,50,50,100.0,07028
7,30,81,81,100.0,07030
7,31,175,175,100.0,07031
7,32,222,222,100.0,07032
7,33,387,387,100.0,07033
7,34,335,335,100.0,07034
7,35,271,271,100.0,07035
7,37,286,286,100.0,07037
7,46,125,125,100.0,07046
8,1,2,2,100.0,08001
8,2,36,36,100.0,08002
8,21,1,1,100.0,08021
8,42,378,378,100.0,08042
10,1,237,237,100.0,10001
10,4,191,191,100.0,10004
10,6,192,192,100.0,10006
10,7,155,155,100.0,10007
10,8,188,188,100.0,10008
10,10,217,217,100.0,10010
10,11,253,253,100.0,10011
10,12,153,153,100.0,10012
10,14,276,276,100.0,10014
10,18,167,167,100.0,10018
10,19,199,199,100.0,10019
10,20,211,211,100.0,10020
10,21,239,239,100.0,10021
10,22,150,150,100.0,10022
10,23,227,227,100.0,10023
10,25,85,85,100.0,10025
10,26,192,192,100.0,10026
10,27,217,217,100.0,10027
10,28,263,263,100.0,10028
10,29,205,205,100.0,10029
10,30,213,213,100.0,10030
10,31,186,186,100.0,10031
10,32,214,214,100.0,10032
10,33,165,165,100.0,10033
10,34,159,159,100.0,10034
10,35,204,204,100.0,10035
10,36,54,54,100.0,10036
20,5,267,267,100.0,20005
20,9,322,322,100.0,20009
20,16,295,295,100.0,20016
20,22,372,372,100.0,20022
20,24,263,263,100.0,20024
20,26,302,302,100.0,20026
20,34,396,396,100.0,20034
42,1,196,196,100.0,42001
42,2,191,191,100.0,42002
42,4,315,315,100.0,42004
42,6,270,270,100.0,42006
42,7,221,221,100.0,42007
42,8,201,201,100.0,42008
42,11,132,132,100.0,42011
42,13,234,234,100.0,42013
42,19,79,79,100.0,42019
42,24,180,180,100.0,42024
42,26,220,220,100.0,42026
42,28,286,286,100.0,42028
42,29,196,196,100.0,42029
42,30,166,166,100.0,42030
42,31,219,219,100.0,42031
42,34,148,148,100.0,42034
42,35,320,320,100.0,42035
42,40,169,169,100.0,42040
43,35,207,207,100.0,43035
