ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,precinct_id
4,1,442,442,100.0,04001
4,5,377,377,100.0,04005
4,9,473,473,100.0,04009
4,10,438,438,100.0,04010
4,15,366,366,100.0,04015
4,22,393,393,100.0,04022
4,23,383,383,100.0,04023
4,27,419,419,100.0,04027
4,31,402,402,100.0,04031
4,34,72,72,100.0,04034
5,1,283,283,100.0,05001
5,3,363,363,100.0,05003
5,7,348,348,100.0,05007
5,8,378,378,100.0,05008
5,9,421,421,100.0,05009
5,11,366,366,100.0,05011
5,14,270,270,100.0,05014
5,17,278,278,100.0,05017
5,18,322,322,100.0,05018
5,19,346,346,100.0,05019
5,20,387,387,100.0,05020
5,21,214,214,100.0,05021
5,22,398,398,100.0,05022
5,23,576,576,100.0,05023
5,24,393,393,100.0,05024
5,25,328,328,100.0,05025
5,26,338,338,100.0,05026
5,27,331,331,100.0,05027
5,28,196,196,100.0,05028
5,29,395,395,100.0,05029
5,31,281,281,100.0,05031
5,32,396,396,100.0,05032
5,33,353,353,100.0,05033
5,34,430,430,100.0,05034
5,35,376,376,100.0,05035
5,37,351,351,100.0,05037
5,38,345,345,100.0,05038
5,39,294,294,100.0,05039
5,40,260,260,100.0,05040
5,41,205,205,100.0,05041
7,5,220,220,100.0,07005
7,6,352,352,100.0,07006
7,7,254,254,100.0,07007
7,8,228,228,100.0,07008
7,9,415,415,100.0,07009
7,11,303,303,100.0,07011
7,12,267,267,100.0,07012
7,13,175,175,100.0,07013
7,14,295,295,100.0,07014
7,16,248,248,100.0,07016
7,17,249,249,100.0,07017
7,18,227,227,100.0,07018
7,21,167,167,100.0,07021
7,22,204,204,100.0,07022
7,25,111,111,100.0,07025
7,32,218,218,100.0,07032
7,33,341,341,100.0,07033
7,34,322,322,100.0,07034
7,35,258,258,100.0,07035
7,37,278,278,100.0,07037
7,46,123,123,100.0,07046
10,1,241,241,100.0,10001
10,4,206,206,100.0,10004
10,6,204,204,100.0,10006
10,7,170,170,100.0,10007
10,8,192,192,100.0,10008
10,10,242,242,100.0,10010
10,11,290,290,100.0,10011
10,12,165,165,100.0,10012
10,14,301,301,100.0,10014
10,19,207,207,100.0,10019
10,20,229,229,100.0,10020
10,21,269,269,100.0,10021
10,22,156,156,100.0,10022
10,23,240,240,100.0,10023
10,25,87,87,100.0,10025
10,26,193,193,100.0,10026
10,28,280,280,100.0,10028
10,29,225,225,100.0,10029
10,30,227,227,100.0,10030
10,31,205,205,100.0,10031
10,32,233,233,100.0,10032
10,33,170,170,100.0,10033
10,34,15,15,100.0,10034
10,35,223,223,100.0,10035
10,36,55,55,100.0,10036
20,24,178,178,100.0,20024
20,26,322,322,100.0,20026
20,34,398,398,100.0,20034
