ward,precinct,total,"Marcus C. Evans, Jr.","Marcus C. Evans, Jr. Percent",precinct_id
7,26,273,273,100.0,07026
7,27,230,230,100.0,07027
7,28,139,139,100.0,07028
7,29,237,237,100.0,07029
7,30,133,133,100.0,07030
7,32,184,184,100.0,07032
7,36,371,371,100.0,07036
7,37,38,38,100.0,07037
7,38,250,250,100.0,07038
7,39,267,267,100.0,07039
7,40,257,257,100.0,07040
7,41,280,280,100.0,07041
7,42,280,280,100.0,07042
7,43,257,257,100.0,07043
7,44,255,255,100.0,07044
7,45,284,284,100.0,07045
8,3,360,360,100.0,08003
8,4,342,342,100.0,08004
8,5,347,347,100.0,08005
8,6,334,334,100.0,08006
8,7,366,366,100.0,08007
8,8,317,317,100.0,08008
8,10,391,391,100.0,08010
8,11,286,286,100.0,08011
8,12,273,273,100.0,08012
8,14,252,252,100.0,08014
8,15,244,244,100.0,08015
8,17,279,279,100.0,08017
8,18,294,294,100.0,08018
8,19,359,359,100.0,08019
8,23,254,254,100.0,08023
8,24,194,194,100.0,08024
8,25,304,304,100.0,08025
8,27,343,343,100.0,08027
8,29,379,379,100.0,08029
8,30,347,347,100.0,08030
8,33,303,303,100.0,08033
8,35,332,332,100.0,08035
8,36,324,324,100.0,08036
8,37,278,278,100.0,08037
8,38,201,201,100.0,08038
8,40,248,248,100.0,08040
8,41,300,300,100.0,08041
8,44,218,218,100.0,08044
8,45,201,201,100.0,08045
8,46,245,245,100.0,08046
8,48,299,299,100.0,08048
8,49,300,300,100.0,08049
8,50,324,324,100.0,08050
8,51,342,342,100.0,08051
8,52,407,407,100.0,08052
8,53,175,175,100.0,08053
8,54,117,117,100.0,08054
8,56,312,312,100.0,08056
10,2,173,173,100.0,10002
10,3,174,174,100.0,10003
10,5,152,152,100.0,10005
10,9,177,177,100.0,10009
10,13,260,260,100.0,10013
10,14,4,4,100.0,10014
10,15,542,542,100.0,10015
10,16,185,185,100.0,10016
10,17,243,243,100.0,10017
10,21,3,3,100.0,10021
10,23,5,5,100.0,10023
10,24,187,187,100.0,10024
10,27,5,5,100.0,10027
10,33,2,2,100.0,10033
