ward,precinct,total,Kurt D. Diekelman (Romney),Kurt D. Diekelman (Romney) Percent,Claudia Shabo (Romney),Claudia Shabo (Romney) Percent,Richard ''Rick'' Kennedy (Thompson),Richard ''Rick'' Kennedy (Thompson) Percent,Scott Boukal (McCain),Scott Boukal (McCain) Percent,Larry DeYoung (McCain),Larry DeYoung (McCain) Percent,Randall Michalowski (Paul),Randall Michalowski (Paul) Percent,Paul R. Jasinevicius (Paul),Paul R. Jasinevicius (Paul) Percent,Jacqueline Agee (Giuliani),Jacqueline Agee (Giuliani) Percent,Darren C. Collier (Giuliani),Darren C. Collier (Giuliani) Percent,precinct_id
5,1,6,0,0.0,0,0.0,2,33.33,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,05001
5,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05004
5,6,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,05006
5,7,3,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05007
5,11,22,7,31.82,8,36.36,0,0.0,2,9.09,2,9.09,1,4.55,1,4.55,0,0.0,0,0.0,05011
5,14,24,2,8.33,2,8.33,0,0.0,8,33.33,7,29.17,2,8.33,2,8.33,1,4.17,0,0.0,05014
5,21,4,1,25.0,1,25.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,05021
5,24,10,1,10.0,1,10.0,1,10.0,3,30.0,2,20.0,0,0.0,0,0.0,1,10.0,0,0.0,05024
5,26,2,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05026
5,28,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,05028
5,29,11,3,27.27,3,27.27,0,0.0,2,18.18,2,18.18,0,0.0,0,0.0,0,0.0,0,0.0,05029
5,31,3,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05031
5,32,6,1,16.67,1,16.67,0,0.0,1,16.67,2,33.33,0,0.0,1,16.67,0,0.0,0,0.0,05032
5,34,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05034
5,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05036
5,37,12,0,0.0,1,8.33,0,0.0,5,41.67,4,33.33,1,8.33,1,8.33,0,0.0,0,0.0,05037
5,38,18,2,11.11,2,11.11,0,0.0,6,33.33,6,33.33,1,5.56,1,5.56,0,0.0,0,0.0,05038
5,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05040
5,42,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,1,16.67,05042
5,43,4,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,05043
5,44,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33,0,0.0,0,0.0,05044
5,46,37,6,16.22,5,13.51,0,0.0,10,27.03,10,27.03,3,8.11,3,8.11,0,0.0,0,0.0,05046
5,47,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05047
5,49,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,05049
5,54,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,05054
6,21,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,06021
6,22,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,06022
6,64,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06064
7,1,6,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,2,33.33,2,33.33,0,0.0,0,0.0,07001
7,2,2,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,07002
7,3,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07003
7,4,9,1,11.11,2,22.22,0,0.0,1,11.11,2,22.22,0,0.0,0,0.0,1,11.11,1,11.11,07004
7,5,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07005
7,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07006
7,7,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07007
7,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07008
7,9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07009
7,10,4,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,07010
7,11,7,0,0.0,0,0.0,0,0.0,2,28.57,2,28.57,2,28.57,0,0.0,1,14.29,0,0.0,07011
7,12,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,07012
7,13,3,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,07013
7,14,4,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,07014
7,15,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,07015
7,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07016
7,17,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,07017
7,18,4,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,07018
7,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07019
7,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07020
7,21,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,07021
7,22,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07022
7,23,3,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07023
7,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07024
7,25,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,07025
7,26,4,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,07026
7,27,4,0,0.0,1,25.0,0,0.0,1,25.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,07027
7,28,2,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07028
7,29,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,07029
7,30,2,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07030
7,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07031
7,32,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,07032
7,33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07033
7,34,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07034
7,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07035
7,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07036
7,37,4,1,25.0,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,07037
7,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07038
7,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07039
7,40,4,1,25.0,1,25.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,07040
7,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07041
7,42,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,07042
7,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07043
7,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07044
7,45,2,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,07045
7,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07046
7,47,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07047
7,48,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,07048
7,49,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07049
7,50,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,07050
7,51,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07051
7,52,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,07052
7,53,3,0,0.0,0,0.0,0,0.0,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,07053
