ward,precinct,total,Carlos Saucedo (McCain),Carlos Saucedo (McCain) Percent,Kimberly Pate Godden (McCain),Kimberly Pate Godden (McCain) Percent,Jonathan Blessing (Romney),Jonathan Blessing (Romney) Percent,Sean Thomas McCarthy (Romney),Sean Thomas McCarthy (Romney) Percent,Brian G. Markey (Paul),Brian G. Markey (Paul) Percent,Christopher W. Barnes (Thompson),Christopher W. Barnes (Thompson) Percent,Jennifer L. Sheahan (Thompson),Jennifer L. Sheahan (Thompson) Percent,Andrew Gutierrez (Giuliani),Andrew Gutierrez (Giuliani) Percent,precinct_id
1,1,10,4,40.0,3,30.0,1,10.0,0,0.0,1,10.0,0,0.0,0,0.0,0,0.0,01001
1,2,32,9,28.13,13,40.63,2,6.25,3,9.38,2,6.25,0,0.0,1,3.13,0,0.0,01002
1,3,23,8,34.78,7,30.43,2,8.7,2,8.7,1,4.35,0,0.0,0,0.0,1,4.35,01003
1,4,25,5,20.0,7,28.0,5,20.0,4,16.0,2,8.0,0,0.0,0,0.0,0,0.0,01004
1,5,55,14,25.45,16,29.09,5,9.09,8,14.55,5,9.09,0,0.0,0,0.0,1,1.82,01005
1,7,51,9,17.65,12,23.53,10,19.61,9,17.65,3,5.88,0,0.0,1,1.96,3,5.88,01007
1,8,32,10,31.25,9,28.13,4,12.5,3,9.38,2,6.25,0,0.0,0,0.0,0,0.0,01008
1,9,34,6,17.65,9,26.47,4,11.76,5,14.71,2,5.88,1,2.94,0,0.0,1,2.94,01009
1,10,37,9,24.32,11,29.73,8,21.62,7,18.92,1,2.7,0,0.0,0,0.0,0,0.0,01010
1,11,4,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,01011
1,12,77,16,20.78,16,20.78,15,19.48,14,18.18,3,3.9,1,1.3,1,1.3,4,5.19,01012
1,13,42,8,19.05,10,23.81,4,9.52,2,4.76,6,14.29,1,2.38,0,0.0,2,4.76,01013
1,14,20,7,35.0,9,45.0,2,10.0,2,10.0,0,0.0,0,0.0,0,0.0,0,0.0,01014
1,15,17,5,29.41,4,23.53,4,23.53,4,23.53,0,0.0,0,0.0,0,0.0,0,0.0,01015
1,16,3,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,01016
1,17,27,8,29.63,13,48.15,2,7.41,1,3.7,1,3.7,0,0.0,0,0.0,1,3.7,01017
1,18,19,4,21.05,6,31.58,2,10.53,2,10.53,1,5.26,0,0.0,0,0.0,2,10.53,01018
1,19,22,8,36.36,8,36.36,2,9.09,3,13.64,0,0.0,0,0.0,0,0.0,0,0.0,01019
1,20,20,5,25.0,6,30.0,0,0.0,1,5.0,3,15.0,0,0.0,0,0.0,1,5.0,01020
1,21,42,9,21.43,14,33.33,6,14.29,6,14.29,3,7.14,0,0.0,0,0.0,0,0.0,01021
1,22,14,2,14.29,2,14.29,0,0.0,0,0.0,4,28.57,1,7.14,1,7.14,0,0.0,01022
1,23,26,9,34.62,6,23.08,4,15.38,5,19.23,0,0.0,0,0.0,0,0.0,1,3.85,01023
1,24,42,12,28.57,13,30.95,2,4.76,4,9.52,4,9.52,0,0.0,0,0.0,1,2.38,01024
1,25,20,4,20.0,4,20.0,3,15.0,3,15.0,3,15.0,0,0.0,0,0.0,0,0.0,01025
1,26,54,14,25.93,13,24.07,8,14.81,10,18.52,3,5.56,2,3.7,1,1.85,0,0.0,01026
1,27,37,8,21.62,9,24.32,5,13.51,3,8.11,1,2.7,1,2.7,0,0.0,5,13.51,01027
1,28,5,0,0.0,1,20.0,1,20.0,0,0.0,1,20.0,1,20.0,0,0.0,0,0.0,01028
1,29,48,10,20.83,10,20.83,7,14.58,6,12.5,6,12.5,0,0.0,0,0.0,3,6.25,01029
1,30,49,12,24.49,13,26.53,9,18.37,7,14.29,2,4.08,1,2.04,1,2.04,1,2.04,01030
1,31,77,24,31.17,30,38.96,5,6.49,5,6.49,5,6.49,1,1.3,0,0.0,1,1.3,01031
1,32,23,4,17.39,5,21.74,8,34.78,6,26.09,0,0.0,0,0.0,0,0.0,0,0.0,01032
1,33,36,10,27.78,9,25.0,4,11.11,5,13.89,3,8.33,1,2.78,1,2.78,0,0.0,01033
1,34,18,6,33.33,6,33.33,0,0.0,1,5.56,1,5.56,1,5.56,0,0.0,0,0.0,01034
1,35,43,12,27.91,12,27.91,4,9.3,6,13.95,2,4.65,2,4.65,1,2.33,1,2.33,01035
1,36,47,10,21.28,15,31.91,3,6.38,3,6.38,5,10.64,0,0.0,0,0.0,2,4.26,01036
1,37,29,5,17.24,4,13.79,6,20.69,7,24.14,2,6.9,1,3.45,0,0.0,1,3.45,01037
1,38,10,1,10.0,1,10.0,3,30.0,3,30.0,1,10.0,0,0.0,0,0.0,0,0.0,01038
1,39,35,10,28.57,7,20.0,7,20.0,7,20.0,0,0.0,0,0.0,0,0.0,3,8.57,01039
1,40,31,7,22.58,8,25.81,4,12.9,2,6.45,5,16.13,0,0.0,0,0.0,0,0.0,01040
1,41,50,8,16.0,16,32.0,6,12.0,8,16.0,3,6.0,1,2.0,1,2.0,1,2.0,01041
1,42,17,2,11.76,3,17.65,1,5.88,1,5.88,3,17.65,1,5.88,1,5.88,2,11.76,01042
1,43,22,7,31.82,6,27.27,2,9.09,3,13.64,1,4.55,1,4.55,1,4.55,0,0.0,01043
1,44,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,01044
1,45,24,5,20.83,4,16.67,2,8.33,4,16.67,4,16.67,0,0.0,0,0.0,1,4.17,01045
1,46,28,6,21.43,7,25.0,3,10.71,3,10.71,4,14.29,0,0.0,0,0.0,2,7.14,01046
1,47,31,10,32.26,15,48.39,0,0.0,3,9.68,0,0.0,0,0.0,0,0.0,1,3.23,01047
1,48,10,4,40.0,4,40.0,0,0.0,0,0.0,1,10.0,0,0.0,0,0.0,0,0.0,01048
1,49,27,4,14.81,4,14.81,4,14.81,5,18.52,4,14.81,0,0.0,0,0.0,1,3.7,01049
1,50,17,4,23.53,6,35.29,2,11.76,2,11.76,0,0.0,0,0.0,0,0.0,3,17.65,01050
3,13,21,7,33.33,7,33.33,0,0.0,0,0.0,1,4.76,2,9.52,2,9.52,2,9.52,03013
11,3,9,0,0.0,0,0.0,3,33.33,4,44.44,0,0.0,0,0.0,0,0.0,2,22.22,11003
11,10,6,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,11010
11,18,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,11018
11,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11026
11,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11030
12,1,26,6,23.08,5,19.23,3,11.54,4,15.38,2,7.69,0,0.0,2,7.69,2,7.69,12001
12,2,20,8,40.0,4,20.0,2,10.0,3,15.0,0,0.0,0,0.0,0,0.0,3,15.0,12002
12,3,25,7,28.0,4,16.0,6,24.0,4,16.0,1,4.0,0,0.0,0,0.0,0,0.0,12003
12,4,10,2,20.0,0,0.0,1,10.0,1,10.0,0,0.0,1,10.0,1,10.0,3,30.0,12004
12,5,17,5,29.41,4,23.53,3,17.65,4,23.53,0,0.0,0,0.0,0,0.0,1,5.88,12005
12,6,5,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,40.0,12006
12,7,12,6,50.0,0,0.0,2,16.67,4,33.33,0,0.0,0,0.0,0,0.0,0,0.0,12007
12,8,32,7,21.88,3,9.38,4,12.5,4,12.5,2,6.25,1,3.13,1,3.13,4,12.5,12008
12,9,14,3,21.43,2,14.29,2,14.29,4,28.57,0,0.0,1,7.14,0,0.0,2,14.29,12009
12,10,26,9,34.62,6,23.08,7,26.92,4,15.38,0,0.0,0,0.0,0,0.0,0,0.0,12010
12,11,15,2,13.33,3,20.0,3,20.0,2,13.33,1,6.67,0,0.0,1,6.67,3,20.0,12011
12,12,19,5,26.32,3,15.79,3,15.79,1,5.26,1,5.26,0,0.0,1,5.26,4,21.05,12012
12,13,33,8,24.24,7,21.21,7,21.21,3,9.09,1,3.03,1,3.03,2,6.06,1,3.03,12013
12,14,10,1,10.0,2,20.0,4,40.0,3,30.0,0,0.0,0,0.0,0,0.0,0,0.0,12014
12,15,16,3,18.75,5,31.25,0,0.0,1,6.25,0,0.0,1,6.25,1,6.25,4,25.0,12015
12,16,6,3,50.0,2,33.33,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,12016
12,17,15,5,33.33,4,26.67,1,6.67,2,13.33,0,0.0,0,0.0,1,6.67,2,13.33,12017
12,18,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12018
12,19,22,7,31.82,6,27.27,4,18.18,2,9.09,0,0.0,0,0.0,0,0.0,2,9.09,12019
