ward,precinct,total,Jeremy Rose (Romney),Jeremy Rose (Romney) Percent,Branden J Ozga (Romney),Branden J Ozga (Romney) Percent,Joann Finger (McCain),Joann Finger (McCain) Percent,Will Callard (McCain),Will Callard (McCain) Percent,Nickolas John Herringshaw (Paul),Nickolas John Herringshaw (Paul) Percent,Susan Radzinowicz (Thompson),Susan Radzinowicz (Thompson) Percent,Robert Sargus (Thompson),Robert Sargus (Thompson) Percent,Kevin Hacker (Giuliani),Kevin Hacker (Giuliani) Percent,Robert R. Rodman IV (Giuliani),Robert R. Rodman IV (Giuliani) Percent,precinct_id
1,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01007
1,28,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01028
1,42,19,1,5.26,1,5.26,5,26.32,5,26.32,3,15.79,0,0.0,0,0.0,0,0.0,0,0.0,01042
29,2,17,5,29.41,4,23.53,2,11.76,2,11.76,1,5.88,0,0.0,1,5.88,0,0.0,1,5.88,29002
29,9,29,5,17.24,6,20.69,6,20.69,7,24.14,1,3.45,2,6.9,0,0.0,0,0.0,0,0.0,29009
29,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29024
29,30,21,5,23.81,4,19.05,4,19.05,4,19.05,1,4.76,0,0.0,0,0.0,0,0.0,0,0.0,29030
29,32,17,4,23.53,4,23.53,3,17.65,3,17.65,0,0.0,1,5.88,0,0.0,0,0.0,1,5.88,29032
30,1,30,5,16.67,4,13.33,8,26.67,6,20.0,1,3.33,0,0.0,1,3.33,0,0.0,1,3.33,30001
30,2,19,2,10.53,2,10.53,5,26.32,5,26.32,1,5.26,2,10.53,0,0.0,0,0.0,0,0.0,30002
30,3,24,3,12.5,3,12.5,5,20.83,5,20.83,3,12.5,0,0.0,0,0.0,1,4.17,2,8.33,30003
30,6,9,0,0.0,0,0.0,3,33.33,1,11.11,1,11.11,3,33.33,0,0.0,0,0.0,0,0.0,30006
30,7,21,3,14.29,3,14.29,5,23.81,6,28.57,1,4.76,0,0.0,0,0.0,2,9.52,1,4.76,30007
30,8,35,8,22.86,7,20.0,4,11.43,7,20.0,3,8.57,2,5.71,0,0.0,0,0.0,0,0.0,30008
30,9,19,3,15.79,3,15.79,4,21.05,2,10.53,3,15.79,2,10.53,0,0.0,0,0.0,0,0.0,30009
30,10,24,5,20.83,5,20.83,4,16.67,1,4.17,2,8.33,3,12.5,0,0.0,0,0.0,1,4.17,30010
30,11,18,5,27.78,6,33.33,2,11.11,2,11.11,0,0.0,1,5.56,0,0.0,0,0.0,1,5.56,30011
30,12,3,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,2,66.67,0,0.0,0,0.0,0,0.0,30012
30,13,31,3,9.68,1,3.23,9,29.03,10,32.26,2,6.45,1,3.23,2,6.45,1,3.23,0,0.0,30013
30,14,9,0,0.0,1,11.11,3,33.33,1,11.11,0,0.0,0,0.0,0,0.0,3,33.33,1,11.11,30014
30,15,29,8,27.59,7,24.14,6,20.69,8,27.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30015
30,16,29,4,13.79,5,17.24,6,20.69,2,6.9,2,6.9,3,10.34,1,3.45,0,0.0,2,6.9,30016
30,17,16,3,18.75,2,12.5,2,12.5,2,12.5,3,18.75,1,6.25,0,0.0,0,0.0,1,6.25,30017
30,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30025
30,28,11,0,0.0,0,0.0,0,0.0,0,0.0,3,27.27,2,18.18,0,0.0,1,9.09,2,18.18,30028
30,30,51,7,13.73,6,11.76,11,21.57,9,17.65,4,7.84,2,3.92,1,1.96,2,3.92,5,9.8,30030
30,34,10,1,10.0,1,10.0,3,30.0,1,10.0,0,0.0,0,0.0,0,0.0,1,10.0,2,20.0,30034
30,37,39,10,25.64,10,25.64,5,12.82,4,10.26,2,5.13,4,10.26,1,2.56,1,2.56,1,2.56,30037
30,38,39,9,23.08,6,15.38,12,30.77,7,17.95,2,5.13,0,0.0,1,2.56,1,2.56,0,0.0,30038
30,39,23,3,13.04,4,17.39,6,26.09,5,21.74,0,0.0,0,0.0,0,0.0,2,8.7,2,8.7,30039
30,40,8,2,25.0,0,0.0,1,12.5,2,25.0,0,0.0,1,12.5,1,12.5,0,0.0,0,0.0,30040
31,3,9,2,22.22,3,33.33,1,11.11,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,31003
31,8,12,1,8.33,2,16.67,3,25.0,2,16.67,0,0.0,3,25.0,1,8.33,0,0.0,0,0.0,31008
31,9,16,1,6.25,0,0.0,5,31.25,4,25.0,2,12.5,0,0.0,1,6.25,0,0.0,0,0.0,31009
31,15,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31015
31,16,10,0,0.0,0,0.0,3,30.0,3,30.0,3,30.0,1,10.0,0,0.0,0,0.0,0,0.0,31016
31,19,12,1,8.33,0,0.0,5,41.67,6,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31019
31,26,14,1,7.14,0,0.0,6,42.86,6,42.86,0,0.0,1,7.14,0,0.0,0,0.0,0,0.0,31026
31,28,6,1,16.67,0,0.0,2,33.33,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,31028
31,29,19,2,10.53,2,10.53,7,36.84,5,26.32,0,0.0,1,5.26,1,5.26,1,5.26,0,0.0,31029
31,32,13,2,15.38,2,15.38,3,23.08,3,23.08,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,31032
