ward,precinct,total,John Harty (McCain),John Harty (McCain) Percent,Nick Peric (McCain),Nick Peric (McCain) Percent,Michael B. DiBartolo (Romney),Michael B. DiBartolo (Romney) Percent,Robert S. Giurato (Romney),Robert S. Giurato (Romney) Percent,Curtis D. Barrett (Paul),Curtis D. Barrett (Paul) Percent,Reuben W. Perelman (Paul),Reuben W. Perelman (Paul) Percent,Joseph Hedrick (Thompson),Joseph Hedrick (Thompson) Percent,Brennan B. Miller III (Thompson),Brennan B. Miller III (Thompson) Percent,Carla Brookman (Giuliani),Carla Brookman (Giuliani) Percent,Anton Valukas (Giuliani),Anton Valukas (Giuliani) Percent,Steven T. Janes (Huckabee),Steven T. Janes (Huckabee) Percent,Paul Sherwood (Huckabee),Paul Sherwood (Huckabee) Percent,precinct_id
40,3,32,8,25.0,9,28.13,2,6.25,1,3.13,5,15.63,5,15.63,0,0.0,0,0.0,0,0.0,0,0.0,1,3.13,1,3.13,40003
40,4,32,6,18.75,6,18.75,7,21.88,7,21.88,1,3.13,1,3.13,1,3.13,1,3.13,1,3.13,1,3.13,0,0.0,0,0.0,40004
40,7,17,2,11.76,2,11.76,2,11.76,2,11.76,0,0.0,1,5.88,1,5.88,1,5.88,1,5.88,1,5.88,2,11.76,2,11.76,40007
40,8,14,3,21.43,3,21.43,1,7.14,2,14.29,0,0.0,0,0.0,0,0.0,0,0.0,1,7.14,1,7.14,2,14.29,1,7.14,40008
40,9,19,7,36.84,6,31.58,2,10.53,1,5.26,2,10.53,1,5.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40009
40,11,33,10,30.3,9,27.27,3,9.09,1,3.03,2,6.06,2,6.06,0,0.0,0,0.0,0,0.0,0,0.0,2,6.06,4,12.12,40011
40,12,27,6,22.22,4,14.81,1,3.7,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,3,11.11,2,7.41,5,18.52,5,18.52,40012
40,13,29,5,17.24,4,13.79,6,20.69,3,10.34,1,3.45,1,3.45,0,0.0,0,0.0,0,0.0,0,0.0,5,17.24,4,13.79,40013
40,16,24,5,20.83,4,16.67,3,12.5,3,12.5,3,12.5,3,12.5,0,0.0,0,0.0,2,8.33,1,4.17,0,0.0,0,0.0,40016
40,18,16,4,25.0,5,31.25,1,6.25,1,6.25,1,6.25,1,6.25,1,6.25,0,0.0,0,0.0,0,0.0,1,6.25,1,6.25,40018
40,22,20,4,20.0,2,10.0,4,20.0,5,25.0,0,0.0,0,0.0,0,0.0,1,5.0,1,5.0,2,10.0,1,5.0,0,0.0,40022
40,26,27,9,33.33,10,37.04,3,11.11,1,3.7,1,3.7,1,3.7,1,3.7,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0,40026
40,27,23,6,26.09,5,21.74,2,8.7,3,13.04,1,4.35,2,8.7,0,0.0,0,0.0,0,0.0,0,0.0,2,8.7,2,8.7,40027
40,28,32,3,9.38,3,9.38,3,9.38,3,9.38,2,6.25,1,3.13,2,6.25,1,3.13,2,6.25,0,0.0,6,18.75,6,18.75,40028
40,33,20,8,40.0,6,30.0,2,10.0,1,5.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,1,5.0,40033
40,35,31,6,19.35,5,16.13,4,12.9,5,16.13,2,6.45,3,9.68,0,0.0,0,0.0,0,0.0,0,0.0,4,12.9,2,6.45,40035
40,37,27,8,29.63,8,29.63,3,11.11,3,11.11,1,3.7,1,3.7,0,0.0,0,0.0,1,3.7,1,3.7,1,3.7,0,0.0,40037
40,39,43,8,18.6,7,16.28,5,11.63,5,11.63,2,4.65,1,2.33,1,2.33,0,0.0,0,0.0,0,0.0,7,16.28,7,16.28,40039
40,41,43,18,41.86,16,37.21,3,6.98,2,4.65,2,4.65,2,4.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40041
40,42,50,11,22.0,8,16.0,5,10.0,4,8.0,4,8.0,4,8.0,0,0.0,0,0.0,4,8.0,3,6.0,4,8.0,3,6.0,40042
