ward,precinct,total,Babette Peyton,Babette Peyton Percent,precinct_id
4,1,14,14,100.0,04001
4,2,4,4,100.0,04002
4,3,4,4,100.0,04003
4,4,1,1,100.0,04004
4,5,2,2,100.0,04005
4,6,0,0,0.0,04006
4,7,2,2,100.0,04007
4,8,1,1,100.0,04008
4,9,1,1,100.0,04009
4,10,5,5,100.0,04010
4,11,3,3,100.0,04011
4,12,1,1,100.0,04012
4,13,3,3,100.0,04013
4,14,0,0,0.0,04014
4,15,4,4,100.0,04015
4,16,0,0,0.0,04016
4,17,16,16,100.0,04017
4,18,6,6,100.0,04018
4,19,3,3,100.0,04019
4,20,0,0,0.0,04020
4,21,5,5,100.0,04021
4,22,2,2,100.0,04022
4,23,7,7,100.0,04023
4,24,4,4,100.0,04024
4,25,0,0,0.0,04025
4,26,0,0,0.0,04026
4,27,0,0,0.0,04027
4,28,4,4,100.0,04028
4,29,9,9,100.0,04029
4,30,5,5,100.0,04030
4,31,7,7,100.0,04031
4,32,6,6,100.0,04032
4,33,1,1,100.0,04033
4,34,11,11,100.0,04034
4,35,2,2,100.0,04035
4,36,2,2,100.0,04036
4,37,0,0,0.0,04037
4,38,3,3,100.0,04038
4,39,0,0,0.0,04039
4,40,2,2,100.0,04040
4,41,7,7,100.0,04041
4,42,1,1,100.0,04042
4,43,6,6,100.0,04043
4,44,2,2,100.0,04044
4,45,4,4,100.0,04045
4,46,3,3,100.0,04046
4,47,6,6,100.0,04047
4,48,12,12,100.0,04048
4,49,1,1,100.0,04049
4,50,1,1,100.0,04050
4,51,3,3,100.0,04051
4,52,3,3,100.0,04052
