ward,precinct,total,Jeffrey Malinowski,Jeffrey Malinowski Percent,precinct_id
23,1,22,22,100.0,23001
23,2,11,11,100.0,23002
23,3,28,28,100.0,23003
23,4,22,22,100.0,23004
23,5,6,6,100.0,23005
23,6,25,25,100.0,23006
23,7,0,0,0.0,23007
23,8,17,17,100.0,23008
23,9,16,16,100.0,23009
23,10,11,11,100.0,23010
23,11,26,26,100.0,23011
23,12,26,26,100.0,23012
23,13,18,18,100.0,23013
23,14,0,0,0.0,23014
23,15,22,22,100.0,23015
23,16,17,17,100.0,23016
23,17,30,30,100.0,23017
23,18,17,17,100.0,23018
23,19,25,25,100.0,23019
23,20,13,13,100.0,23020
23,21,0,0,0.0,23021
23,22,18,18,100.0,23022
23,23,22,22,100.0,23023
23,24,8,8,100.0,23024
23,25,19,19,100.0,23025
23,26,38,38,100.0,23026
23,27,18,18,100.0,23027
23,28,15,15,100.0,23028
23,29,12,12,100.0,23029
23,30,20,20,100.0,23030
23,31,9,9,100.0,23031
23,32,9,9,100.0,23032
23,33,14,14,100.0,23033
23,34,15,15,100.0,23034
23,35,1,1,100.0,23035
23,36,27,27,100.0,23036
23,37,1,1,100.0,23037
23,38,18,18,100.0,23038
23,39,25,25,100.0,23039
23,40,32,32,100.0,23040
23,41,16,16,100.0,23041
23,42,17,17,100.0,23042
23,43,25,25,100.0,23043
23,44,12,12,100.0,23044
23,45,22,22,100.0,23045
23,46,12,12,100.0,23046
23,47,29,29,100.0,23047
23,48,12,12,100.0,23048
23,49,26,26,100.0,23049
23,50,6,6,100.0,23050
23,51,9,9,100.0,23051
23,52,18,18,100.0,23052
23,53,4,4,100.0,23053
23,54,27,27,100.0,23054
23,55,14,14,100.0,23055
23,56,19,19,100.0,23056
