ward,precinct,total,Margaree Jackson,Margaree Jackson Percent,precinct_id
28,1,1,1,100.0,28001
28,2,0,0,0.0,28002
28,3,1,1,100.0,28003
28,4,1,1,100.0,28004
28,5,4,4,100.0,28005
28,6,0,0,0.0,28006
28,7,0,0,0.0,28007
28,8,0,0,0.0,28008
28,9,0,0,0.0,28009
28,10,2,2,100.0,28010
28,11,0,0,0.0,28011
28,12,1,1,100.0,28012
28,13,0,0,0.0,28013
28,14,0,0,0.0,28014
28,15,0,0,0.0,28015
28,16,0,0,0.0,28016
28,17,0,0,0.0,28017
28,18,0,0,0.0,28018
28,19,0,0,0.0,28019
28,20,0,0,0.0,28020
28,21,0,0,0.0,28021
28,22,1,1,100.0,28022
28,23,0,0,0.0,28023
28,24,0,0,0.0,28024
28,25,1,1,100.0,28025
28,26,3,3,100.0,28026
28,27,0,0,0.0,28027
28,28,0,0,0.0,28028
28,29,6,6,100.0,28029
28,30,1,1,100.0,28030
28,31,1,1,100.0,28031
28,32,1,1,100.0,28032
28,33,0,0,0.0,28033
28,34,0,0,0.0,28034
28,35,0,0,0.0,28035
28,36,1,1,100.0,28036
28,37,0,0,0.0,28037
28,38,3,3,100.0,28038
28,39,0,0,0.0,28039
28,40,1,1,100.0,28040
28,41,0,0,0.0,28041
28,42,0,0,0.0,28042
28,43,1,1,100.0,28043
28,44,0,0,0.0,28044
28,45,0,0,0.0,28045
28,46,1,1,100.0,28046
28,47,1,1,100.0,28047
28,48,0,0,0.0,28048
28,49,0,0,0.0,28049
28,50,0,0,0.0,28050
28,51,3,3,100.0,28051
28,52,1,1,100.0,28052
28,53,0,0,0.0,28053
28,54,1,1,100.0,28054
28,55,0,0,0.0,28055
28,56,0,0,0.0,28056
28,57,0,0,0.0,28057
28,58,3,3,100.0,28058
28,59,1,1,100.0,28059
28,60,0,0,0.0,28060
28,61,6,6,100.0,28061
