ward,precinct,total,Diane Shapiro,Diane Shapiro Percent,precinct_id
46,1,34,34,100.0,46001
46,2,13,13,100.0,46002
46,3,13,13,100.0,46003
46,4,15,15,100.0,46004
46,5,18,18,100.0,46005
46,6,9,9,100.0,46006
46,7,10,10,100.0,46007
46,8,10,10,100.0,46008
46,9,19,19,100.0,46009
46,10,21,21,100.0,46010
46,11,27,27,100.0,46011
46,12,16,16,100.0,46012
46,13,31,31,100.0,46013
46,14,8,8,100.0,46014
46,15,34,34,100.0,46015
46,16,11,11,100.0,46016
46,17,29,29,100.0,46017
46,18,21,21,100.0,46018
46,19,11,11,100.0,46019
46,20,11,11,100.0,46020
46,21,6,6,100.0,46021
46,22,21,21,100.0,46022
46,23,5,5,100.0,46023
46,24,22,22,100.0,46024
46,25,25,25,100.0,46025
46,26,19,19,100.0,46026
46,27,34,34,100.0,46027
46,28,33,33,100.0,46028
46,29,18,18,100.0,46029
46,30,33,33,100.0,46030
46,31,21,21,100.0,46031
46,32,17,17,100.0,46032
46,33,18,18,100.0,46033
46,34,13,13,100.0,46034
46,35,23,23,100.0,46035
46,36,21,21,100.0,46036
46,37,27,27,100.0,46037
46,38,9,9,100.0,46038
46,39,34,34,100.0,46039
46,40,11,11,100.0,46040
46,41,10,10,100.0,46041
46,42,10,10,100.0,46042
46,43,25,25,100.0,46043
46,44,15,15,100.0,46044
46,45,19,19,100.0,46045
46,46,12,12,100.0,46046
46,47,10,10,100.0,46047
