ward,precinct,total,Nathan Peoples,Nathan Peoples Percent,precinct_id
7,1,0,0,0.0,07001
7,2,0,0,0.0,07002
7,3,0,0,0.0,07003
7,4,0,0,0.0,07004
7,5,0,0,0.0,07005
7,6,0,0,0.0,07006
7,7,0,0,0.0,07007
7,8,0,0,0.0,07008
7,9,0,0,0.0,07009
7,10,0,0,0.0,07010
7,11,0,0,0.0,07011
7,12,0,0,0.0,07012
7,13,0,0,0.0,07013
7,14,0,0,0.0,07014
7,15,0,0,0.0,07015
7,16,0,0,0.0,07016
7,17,0,0,0.0,07017
7,18,0,0,0.0,07018
7,19,0,0,0.0,07019
7,20,1,1,100.0,07020
7,21,1,1,100.0,07021
7,22,0,0,0.0,07022
7,23,0,0,0.0,07023
7,24,0,0,0.0,07024
7,25,0,0,0.0,07025
7,26,0,0,0.0,07026
7,27,0,0,0.0,07027
7,28,0,0,0.0,07028
7,29,0,0,0.0,07029
7,30,0,0,0.0,07030
7,31,0,0,0.0,07031
7,32,0,0,0.0,07032
7,33,0,0,0.0,07033
7,34,0,0,0.0,07034
7,35,0,0,0.0,07035
7,36,0,0,0.0,07036
7,37,0,0,0.0,07037
7,38,0,0,0.0,07038
7,39,0,0,0.0,07039
7,40,0,0,0.0,07040
7,41,0,0,0.0,07041
7,42,0,0,0.0,07042
7,43,0,0,0.0,07043
7,44,0,0,0.0,07044
7,45,0,0,0.0,07045
7,46,0,0,0.0,07046
7,47,0,0,0.0,07047
7,48,0,0,0.0,07048
7,49,0,0,0.0,07049
7,50,0,0,0.0,07050
7,51,0,0,0.0,07051
7,52,0,0,0.0,07052
7,53,0,0,0.0,07053
7,54,0,0,0.0,07054
7,55,0,0,0.0,07055
7,56,0,0,0.0,07056
7,57,0,0,0.0,07057
7,58,0,0,0.0,07058
7,59,0,0,0.0,07059
7,60,0,0,0.0,07060
7,61,0,0,0.0,07061
7,62,0,0,0.0,07062
7,63,0,0,0.0,07063
7,64,0,0,0.0,07064
7,65,0,0,0.0,07065
