ward,precinct,total,Antonne ''Tony'' Cox,Antonne ''Tony'' Cox Percent,precinct_id
24,1,0,0,0.0,24001
24,2,0,0,0.0,24002
24,3,0,0,0.0,24003
24,4,0,0,0.0,24004
24,5,0,0,0.0,24005
24,6,0,0,0.0,24006
24,7,0,0,0.0,24007
24,8,0,0,0.0,24008
24,9,0,0,0.0,24009
24,10,0,0,0.0,24010
24,11,0,0,0.0,24011
24,12,0,0,0.0,24012
24,13,0,0,0.0,24013
24,14,0,0,0.0,24014
24,15,0,0,0.0,24015
24,16,0,0,0.0,24016
24,17,0,0,0.0,24017
24,18,0,0,0.0,24018
24,19,0,0,0.0,24019
24,20,0,0,0.0,24020
24,21,0,0,0.0,24021
24,22,0,0,0.0,24022
24,23,0,0,0.0,24023
24,24,0,0,0.0,24024
24,25,0,0,0.0,24025
24,26,0,0,0.0,24026
24,27,0,0,0.0,24027
24,28,0,0,0.0,24028
24,29,0,0,0.0,24029
24,30,0,0,0.0,24030
24,31,0,0,0.0,24031
24,32,2,2,100.0,24032
24,33,0,0,0.0,24033
24,34,0,0,0.0,24034
24,35,1,1,100.0,24035
24,36,0,0,0.0,24036
24,37,0,0,0.0,24037
24,38,1,1,100.0,24038
24,39,0,0,0.0,24039
24,40,0,0,0.0,24040
24,41,0,0,0.0,24041
24,42,0,0,0.0,24042
24,43,0,0,0.0,24043
24,44,0,0,0.0,24044
24,45,0,0,0.0,24045
24,46,0,0,0.0,24046
24,47,0,0,0.0,24047
24,48,0,0,0.0,24048
24,49,0,0,0.0,24049
24,50,0,0,0.0,24050
24,51,0,0,0.0,24051
24,52,0,0,0.0,24052
24,53,0,0,0.0,24053
24,54,0,0,0.0,24054
24,55,0,0,0.0,24055
24,56,0,0,0.0,24056
