ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
38,2,94,94,100.0,38002
38,7,23,23,100.0,38007
38,12,75,75,100.0,38012
38,17,19,19,100.0,38017
38,20,80,80,100.0,38020
38,24,1,1,100.0,38024
38,28,87,87,100.0,38028
41,1,127,127,100.0,41001
41,2,118,118,100.0,41002
41,3,51,51,100.0,41003
41,4,87,87,100.0,41004
41,5,109,109,100.0,41005
41,7,128,128,100.0,41007
41,8,137,137,100.0,41008
41,10,108,108,100.0,41010
41,11,116,116,100.0,41011
41,13,158,158,100.0,41013
41,15,111,111,100.0,41015
41,16,96,96,100.0,41016
41,17,116,116,100.0,41017
41,18,104,104,100.0,41018
41,20,89,89,100.0,41020
41,21,95,95,100.0,41021
41,22,124,124,100.0,41022
41,23,107,107,100.0,41023
41,25,66,66,100.0,41025
41,26,101,101,100.0,41026
41,27,73,73,100.0,41027
41,28,0,0,0.0,41028
41,31,107,107,100.0,41031
41,33,83,83,100.0,41033
41,34,80,80,100.0,41034
41,35,132,132,100.0,41035
41,36,111,111,100.0,41036
41,37,96,96,100.0,41037
41,40,132,132,100.0,41040
41,41,117,117,100.0,41041
41,42,107,107,100.0,41042
41,43,124,124,100.0,41043
41,44,136,136,100.0,41044
41,45,84,84,100.0,41045
41,46,98,98,100.0,41046
