ward,precinct,total,Philanise White,Philanise White Percent,precinct_id
7,1,3,3,100.0,07001
7,2,1,1,100.0,07002
7,3,3,3,100.0,07003
7,4,0,0,0.0,07004
7,5,1,1,100.0,07005
7,6,7,7,100.0,07006
7,7,4,4,100.0,07007
7,8,4,4,100.0,07008
7,9,7,7,100.0,07009
7,10,1,1,100.0,07010
7,11,5,5,100.0,07011
7,12,1,1,100.0,07012
7,13,1,1,100.0,07013
7,14,4,4,100.0,07014
7,15,1,1,100.0,07015
7,16,2,2,100.0,07016
7,17,4,4,100.0,07017
7,18,6,6,100.0,07018
7,19,2,2,100.0,07019
7,20,0,0,0.0,07020
7,21,2,2,100.0,07021
7,22,4,4,100.0,07022
7,23,1,1,100.0,07023
7,24,1,1,100.0,07024
7,25,6,6,100.0,07025
7,26,4,4,100.0,07026
7,27,3,3,100.0,07027
7,28,3,3,100.0,07028
7,29,4,4,100.0,07029
7,30,4,4,100.0,07030
7,31,2,2,100.0,07031
7,32,5,5,100.0,07032
7,33,4,4,100.0,07033
7,34,0,0,0.0,07034
7,35,2,2,100.0,07035
7,36,3,3,100.0,07036
7,37,0,0,0.0,07037
7,38,2,2,100.0,07038
7,39,1,1,100.0,07039
7,40,2,2,100.0,07040
7,41,0,0,0.0,07041
7,42,0,0,0.0,07042
7,43,0,0,0.0,07043
7,44,3,3,100.0,07044
7,45,1,1,100.0,07045
7,46,1,1,100.0,07046
