ward,precinct,total,Martin Ozinga IV,Martin Ozinga IV Percent,precinct_id
25,1,13,13,100.0,25001
25,2,7,7,100.0,25002
25,3,77,77,100.0,25003
25,4,8,8,100.0,25004
25,5,15,15,100.0,25005
25,6,9,9,100.0,25006
25,7,12,12,100.0,25007
25,8,12,12,100.0,25008
25,9,13,13,100.0,25009
25,10,72,72,100.0,25010
25,11,19,19,100.0,25011
25,12,17,17,100.0,25012
25,13,4,4,100.0,25013
25,14,15,15,100.0,25014
25,15,15,15,100.0,25015
25,16,68,68,100.0,25016
25,17,15,15,100.0,25017
25,18,13,13,100.0,25018
25,19,8,8,100.0,25019
25,20,0,0,0.0,25020
25,21,65,65,100.0,25021
25,22,10,10,100.0,25022
25,23,5,5,100.0,25023
25,24,10,10,100.0,25024
25,25,47,47,100.0,25025
25,26,11,11,100.0,25026
25,27,47,47,100.0,25027
25,28,14,14,100.0,25028
25,29,8,8,100.0,25029
25,30,14,14,100.0,25030
25,31,83,83,100.0,25031
25,32,13,13,100.0,25032
