ward,precinct,total,Bob Howington,Bob Howington Percent,precinct_id
31,1,12,12,100.0,31001
31,2,6,6,100.0,31002
31,3,19,19,100.0,31003
31,4,16,16,100.0,31004
31,5,25,25,100.0,31005
31,6,10,10,100.0,31006
31,7,14,14,100.0,31007
31,8,11,11,100.0,31008
31,9,16,16,100.0,31009
31,10,13,13,100.0,31010
31,11,17,17,100.0,31011
31,12,17,17,100.0,31012
31,13,5,5,100.0,31013
31,14,14,14,100.0,31014
31,15,20,20,100.0,31015
31,16,14,14,100.0,31016
31,17,24,24,100.0,31017
31,18,13,13,100.0,31018
31,19,15,15,100.0,31019
31,20,9,9,100.0,31020
31,21,15,15,100.0,31021
31,22,11,11,100.0,31022
31,23,16,16,100.0,31023
31,24,11,11,100.0,31024
31,25,20,20,100.0,31025
31,26,12,12,100.0,31026
31,27,16,16,100.0,31027
31,28,20,20,100.0,31028
31,29,6,6,100.0,31029
31,30,5,5,100.0,31030
31,31,18,18,100.0,31031
31,32,14,14,100.0,31032
31,33,22,22,100.0,31033
31,34,15,15,100.0,31034
31,35,33,33,100.0,31035
31,36,12,12,100.0,31036
31,37,18,18,100.0,31037
31,38,7,7,100.0,31038
31,39,8,8,100.0,31039
31,40,17,17,100.0,31040
31,41,11,11,100.0,31041
