ward,precinct,total,Chris Cleveland,Chris Cleveland Percent,precinct_id
43,1,34,34,100.0,43001
43,2,75,75,100.0,43002
43,3,88,88,100.0,43003
43,4,104,104,100.0,43004
43,5,74,74,100.0,43005
43,6,66,66,100.0,43006
43,7,41,41,100.0,43007
43,8,48,48,100.0,43008
43,9,80,80,100.0,43009
43,10,97,97,100.0,43010
43,11,72,72,100.0,43011
43,12,57,57,100.0,43012
43,13,69,69,100.0,43013
43,14,90,90,100.0,43014
43,15,82,82,100.0,43015
43,16,92,92,100.0,43016
43,17,74,74,100.0,43017
43,18,103,103,100.0,43018
43,19,74,74,100.0,43019
43,20,76,76,100.0,43020
43,21,80,80,100.0,43021
43,22,50,50,100.0,43022
43,23,50,50,100.0,43023
43,24,47,47,100.0,43024
43,25,55,55,100.0,43025
43,26,42,42,100.0,43026
43,27,76,76,100.0,43027
43,28,114,114,100.0,43028
43,29,81,81,100.0,43029
43,30,99,99,100.0,43030
43,31,77,77,100.0,43031
43,32,79,79,100.0,43032
43,33,99,99,100.0,43033
43,34,50,50,100.0,43034
43,35,120,120,100.0,43035
43,36,26,26,100.0,43036
43,37,69,69,100.0,43037
43,38,74,74,100.0,43038
43,39,70,70,100.0,43039
43,40,43,43,100.0,43040
43,41,88,88,100.0,43041
43,42,58,58,100.0,43042
43,43,104,104,100.0,43043
43,44,60,60,100.0,43044
43,45,56,56,100.0,43045
43,46,38,38,100.0,43046
