ward,precinct,total,Lona Lane,Lona Lane Percent,Paul Stewart,Paul Stewart Percent,precinct_id
18,1,68,59,86.76,9,13.24,18001
18,2,132,101,76.52,31,23.48,18002
18,3,129,92,71.32,37,28.68,18003
18,4,193,144,74.61,49,25.39,18004
18,5,124,102,82.26,22,17.74,18005
18,6,142,108,76.06,34,23.94,18006
18,7,131,84,64.12,47,35.88,18007
18,8,90,74,82.22,16,17.78,18008
18,9,198,125,63.13,73,36.87,18009
18,10,239,119,49.79,120,50.21,18010
18,11,127,90,70.87,37,29.13,18011
18,12,250,184,73.6,66,26.4,18012
18,13,207,95,45.89,112,54.11,18013
18,14,206,119,57.77,87,42.23,18014
18,15,65,49,75.38,16,24.62,18015
18,16,181,121,66.85,60,33.15,18016
18,17,118,84,71.19,34,28.81,18017
18,18,203,113,55.67,90,44.33,18018
18,19,196,133,67.86,63,32.14,18019
18,20,120,63,52.5,57,47.5,18020
18,21,258,159,61.63,99,38.37,18021
18,22,206,135,65.53,71,34.47,18022
18,23,118,85,72.03,33,27.97,18023
18,24,179,105,58.66,74,41.34,18024
18,25,149,115,77.18,34,22.82,18025
18,26,159,106,66.67,53,33.33,18026
18,27,88,60,68.18,28,31.82,18027
18,28,155,113,72.9,42,27.1,18028
18,29,191,132,69.11,59,30.89,18029
18,30,100,61,61.0,39,39.0,18030
18,31,87,51,58.62,36,41.38,18031
18,32,196,88,44.9,108,55.1,18032
18,33,121,67,55.37,54,44.63,18033
18,34,256,179,69.92,77,30.08,18034
18,35,228,147,64.47,81,35.53,18035
18,36,119,96,80.67,23,19.33,18036
18,37,141,111,78.72,30,21.28,18037
18,38,149,83,55.7,66,44.3,18038
18,39,116,67,57.76,49,42.24,18039
18,40,251,191,76.1,60,23.9,18040
18,41,193,160,82.9,33,17.1,18041
18,42,86,66,76.74,20,23.26,18042
18,43,70,51,72.86,19,27.14,18043
18,44,76,58,76.32,18,23.68,18044
18,45,170,122,71.76,48,28.24,18045
18,46,152,105,69.08,47,30.92,18046
18,47,77,44,57.14,33,42.86,18047
18,48,86,75,87.21,11,12.79,18048
18,49,100,69,69.0,31,31.0,18049
18,50,99,68,68.69,31,31.31,18050
18,51,191,113,59.16,78,40.84,18051
18,52,173,96,55.49,77,44.51,18052
18,53,91,64,70.33,27,29.67,18053
18,54,176,111,63.07,65,36.93,18054
18,55,167,137,82.04,30,17.96,18055
18,56,84,65,77.38,19,22.62,18056
18,57,88,76,86.36,12,13.64,18057
18,58,98,62,63.27,36,36.73,18058
18,59,73,50,68.49,23,31.51,18059
18,60,123,89,72.36,34,27.64,18060
18,61,112,83,74.11,29,25.89,18061
18,62,99,79,79.8,20,20.2,18062
