ward,precinct,total,Rey ColÃ³n,Rey ColÃ³n Percent,Vilma Colom,Vilma Colom Percent,precinct_id
35,1,249,128,51.41,121,48.59,35001
35,2,203,96,47.29,107,52.71,35002
35,3,140,79,56.43,61,43.57,35003
35,4,236,180,76.27,56,23.73,35004
35,5,211,151,71.56,60,28.44,35005
35,6,161,99,61.49,62,38.51,35006
35,7,248,162,65.32,86,34.68,35007
35,8,149,104,69.8,45,30.2,35008
35,9,197,125,63.45,72,36.55,35009
35,10,162,117,72.22,45,27.78,35010
35,11,202,96,47.52,106,52.48,35011
35,12,194,142,73.2,52,26.8,35012
35,13,80,31,38.75,49,61.25,35013
35,14,212,144,67.92,68,32.08,35014
35,15,189,106,56.08,83,43.92,35015
35,16,170,107,62.94,63,37.06,35016
35,17,239,134,56.07,105,43.93,35017
35,18,231,130,56.28,101,43.72,35018
35,19,156,91,58.33,65,41.67,35019
35,20,195,128,65.64,67,34.36,35020
35,21,200,105,52.5,95,47.5,35021
35,22,100,48,48.0,52,52.0,35022
35,23,118,58,49.15,60,50.85,35023
35,24,134,57,42.54,77,57.46,35024
35,25,184,117,63.59,67,36.41,35025
35,26,192,147,76.56,45,23.44,35026
35,27,212,122,57.55,90,42.45,35027
35,28,188,135,71.81,53,28.19,35028
35,29,190,137,72.11,53,27.89,35029
35,30,231,161,69.7,70,30.3,35030
35,31,104,61,58.65,43,41.35,35031
35,32,161,135,83.85,26,16.15,35032
35,33,185,100,54.05,85,45.95,35033
35,34,175,124,70.86,51,29.14,35034
35,35,190,137,72.11,53,27.89,35035
35,36,155,82,52.9,73,47.1,35036
