ward,precinct,total,Dorothy J. Tillman,Dorothy J. Tillman Percent,Mell Monroe,Mell Monroe Percent,Pat Dowell,Pat Dowell Percent,Benjamin Harris,Benjamin Harris Percent,Angelo James,Angelo James Percent,precinct_id
3,1,200,66,33.0,47,23.5,80,40.0,0,0.0,7,3.5,03001
3,2,296,155,52.36,43,14.53,97,32.77,1,0.34,0,0.0,03002
3,3,175,33,18.86,81,46.29,57,32.57,4,2.29,0,0.0,03003
3,4,160,52,32.5,27,16.88,76,47.5,0,0.0,5,3.13,03004
3,5,199,103,51.76,20,10.05,72,36.18,3,1.51,1,0.5,03005
3,6,98,42,42.86,17,17.35,33,33.67,0,0.0,6,6.12,03006
3,7,235,125,53.19,59,25.11,49,20.85,1,0.43,1,0.43,03007
3,8,32,20,62.5,3,9.38,9,28.13,0,0.0,0,0.0,03008
3,9,180,89,49.44,25,13.89,64,35.56,1,0.56,1,0.56,03009
3,10,83,59,71.08,2,2.41,20,24.1,2,2.41,0,0.0,03010
3,11,214,68,31.78,50,23.36,94,43.93,0,0.0,2,0.93,03011
3,12,192,82,42.71,7,3.65,101,52.6,0,0.0,2,1.04,03012
3,13,153,41,26.8,12,7.84,92,60.13,3,1.96,5,3.27,03013
3,14,103,49,47.57,5,4.85,42,40.78,7,6.8,0,0.0,03014
3,15,203,70,34.48,32,15.76,94,46.31,4,1.97,3,1.48,03015
3,16,180,88,48.89,16,8.89,73,40.56,1,0.56,2,1.11,03016
3,17,132,59,44.7,3,2.27,69,52.27,0,0.0,1,0.76,03017
3,18,106,48,45.28,4,3.77,53,50.0,1,0.94,0,0.0,03018
3,19,6,2,33.33,1,16.67,3,50.0,0,0.0,0,0.0,03019
3,20,157,66,42.04,21,13.38,64,40.76,1,0.64,5,3.18,03020
3,21,94,41,43.62,11,11.7,41,43.62,0,0.0,1,1.06,03021
3,22,127,51,40.16,3,2.36,72,56.69,0,0.0,1,0.79,03022
3,23,25,10,40.0,0,0.0,8,32.0,7,28.0,0,0.0,03023
3,24,211,77,36.49,40,18.96,92,43.6,2,0.95,0,0.0,03024
3,25,126,73,57.94,5,3.97,48,38.1,0,0.0,0,0.0,03025
3,26,159,64,40.25,39,24.53,51,32.08,1,0.63,4,2.52,03026
3,27,163,50,30.67,34,20.86,75,46.01,1,0.61,3,1.84,03027
3,28,72,17,23.61,17,23.61,36,50.0,1,1.39,1,1.39,03028
3,29,156,81,51.92,13,8.33,56,35.9,5,3.21,1,0.64,03029
3,30,162,60,37.04,24,14.81,77,47.53,0,0.0,1,0.62,03030
3,31,268,146,54.48,19,7.09,85,31.72,2,0.75,16,5.97,03031
3,32,155,68,43.87,24,15.48,58,37.42,2,1.29,3,1.94,03032
3,33,244,101,41.39,43,17.62,85,34.84,13,5.33,2,0.82,03033
3,34,163,51,31.29,32,19.63,80,49.08,0,0.0,0,0.0,03034
3,35,191,56,29.32,56,29.32,76,39.79,1,0.52,2,1.05,03035
3,36,79,33,41.77,7,8.86,36,45.57,1,1.27,2,2.53,03036
3,37,74,28,37.84,18,24.32,28,37.84,0,0.0,0,0.0,03037
3,38,262,156,59.54,23,8.78,79,30.15,2,0.76,2,0.76,03038
3,39,256,170,66.41,22,8.59,61,23.83,2,0.78,1,0.39,03039
3,40,146,55,37.67,25,17.12,63,43.15,1,0.68,2,1.37,03040
3,41,176,100,56.82,23,13.07,47,26.7,3,1.7,3,1.7,03041
3,42,124,59,47.58,23,18.55,40,32.26,1,0.81,1,0.81,03042
3,43,78,47,60.26,14,17.95,15,19.23,1,1.28,1,1.28,03043
3,44,60,36,60.0,5,8.33,18,30.0,1,1.67,0,0.0,03044
3,45,209,73,34.93,57,27.27,72,34.45,4,1.91,3,1.44,03045
3,46,58,20,34.48,14,24.14,22,37.93,2,3.45,0,0.0,03046
3,47,126,53,42.06,10,7.94,60,47.62,2,1.59,1,0.79,03047
3,48,151,106,70.2,1,0.66,40,26.49,3,1.99,1,0.66,03048
3,49,50,22,44.0,5,10.0,22,44.0,0,0.0,1,2.0,03049
3,50,176,106,60.23,6,3.41,61,34.66,1,0.57,2,1.14,03050
3,51,58,20,34.48,4,6.9,33,56.9,1,1.72,0,0.0,03051
3,52,74,33,44.59,6,8.11,34,45.95,0,0.0,1,1.35,03052
3,53,143,50,34.97,41,28.67,49,34.27,2,1.4,1,0.7,03053
3,54,367,46,12.53,202,55.04,115,31.34,4,1.09,0,0.0,03054
