ward,precinct,total,John A. Pope,John A. Pope Percent,Thomas M. Malesh,Thomas M. Malesh Percent,Dinah Ramirez,Dinah Ramirez Percent,precinct_id
10,1,158,97,61.39,3,1.9,58,36.71,10001
10,2,150,111,74.0,30,20.0,9,6.0,10002
10,3,252,187,74.21,45,17.86,20,7.94,10003
10,4,165,62,37.58,2,1.21,101,61.21,10004
10,5,183,140,76.5,31,16.94,12,6.56,10005
10,6,143,100,69.93,12,8.39,31,21.68,10006
10,7,47,23,48.94,2,4.26,22,46.81,10007
10,8,209,137,65.55,54,25.84,18,8.61,10008
10,9,239,180,75.31,39,16.32,20,8.37,10009
10,10,226,186,82.3,23,10.18,17,7.52,10010
10,11,206,134,65.05,37,17.96,35,16.99,10011
10,12,174,132,75.86,9,5.17,33,18.97,10012
10,13,199,154,77.39,18,9.05,27,13.57,10013
10,14,233,179,76.82,24,10.3,30,12.88,10014
10,15,99,75,75.76,16,16.16,8,8.08,10015
10,16,218,176,80.73,35,16.06,7,3.21,10016
10,17,181,142,78.45,26,14.36,13,7.18,10017
10,18,142,87,61.27,4,2.82,51,35.92,10018
10,19,264,212,80.3,26,9.85,26,9.85,10019
10,20,176,143,81.25,12,6.82,21,11.93,10020
10,21,191,147,76.96,25,13.09,19,9.95,10021
10,22,32,21,65.63,7,21.88,4,12.5,10022
10,23,154,112,72.73,11,7.14,31,20.13,10023
10,24,217,152,70.05,57,26.27,8,3.69,10024
10,25,222,143,64.41,11,4.95,68,30.63,10025
10,26,165,99,60.0,14,8.48,52,31.52,10026
10,27,264,219,82.95,17,6.44,28,10.61,10027
10,28,106,75,70.75,6,5.66,25,23.58,10028
10,29,142,93,65.49,20,14.08,29,20.42,10029
10,30,223,166,74.44,10,4.48,47,21.08,10030
10,31,213,149,69.95,28,13.15,36,16.9,10031
10,32,215,122,56.74,41,19.07,52,24.19,10032
10,33,190,123,64.74,17,8.95,50,26.32,10033
10,34,200,120,60.0,13,6.5,67,33.5,10034
10,35,181,144,79.56,4,2.21,33,18.23,10035
10,36,205,130,63.41,3,1.46,72,35.12,10036
10,37,145,77,53.1,4,2.76,64,44.14,10037
10,38,250,181,72.4,25,10.0,44,17.6,10038
10,39,194,132,68.04,15,7.73,47,24.23,10039
10,40,151,109,72.19,6,3.97,36,23.84,10040
10,41,272,189,69.49,49,18.01,34,12.5,10041
10,42,189,123,65.08,44,23.28,22,11.64,10042
10,43,81,54,66.67,0,0.0,27,33.33,10043
10,44,187,134,71.66,11,5.88,42,22.46,10044
10,45,116,73,62.93,4,3.45,39,33.62,10045
10,46,213,155,72.77,22,10.33,36,16.9,10046
10,47,199,153,76.88,14,7.04,32,16.08,10047
10,48,121,70,57.85,7,5.79,44,36.36,10048
10,49,136,96,70.59,8,5.88,32,23.53,10049
