ward,precinct,total,Edward M. Burke,Edward M. Burke Percent,Paloma M. Andrade,Paloma M. Andrade Percent,precinct_id
14,1,98,92,93.88,6,6.12,14001
14,2,156,131,83.97,25,16.03,14002
14,3,183,164,89.62,19,10.38,14003
14,4,135,122,90.37,13,9.63,14004
14,5,189,165,87.3,24,12.7,14005
14,6,132,114,86.36,18,13.64,14006
14,7,143,120,83.92,23,16.08,14007
14,8,137,129,94.16,8,5.84,14008
14,9,176,160,90.91,16,9.09,14009
14,10,160,126,78.75,34,21.25,14010
14,11,122,111,90.98,11,9.02,14011
14,12,133,128,96.24,5,3.76,14012
14,13,199,187,93.97,12,6.03,14013
14,14,135,118,87.41,17,12.59,14014
14,15,202,192,95.05,10,4.95,14015
14,16,174,146,83.91,28,16.09,14016
14,17,180,165,91.67,15,8.33,14017
14,18,164,145,88.41,19,11.59,14018
14,19,201,188,93.53,13,6.47,14019
14,20,124,103,83.06,21,16.94,14020
14,21,174,162,93.1,12,6.9,14021
14,22,214,196,91.59,18,8.41,14022
14,23,191,163,85.34,28,14.66,14023
14,24,130,116,89.23,14,10.77,14024
14,25,195,178,91.28,17,8.72,14025
14,26,160,135,84.38,25,15.63,14026
14,27,199,181,90.95,18,9.05,14027
14,28,176,152,86.36,24,13.64,14028
14,29,181,169,93.37,12,6.63,14029
14,30,157,139,88.54,18,11.46,14030
14,31,163,153,93.87,10,6.13,14031
14,32,119,105,88.24,14,11.76,14032
14,33,129,121,93.8,8,6.2,14033
14,34,131,125,95.42,6,4.58,14034
14,35,141,126,89.36,15,10.64,14035
