ward,precinct,total,Billy Ocasio,Billy Ocasio Percent,Jesse D. Granato,Jesse D. Granato Percent,Samuel ''Sammy'' Maldonado,Samuel ''Sammy'' Maldonado Percent,Onix I. Vera,Onix I. Vera Percent,precinct_id
26,1,76,48,63.16,20,26.32,6,7.89,2,2.63,26001
26,2,119,87,73.11,18,15.13,12,10.08,2,1.68,26002
26,3,73,37,50.68,20,27.4,13,17.81,3,4.11,26003
26,4,65,40,61.54,17,26.15,6,9.23,2,3.08,26004
26,5,151,83,54.97,42,27.81,12,7.95,14,9.27,26005
26,6,92,70,76.09,3,3.26,17,18.48,2,2.17,26006
26,7,64,41,64.06,11,17.19,12,18.75,0,0.0,26007
26,8,79,50,63.29,11,13.92,12,15.19,6,7.59,26008
26,9,87,62,71.26,5,5.75,6,6.9,14,16.09,26009
26,10,73,63,86.3,2,2.74,5,6.85,3,4.11,26010
26,11,112,68,60.71,25,22.32,17,15.18,2,1.79,26011
26,12,90,41,45.56,18,20.0,19,21.11,12,13.33,26012
26,13,109,66,60.55,30,27.52,5,4.59,8,7.34,26013
26,14,91,72,79.12,6,6.59,10,10.99,3,3.3,26014
26,15,91,73,80.22,7,7.69,9,9.89,2,2.2,26015
26,16,76,53,69.74,13,17.11,8,10.53,2,2.63,26016
26,17,81,64,79.01,13,16.05,2,2.47,2,2.47,26017
26,18,67,45,67.16,8,11.94,4,5.97,10,14.93,26018
26,19,138,72,52.17,26,18.84,30,21.74,10,7.25,26019
26,20,132,73,55.3,25,18.94,30,22.73,4,3.03,26020
26,21,113,80,70.8,9,7.96,21,18.58,3,2.65,26021
26,22,62,32,51.61,13,20.97,14,22.58,3,4.84,26022
26,23,94,63,67.02,13,13.83,13,13.83,5,5.32,26023
26,24,65,38,58.46,23,35.38,4,6.15,0,0.0,26024
26,25,58,39,67.24,7,12.07,10,17.24,2,3.45,26025
26,26,69,46,66.67,14,20.29,8,11.59,1,1.45,26026
26,27,112,84,75.0,9,8.04,17,15.18,2,1.79,26027
26,28,105,80,76.19,9,8.57,9,8.57,7,6.67,26028
26,29,92,55,59.78,9,9.78,19,20.65,9,9.78,26029
26,30,54,26,48.15,21,38.89,3,5.56,4,7.41,26030
26,31,135,91,67.41,28,20.74,15,11.11,1,0.74,26031
26,32,98,66,67.35,16,16.33,10,10.2,6,6.12,26032
26,33,60,49,81.67,10,16.67,1,1.67,0,0.0,26033
26,34,74,48,64.86,13,17.57,8,10.81,5,6.76,26034
26,35,88,52,59.09,15,17.05,16,18.18,5,5.68,26035
26,36,85,42,49.41,13,15.29,21,24.71,9,10.59,26036
26,37,76,52,68.42,7,9.21,14,18.42,3,3.95,26037
26,38,54,38,70.37,4,7.41,11,20.37,1,1.85,26038
26,39,93,50,53.76,6,6.45,6,6.45,31,33.33,26039
26,40,68,30,44.12,34,50.0,4,5.88,0,0.0,26040
26,41,110,83,75.45,15,13.64,8,7.27,4,3.64,26041
26,42,42,31,73.81,4,9.52,7,16.67,0,0.0,26042
26,43,83,65,78.31,3,3.61,9,10.84,6,7.23,26043
26,44,61,49,80.33,6,9.84,3,4.92,3,4.92,26044
26,45,121,82,67.77,12,9.92,14,11.57,13,10.74,26045
26,46,106,65,61.32,29,27.36,7,6.6,5,4.72,26046
26,47,65,47,72.31,10,15.38,5,7.69,3,4.62,26047
26,48,121,84,69.42,19,15.7,16,13.22,2,1.65,26048
26,49,83,57,68.67,9,10.84,11,13.25,6,7.23,26049
26,50,58,40,68.97,6,10.34,12,20.69,0,0.0,26050
26,51,107,81,75.7,13,12.15,13,12.15,0,0.0,26051
26,52,43,25,58.14,5,11.63,11,25.58,2,4.65,26052
26,53,66,55,83.33,8,12.12,2,3.03,1,1.52,26053
26,54,65,45,69.23,8,12.31,8,12.31,4,6.15,26054
26,55,86,55,63.95,18,20.93,9,10.47,4,4.65,26055
26,56,96,58,60.42,11,11.46,22,22.92,5,5.21,26056
26,57,82,49,59.76,11,13.41,15,18.29,7,8.54,26057
26,58,86,69,80.23,6,6.98,7,8.14,4,4.65,26058
26,59,120,82,68.33,14,11.67,15,12.5,9,7.5,26059
26,60,84,41,48.81,27,32.14,10,11.9,6,7.14,26060
26,61,59,42,71.19,6,10.17,8,13.56,3,5.08,26061
26,62,102,65,63.73,23,22.55,5,4.9,9,8.82,26062
26,63,54,37,68.52,12,22.22,3,5.56,2,3.7,26063
