ward,precinct,total,Patrick J. O'Connor,Patrick J. O'Connor Percent,precinct_id
40,1,100,100,100.0,40001
40,2,82,82,100.0,40002
40,3,104,104,100.0,40003
40,4,116,116,100.0,40004
40,5,102,102,100.0,40005
40,6,91,91,100.0,40006
40,7,102,102,100.0,40007
40,8,31,31,100.0,40008
40,9,91,91,100.0,40009
40,10,162,162,100.0,40010
40,11,97,97,100.0,40011
40,12,100,100,100.0,40012
40,13,117,117,100.0,40013
40,14,98,98,100.0,40014
40,15,145,145,100.0,40015
40,16,175,175,100.0,40016
40,17,85,85,100.0,40017
40,18,129,129,100.0,40018
40,19,156,156,100.0,40019
40,20,120,120,100.0,40020
40,21,117,117,100.0,40021
40,22,42,42,100.0,40022
40,23,112,112,100.0,40023
40,24,91,91,100.0,40024
40,25,112,112,100.0,40025
40,26,125,125,100.0,40026
40,27,99,99,100.0,40027
40,28,125,125,100.0,40028
40,29,165,165,100.0,40029
40,30,188,188,100.0,40030
40,31,144,144,100.0,40031
40,32,91,91,100.0,40032
40,33,113,113,100.0,40033
40,34,94,94,100.0,40034
40,35,158,158,100.0,40035
40,36,157,157,100.0,40036
40,37,100,100,100.0,40037
40,38,80,80,100.0,40038
40,39,111,111,100.0,40039
40,40,85,85,100.0,40040
40,41,136,136,100.0,40041
40,42,145,145,100.0,40042
40,43,115,115,100.0,40043
40,44,110,110,100.0,40044
40,45,182,182,100.0,40045
40,46,159,159,100.0,40046
40,47,103,103,100.0,40047
40,48,90,90,100.0,40048
40,49,73,73,100.0,40049
