ward,precinct,total,"Jesse L. Jackson, Jr.","Jesse L. Jackson, Jr. Percent",Robert Belin,Robert Belin Percent,Anthony W. Williams,Anthony W. Williams Percent,precinct_id
5,1,310,303,97.74,2,0.65,5,1.61,05001
5,4,190,185,97.37,2,1.05,3,1.58,05004
5,6,318,309,97.17,4,1.26,5,1.57,05006
5,7,297,277,93.27,8,2.69,12,4.04,05007
5,11,313,275,87.86,23,7.35,15,4.79,05011
5,14,373,335,89.81,22,5.9,16,4.29,05014
5,21,308,294,95.45,5,1.62,9,2.92,05021
5,24,256,234,91.41,11,4.3,11,4.3,05024
5,26,296,288,97.3,4,1.35,4,1.35,05026
5,28,306,291,95.1,8,2.61,7,2.29,05028
5,29,301,281,93.36,10,3.32,10,3.32,05029
5,31,227,222,97.8,2,0.88,3,1.32,05031
5,32,407,385,94.59,15,3.69,7,1.72,05032
5,34,281,272,96.8,1,0.36,8,2.85,05034
5,36,168,165,98.21,1,0.6,2,1.19,05036
5,37,236,206,87.29,16,6.78,14,5.93,05037
5,38,297,273,91.92,15,5.05,9,3.03,05038
5,40,276,266,96.38,4,1.45,6,2.17,05040
5,42,282,267,94.68,4,1.42,11,3.9,05042
5,43,302,293,97.02,4,1.32,5,1.66,05043
5,44,353,338,95.75,7,1.98,8,2.27,05044
5,46,311,276,88.75,20,6.43,15,4.82,05046
5,47,219,212,96.8,1,0.46,6,2.74,05047
5,49,62,62,100.0,0,0.0,0,0.0,05049
5,54,388,377,97.16,4,1.03,7,1.8,05054
6,21,276,269,97.46,4,1.45,3,1.09,06021
6,22,270,267,98.89,1,0.37,2,0.74,06022
6,64,333,320,96.1,4,1.2,9,2.7,06064
7,1,313,304,97.12,2,0.64,7,2.24,07001
7,2,324,312,96.3,5,1.54,7,2.16,07002
7,3,175,168,96.0,3,1.71,4,2.29,07003
7,4,227,217,95.59,5,2.2,5,2.2,07004
7,5,232,220,94.83,6,2.59,6,2.59,07005
7,6,227,224,98.68,1,0.44,2,0.88,07006
7,7,171,161,94.15,4,2.34,6,3.51,07007
7,8,107,103,96.26,3,2.8,1,0.93,07008
7,9,247,236,95.55,4,1.62,7,2.83,07009
7,10,188,178,94.68,5,2.66,5,2.66,07010
7,11,282,270,95.74,3,1.06,9,3.19,07011
7,12,194,190,97.94,0,0.0,4,2.06,07012
7,13,173,167,96.53,3,1.73,3,1.73,07013
7,14,282,264,93.62,5,1.77,13,4.61,07014
7,15,149,146,97.99,1,0.67,2,1.34,07015
7,16,197,189,95.94,2,1.02,6,3.05,07016
7,17,166,163,98.19,1,0.6,2,1.2,07017
7,18,178,163,91.57,8,4.49,7,3.93,07018
7,19,369,357,96.75,6,1.63,6,1.63,07019
7,20,143,142,99.3,1,0.7,0,0.0,07020
7,21,255,248,97.25,3,1.18,4,1.57,07021
7,22,183,173,94.54,7,3.83,3,1.64,07022
7,23,169,166,98.22,1,0.59,2,1.18,07023
7,24,242,231,95.45,3,1.24,8,3.31,07024
7,25,315,304,96.51,5,1.59,6,1.9,07025
7,26,337,322,95.55,5,1.48,10,2.97,07026
7,27,366,355,96.99,3,0.82,8,2.19,07027
7,28,261,255,97.7,4,1.53,2,0.77,07028
7,29,149,146,97.99,1,0.67,2,1.34,07029
7,30,285,273,95.79,3,1.05,9,3.16,07030
7,31,247,241,97.57,2,0.81,4,1.62,07031
7,32,234,214,91.45,16,6.84,4,1.71,07032
