ward,precinct,total,Kwame Raoul,Kwame Raoul Percent,Charles Kinzer,Charles Kinzer Percent,precinct_id
2,7,276,271,98.19,5,1.81,02007
2,8,354,276,77.97,78,22.03,02008
2,14,26,26,100.0,0,0.0,02014
2,18,302,221,73.18,81,26.82,02018
2,19,336,234,69.64,102,30.36,02019
2,20,258,245,94.96,13,5.04,02020
2,21,291,252,86.6,39,13.4,02021
2,26,469,374,79.74,95,20.26,02026
2,31,162,157,96.91,5,3.09,02031
2,37,379,305,80.47,74,19.53,02037
2,40,347,296,85.3,51,14.7,02040
2,44,190,186,97.89,4,2.11,02044
2,46,345,339,98.26,6,1.74,02046
2,49,43,30,69.77,13,30.23,02049
2,60,545,365,66.97,180,33.03,02060
3,2,309,297,96.12,12,3.88,03002
3,4,170,168,98.82,2,1.18,03004
3,5,227,213,93.83,14,6.17,03005
3,7,219,213,97.26,6,2.74,03007
3,9,92,91,98.91,1,1.09,03009
3,11,50,47,94.0,3,6.0,03011
3,16,208,208,100.0,0,0.0,03016
3,20,179,173,96.65,6,3.35,03020
3,30,194,191,98.45,3,1.55,03030
3,31,302,296,98.01,6,1.99,03031
3,34,181,177,97.79,4,2.21,03034
3,38,217,214,98.62,3,1.38,03038
3,39,261,250,95.79,11,4.21,03039
3,45,208,188,90.38,20,9.62,03045
3,49,0,0,0.0,0,0.0,03049
4,1,237,226,95.36,11,4.64,04001
4,2,324,318,98.15,6,1.85,04002
4,3,368,362,98.37,6,1.63,04003
4,4,332,330,99.4,2,0.6,04004
4,5,312,305,97.76,7,2.24,04005
4,7,288,285,98.96,3,1.04,04007
4,8,295,293,99.32,2,0.68,04008
4,9,542,529,97.6,13,2.4,04009
4,10,293,284,96.93,9,3.07,04010
4,11,282,275,97.52,7,2.48,04011
4,12,166,161,96.99,5,3.01,04012
4,13,242,231,95.45,11,4.55,04013
4,14,233,232,99.57,1,0.43,04014
4,15,185,179,96.76,6,3.24,04015
4,16,342,334,97.66,8,2.34,04016
4,17,295,275,93.22,20,6.78,04017
4,18,300,293,97.67,7,2.33,04018
4,19,304,298,98.03,6,1.97,04019
4,20,92,91,98.91,1,1.09,04020
4,21,369,350,94.85,19,5.15,04021
4,22,403,389,96.53,14,3.47,04022
4,23,207,196,94.69,11,5.31,04023
4,24,313,303,96.81,10,3.19,04024
4,25,300,293,97.67,7,2.33,04025
4,26,313,310,99.04,3,0.96,04026
4,27,250,248,99.2,2,0.8,04027
4,28,217,205,94.47,12,5.53,04028
4,29,272,252,92.65,20,7.35,04029
4,30,71,68,95.77,3,4.23,04030
4,31,133,132,99.25,1,0.75,04031
4,32,355,326,91.83,29,8.17,04032
4,33,182,176,96.7,6,3.3,04033
4,34,262,237,90.46,25,9.54,04034
4,35,207,202,97.58,5,2.42,04035
4,36,169,167,98.82,2,1.18,04036
4,37,117,113,96.58,4,3.42,04037
4,38,427,408,95.55,19,4.45,04038
4,39,169,166,98.22,3,1.78,04039
4,40,260,247,95.0,13,5.0,04040
4,41,169,158,93.49,11,6.51,04041
4,42,316,306,96.84,10,3.16,04042
4,43,221,213,96.38,8,3.62,04043
4,44,224,210,93.75,14,6.25,04044
4,45,465,445,95.7,20,4.3,04045
4,46,244,237,97.13,7,2.87,04046
4,47,415,399,96.14,16,3.86,04047
4,48,396,370,93.43,26,6.57,04048
4,49,210,207,98.57,3,1.43,04049
4,50,247,242,97.98,5,2.02,04050
4,51,300,293,97.67,7,2.33,04051
4,52,338,334,98.82,4,1.18,04052
4,53,249,242,97.19,7,2.81,04053
4,54,157,150,95.54,7,4.46,04054
4,55,215,194,90.23,21,9.77,04055
5,1,298,295,98.99,3,1.01,05001
5,2,233,224,96.14,9,3.86,05002
5,3,165,159,96.36,6,3.64,05003
5,5,238,230,96.64,8,3.36,05005
5,6,303,297,98.02,6,1.98,05006
5,7,286,276,96.5,10,3.5,05007
5,8,407,377,92.63,30,7.37,05008
5,9,255,251,98.43,4,1.57,05009
5,10,266,263,98.87,3,1.13,05010
5,11,302,274,90.73,28,9.27,05011
