ward,precinct,total,Susana Mendoza,Susana Mendoza Percent,Suzanne Ramos,Suzanne Ramos Percent,precinct_id
11,3,195,170,87.18,25,12.82,11003
12,2,174,154,88.51,20,11.49,12002
12,3,184,164,89.13,20,10.87,12003
12,4,157,144,91.72,13,8.28,12004
12,5,160,143,89.38,17,10.63,12005
12,6,145,129,88.97,16,11.03,12006
12,8,56,48,85.71,8,14.29,12008
12,9,6,6,100.0,0,0.0,12009
12,10,172,148,86.05,24,13.95,12010
12,11,264,244,92.42,20,7.58,12011
12,12,172,148,86.05,24,13.95,12012
12,13,243,211,86.83,32,13.17,12013
12,14,160,138,86.25,22,13.75,12014
12,17,200,185,92.5,15,7.5,12017
12,19,220,195,88.64,25,11.36,12019
12,20,174,155,89.08,19,10.92,12020
12,21,212,182,85.85,30,14.15,12021
12,23,166,153,92.17,13,7.83,12023
12,24,229,206,89.96,23,10.04,12024
14,7,205,178,86.83,27,13.17,14007
14,8,139,133,95.68,6,4.32,14008
14,10,219,187,85.39,32,14.61,14010
14,12,149,133,89.26,16,10.74,14012
14,14,169,155,91.72,14,8.28,14014
14,16,218,192,88.07,26,11.93,14016
14,17,265,245,92.45,20,7.55,14017
14,18,200,185,92.5,15,7.5,14018
14,19,255,237,92.94,18,7.06,14019
14,20,171,152,88.89,19,11.11,14020
14,21,208,202,97.12,6,2.88,14021
14,22,249,224,89.96,25,10.04,14022
14,23,252,226,89.68,26,10.32,14023
14,26,249,221,88.76,28,11.24,14026
14,29,248,228,91.94,20,8.06,14029
14,30,161,145,90.06,16,9.94,14030
14,31,229,215,93.89,14,6.11,14031
14,33,164,155,94.51,9,5.49,14033
14,34,25,25,100.0,0,0.0,14034
14,35,192,183,95.31,9,4.69,14035
16,11,243,235,96.71,8,3.29,16011
16,13,165,147,89.09,18,10.91,16013
16,21,177,166,93.79,11,6.21,16021
16,23,193,173,89.64,20,10.36,16023
16,32,92,85,92.39,7,7.61,16032
16,42,160,150,93.75,10,6.25,16042
20,4,187,176,94.12,11,5.88,20004
20,21,112,106,94.64,6,5.36,20021
22,8,172,163,94.77,9,5.23,22008
22,9,208,194,93.27,14,6.73,22009
22,11,185,170,91.89,15,8.11,22011
22,15,153,141,92.16,12,7.84,22015
22,22,144,131,90.97,13,9.03,22022
22,28,92,88,95.65,4,4.35,22028
