ward,precinct,total,Joseph M. Lyons,Joseph M. Lyons Percent,precinct_id
36,6,189,189,100.0,36006
36,13,47,47,100.0,36013
36,26,231,231,100.0,36026
36,41,63,63,100.0,36041
36,43,178,178,100.0,36043
38,1,238,238,100.0,38001
38,2,171,171,100.0,38002
38,4,99,99,100.0,38004
38,5,2,2,100.0,38005
38,6,220,220,100.0,38006
38,8,141,141,100.0,38008
38,9,164,164,100.0,38009
38,11,141,141,100.0,38011
38,12,242,242,100.0,38012
38,13,197,197,100.0,38013
38,14,171,171,100.0,38014
38,15,144,144,100.0,38015
38,17,168,168,100.0,38017
38,18,209,209,100.0,38018
38,19,258,258,100.0,38019
38,21,190,190,100.0,38021
38,22,197,197,100.0,38022
38,23,146,146,100.0,38023
38,25,181,181,100.0,38025
38,26,166,166,100.0,38026
38,27,123,123,100.0,38027
38,28,164,164,100.0,38028
38,29,190,190,100.0,38029
38,30,198,198,100.0,38030
38,31,233,233,100.0,38031
38,32,229,229,100.0,38032
38,33,171,171,100.0,38033
38,35,238,238,100.0,38035
38,36,192,192,100.0,38036
38,37,193,193,100.0,38037
38,39,185,185,100.0,38039
38,40,146,146,100.0,38040
38,41,269,269,100.0,38041
38,42,255,255,100.0,38042
38,43,217,217,100.0,38043
38,44,210,210,100.0,38044
38,45,242,242,100.0,38045
38,46,190,190,100.0,38046
38,47,194,194,100.0,38047
38,48,193,193,100.0,38048
38,49,178,178,100.0,38049
38,50,202,202,100.0,38050
38,51,162,162,100.0,38051
38,52,193,193,100.0,38052
41,53,284,284,100.0,41053
45,1,192,192,100.0,45001
45,2,265,265,100.0,45002
45,3,331,331,100.0,45003
45,6,261,261,100.0,45006
45,7,201,201,100.0,45007
45,8,199,199,100.0,45008
45,9,260,260,100.0,45009
45,11,232,232,100.0,45011
45,13,287,287,100.0,45013
45,15,250,250,100.0,45015
45,16,261,261,100.0,45016
45,17,229,229,100.0,45017
45,18,257,257,100.0,45018
45,19,270,270,100.0,45019
45,20,235,235,100.0,45020
45,21,229,229,100.0,45021
45,22,228,228,100.0,45022
45,23,260,260,100.0,45023
45,25,252,252,100.0,45025
45,26,269,269,100.0,45026
45,27,234,234,100.0,45027
45,28,220,220,100.0,45028
45,29,239,239,100.0,45029
45,30,245,245,100.0,45030
45,31,230,230,100.0,45031
45,32,148,148,100.0,45032
45,33,234,234,100.0,45033
45,34,182,182,100.0,45034
45,35,243,243,100.0,45035
45,37,257,257,100.0,45037
45,38,271,271,100.0,45038
45,39,274,274,100.0,45039
45,40,264,264,100.0,45040
45,41,163,163,100.0,45041
45,42,241,241,100.0,45042
45,43,210,210,100.0,45043
45,44,252,252,100.0,45044
45,45,203,203,100.0,45045
45,46,244,244,100.0,45046
45,47,260,260,100.0,45047
45,48,237,237,100.0,45048
45,49,261,261,100.0,45049
45,50,215,215,100.0,45050
45,51,241,241,100.0,45051
45,52,255,255,100.0,45052
45,53,184,184,100.0,45053
