ward,precinct,total,Maria Antonia ''Toni'' Berrios,Maria Antonia ''Toni'' Berrios Percent,precinct_id
1,7,96,96,100.0,01007
1,9,219,219,100.0,01009
1,13,260,260,100.0,01013
1,20,239,239,100.0,01020
1,24,295,295,100.0,01024
1,29,203,203,100.0,01029
1,30,314,314,100.0,01030
1,31,71,71,100.0,01031
1,34,138,138,100.0,01034
1,38,125,125,100.0,01038
1,39,237,237,100.0,01039
1,41,3,3,100.0,01041
26,8,118,118,100.0,26008
26,19,192,192,100.0,26019
26,34,139,139,100.0,26034
26,51,134,134,100.0,26051
30,9,114,114,100.0,30009
30,18,129,129,100.0,30018
30,19,101,101,100.0,30019
30,25,98,98,100.0,30025
30,36,139,139,100.0,30036
31,1,89,89,100.0,31001
31,2,99,99,100.0,31002
31,4,128,128,100.0,31004
31,5,151,151,100.0,31005
31,6,154,154,100.0,31006
31,7,133,133,100.0,31007
31,9,129,129,100.0,31009
31,11,107,107,100.0,31011
31,13,121,121,100.0,31013
31,14,118,118,100.0,31014
31,16,86,86,100.0,31016
31,18,133,133,100.0,31018
31,19,121,121,100.0,31019
31,22,96,96,100.0,31022
31,28,142,142,100.0,31028
31,30,159,159,100.0,31030
31,31,188,188,100.0,31031
31,32,178,178,100.0,31032
31,33,149,149,100.0,31033
31,38,83,83,100.0,31038
31,41,129,129,100.0,31041
31,46,133,133,100.0,31046
31,47,177,177,100.0,31047
31,48,135,135,100.0,31048
31,49,69,69,100.0,31049
31,50,152,152,100.0,31050
32,14,199,199,100.0,32014
32,16,112,112,100.0,32016
35,1,250,250,100.0,35001
35,3,156,156,100.0,35003
35,5,202,202,100.0,35005
35,6,209,209,100.0,35006
35,7,284,284,100.0,35007
35,8,248,248,100.0,35008
35,9,226,226,100.0,35009
35,10,253,253,100.0,35010
35,11,211,211,100.0,35011
35,12,255,255,100.0,35012
35,13,71,71,100.0,35013
35,14,251,251,100.0,35014
35,15,202,202,100.0,35015
35,16,241,241,100.0,35016
35,17,243,243,100.0,35017
35,18,252,252,100.0,35018
35,19,207,207,100.0,35019
35,20,188,188,100.0,35020
35,21,203,203,100.0,35021
35,24,148,148,100.0,35024
35,25,213,213,100.0,35025
35,27,263,263,100.0,35027
35,28,252,252,100.0,35028
35,29,284,284,100.0,35029
35,30,287,287,100.0,35030
35,31,126,126,100.0,35031
35,33,54,54,100.0,35033
35,34,214,214,100.0,35034
35,36,166,166,100.0,35036
38,53,23,23,100.0,38053
