ward,precinct,registered,ballots,turnout,precinct_id
1,1,630,99,15.71,01001
1,2,603,67,11.11,01002
1,3,480,58,12.08,01003
1,4,586,99,16.89,01004
1,5,626,82,13.1,01005
1,6,532,91,17.11,01006
1,7,614,88,14.33,01007
1,8,547,88,16.09,01008
1,9,491,121,24.64,01009
1,10,604,97,16.06,01010
1,11,526,73,13.88,01011
1,12,577,94,16.29,01012
1,13,619,134,21.65,01013
1,14,526,118,22.43,01014
1,15,515,95,18.45,01015
1,16,322,56,17.39,01016
1,17,475,70,14.74,01017
1,18,465,87,18.71,01018
1,19,399,106,26.57,01019
1,20,532,177,33.27,01020
1,21,460,82,17.83,01021
1,22,478,101,21.13,01022
1,23,487,68,13.96,01023
1,24,660,170,25.76,01024
1,25,451,77,17.07,01025
1,26,420,56,13.33,01026
1,27,463,62,13.39,01027
1,28,508,132,25.98,01028
1,29,541,96,17.74,01029
1,30,719,196,27.26,01030
1,31,644,69,10.71,01031
1,32,604,139,23.01,01032
1,33,536,98,18.28,01033
1,34,479,56,11.69,01034
1,35,382,40,10.47,01035
1,36,535,78,14.58,01036
1,37,551,73,13.25,01037
1,38,395,53,13.42,01038
1,39,652,105,16.1,01039
1,40,303,68,22.44,01040
1,41,537,121,22.53,01041
1,42,407,59,14.5,01042
1,43,553,75,13.56,01043
1,44,455,58,12.75,01044
1,45,625,91,14.56,01045
1,46,616,87,14.12,01046
1,47,543,59,10.87,01047
1,48,342,100,29.24,01048
1,49,352,35,9.94,01049
1,50,446,67,15.02,01050
2,1,710,144,20.28,02001
2,2,29,6,20.69,02002
2,3,685,114,16.64,02003
2,4,562,130,23.13,02004
2,5,363,89,24.52,02005
2,6,759,79,10.41,02006
2,7,544,216,39.71,02007
2,8,621,178,28.66,02008
2,9,354,117,33.05,02009
2,10,172,32,18.6,02010
2,11,237,94,39.66,02011
2,12,778,112,14.4,02012
2,13,417,144,34.53,02013
2,14,539,245,45.45,02014
2,15,104,23,22.12,02015
2,16,773,105,13.58,02016
2,17,596,123,20.64,02017
2,18,503,151,30.02,02018
2,19,113,8,7.08,02019
2,20,480,243,50.63,02020
2,21,493,239,48.48,02021
2,22,691,280,40.52,02022
2,23,365,111,30.41,02023
2,24,327,84,25.69,02024
2,25,286,84,29.37,02025
2,26,892,209,23.43,02026
2,27,449,136,30.29,02027
2,28,384,48,12.5,02028
2,29,182,55,30.22,02029
2,30,499,83,16.63,02030
2,31,506,210,41.5,02031
2,32,352,58,16.48,02032
2,33,528,88,16.67,02033
2,34,489,235,48.06,02034
2,35,494,38,7.69,02035
2,36,283,109,38.52,02036
2,37,598,168,28.09,02037
2,38,501,202,40.32,02038
2,39,597,131,21.94,02039
2,40,629,196,31.16,02040
2,41,368,74,20.11,02041
2,42,253,30,11.86,02042
2,43,628,255,40.61,02043
2,44,355,163,45.92,02044
2,45,609,119,19.54,02045
2,46,627,267,42.58,02046
2,47,460,135,29.35,02047
2,48,493,109,22.11,02048
2,49,755,128,16.95,02049
2,50,420,93,22.14,02050
2,51,509,80,15.72,02051
2,52,680,167,24.56,02052
2,53,326,54,16.56,02053
2,54,603,147,24.38,02054
2,55,134,34,25.37,02055
2,56,490,162,33.06,02056
2,57,193,168,87.05,02057
2,58,299,59,19.73,02058
2,59,430,198,46.05,02059
2,60,660,164,24.85,02060
2,61,484,100,20.66,02061
3,1,469,190,40.51,03001
3,2,475,265,55.79,03002
3,3,357,120,33.61,03003
3,4,313,118,37.7,03004
3,5,492,183,37.2,03005
3,6,598,72,12.04,03006
3,7,363,216,59.5,03007
3,8,978,70,7.16,03008
3,9,321,140,43.61,03009
3,10,292,74,25.34,03010
3,11,465,161,34.62,03011
3,12,512,171,33.4,03012
3,13,461,120,26.03,03013
3,14,174,107,61.49,03014
3,15,535,165,30.84,03015
3,16,371,161,43.4,03016
3,17,342,115,33.63,03017
3,18,304,111,36.51,03018
3,19,99,11,11.11,03019
3,20,353,125,35.41,03020
3,21,345,80,23.19,03021
3,22,300,100,33.33,03022
3,23,125,38,30.4,03023
3,24,361,142,39.34,03024
3,25,403,127,31.51,03025
3,26,563,142,25.22,03026
3,27,505,163,32.28,03027
3,28,464,58,12.5,03028
3,29,337,138,40.95,03029
3,30,361,143,39.61,03030
3,31,514,237,46.11,03031
3,32,386,113,29.27,03032
3,33,655,189,28.85,03033
3,34,272,117,43.01,03034
3,35,382,135,35.34,03035
3,36,253,67,26.48,03036
3,37,202,61,30.2,03037
3,38,449,231,51.45,03038
3,39,468,294,62.82,03039
3,40,350,114,32.57,03040
3,41,602,166,27.57,03041
3,42,389,109,28.02,03042
3,43,320,58,18.13,03043
3,44,278,63,22.66,03044
3,45,389,104,26.74,03045
3,46,334,83,24.85,03046
3,47,409,112,27.38,03047
3,48,435,129,29.66,03048
3,49,150,53,35.33,03049
3,50,458,133,29.04,03050
3,51,250,53,21.2,03051
3,52,291,67,23.02,03052
3,53,602,162,26.91,03053
3,54,826,170,20.58,03054
4,1,406,160,39.41,04001
4,2,442,267,60.41,04002
4,3,666,264,39.64,04003
4,4,641,258,40.25,04004
4,5,532,227,42.67,04005
4,6,183,93,50.82,04006
4,7,564,209,37.06,04007
4,8,548,236,43.07,04008
4,9,755,423,56.03,04009
4,10,593,209,35.24,04010
4,11,518,191,36.87,04011
4,12,360,110,30.56,04012
4,13,412,150,36.41,04013
4,14,461,145,31.45,04014
4,15,369,133,36.04,04015
4,16,690,264,38.26,04016
4,17,433,196,45.27,04017
4,18,603,225,37.31,04018
4,19,639,223,34.9,04019
4,20,331,89,26.89,04020
4,21,582,236,40.55,04021
4,22,613,286,46.66,04022
4,23,409,153,37.41,04023
4,24,595,236,39.66,04024
4,25,488,234,47.95,04025
4,26,546,207,37.91,04026
4,27,416,194,46.63,04027
4,28,366,135,36.89,04028
4,29,372,173,46.51,04029
4,30,281,40,14.23,04030
4,31,182,113,62.09,04031
4,32,541,215,39.74,04032
4,33,282,110,39.01,04033
4,34,402,157,39.05,04034
4,35,418,126,30.14,04035
4,36,320,102,31.88,04036
4,37,404,79,19.55,04037
4,38,647,286,44.2,04038
4,39,374,122,32.62,04039
4,40,561,176,31.37,04040
4,41,277,92,33.21,04041
