ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,precinct_id
2,7,189,189,100.0,02007
2,14,230,230,100.0,02014
2,18,121,121,100.0,02018
2,20,212,212,100.0,02020
2,21,183,183,100.0,02021
2,26,162,162,100.0,02026
2,31,183,183,100.0,02031
2,44,139,139,100.0,02044
2,46,252,252,100.0,02046
2,60,124,124,100.0,02060
2,61,78,78,100.0,02061
3,1,165,165,100.0,03001
3,2,227,227,100.0,03002
3,4,99,99,100.0,03004
3,5,156,156,100.0,03005
3,6,59,59,100.0,03006
3,7,171,171,100.0,03007
3,8,58,58,100.0,03008
3,9,126,126,100.0,03009
3,11,147,147,100.0,03011
3,15,141,141,100.0,03015
3,16,137,137,100.0,03016
3,19,7,7,100.0,03019
3,20,104,104,100.0,03020
3,23,29,29,100.0,03023
3,24,118,118,100.0,03024
3,28,47,47,100.0,03028
3,30,121,121,100.0,03030
3,31,196,196,100.0,03031
3,32,101,101,100.0,03032
3,33,169,169,100.0,03033
3,34,101,101,100.0,03034
3,35,116,116,100.0,03035
3,37,52,52,100.0,03037
3,38,191,191,100.0,03038
3,39,240,240,100.0,03039
3,40,104,104,100.0,03040
3,41,143,143,100.0,03041
3,43,50,50,100.0,03043
3,46,67,67,100.0,03046
3,49,47,47,100.0,03049
3,53,127,127,100.0,03053
4,1,138,138,100.0,04001
4,2,248,248,100.0,04002
4,3,234,234,100.0,04003
4,4,227,227,100.0,04004
4,5,194,194,100.0,04005
4,6,88,88,100.0,04006
4,7,188,188,100.0,04007
4,8,207,207,100.0,04008
4,9,393,393,100.0,04009
4,10,191,191,100.0,04010
4,11,168,168,100.0,04011
4,12,100,100,100.0,04012
4,13,127,127,100.0,04013
4,14,124,124,100.0,04014
4,15,121,121,100.0,04015
4,16,217,217,100.0,04016
4,17,163,163,100.0,04017
4,18,203,203,100.0,04018
4,19,205,205,100.0,04019
4,20,72,72,100.0,04020
4,21,202,202,100.0,04021
4,22,239,239,100.0,04022
4,23,131,131,100.0,04023
4,24,206,206,100.0,04024
4,25,218,218,100.0,04025
4,26,182,182,100.0,04026
4,27,174,174,100.0,04027
4,28,110,110,100.0,04028
4,29,144,144,100.0,04029
4,30,29,29,100.0,04030
4,31,103,103,100.0,04031
4,32,150,150,100.0,04032
4,33,97,97,100.0,04033
4,34,119,119,100.0,04034
4,35,104,104,100.0,04035
4,36,91,91,100.0,04036
4,37,63,63,100.0,04037
4,38,249,249,100.0,04038
4,39,106,106,100.0,04039
4,40,152,152,100.0,04040
4,41,69,69,100.0,04041
4,42,224,224,100.0,04042
4,43,113,113,100.0,04043
4,44,109,109,100.0,04044
4,45,377,377,100.0,04045
4,46,146,146,100.0,04046
4,47,216,216,100.0,04047
4,48,227,227,100.0,04048
4,49,159,159,100.0,04049
4,50,167,167,100.0,04050
4,51,237,237,100.0,04051
4,52,240,240,100.0,04052
4,53,166,166,100.0,04053
4,54,94,94,100.0,04054
4,55,92,92,100.0,04055
5,1,180,180,100.0,05001
5,2,140,140,100.0,05002
5,3,83,83,100.0,05003
5,4,136,136,100.0,05004
5,5,150,150,100.0,05005
5,6,199,199,100.0,05006
5,7,181,181,100.0,05007
5,8,142,142,100.0,05008
5,9,163,163,100.0,05009
5,10,151,151,100.0,05010
5,11,139,139,100.0,05011
5,12,111,111,100.0,05012
5,13,150,150,100.0,05013
5,14,201,201,100.0,05014
5,15,137,137,100.0,05015
5,16,131,131,100.0,05016
5,17,203,203,100.0,05017
5,18,161,161,100.0,05018
5,19,88,88,100.0,05019
5,20,81,81,100.0,05020
5,21,215,215,100.0,05021
5,22,176,176,100.0,05022
5,23,128,128,100.0,05023
5,24,170,170,100.0,05024
5,25,173,173,100.0,05025
5,26,194,194,100.0,05026
5,27,129,129,100.0,05027
5,28,190,190,100.0,05028
5,29,188,188,100.0,05029
5,30,102,102,100.0,05030
5,31,146,146,100.0,05031
5,32,285,285,100.0,05032
5,33,132,132,100.0,05033
5,34,178,178,100.0,05034
5,35,133,133,100.0,05035
5,36,89,89,100.0,05036
5,37,139,139,100.0,05037
5,38,155,155,100.0,05038
5,39,151,151,100.0,05039
5,40,158,158,100.0,05040
5,41,97,97,100.0,05041
