ward,precinct,total,Roberto Maldonado,Roberto Maldonado Percent,precinct_id
1,1,74,74,100.0,01001
1,6,15,15,100.0,01006
1,7,77,77,100.0,01007
1,9,104,104,100.0,01009
1,13,121,121,100.0,01013
1,15,82,82,100.0,01015
1,16,37,37,100.0,01016
1,18,60,60,100.0,01018
1,19,85,85,100.0,01019
1,20,118,118,100.0,01020
1,22,86,86,100.0,01022
1,23,48,48,100.0,01023
1,24,140,140,100.0,01024
1,27,51,51,100.0,01027
1,28,95,95,100.0,01028
1,29,75,75,100.0,01029
1,30,163,163,100.0,01030
1,32,72,72,100.0,01032
1,33,69,69,100.0,01033
1,34,46,46,100.0,01034
1,38,44,44,100.0,01038
1,39,96,96,100.0,01039
1,40,56,56,100.0,01040
1,41,98,98,100.0,01041
1,42,48,48,100.0,01042
1,43,63,63,100.0,01043
1,44,38,38,100.0,01044
1,45,72,72,100.0,01045
26,1,46,46,100.0,26001
26,2,79,79,100.0,26002
26,3,50,50,100.0,26003
26,4,54,54,100.0,26004
26,5,96,96,100.0,26005
26,6,76,76,100.0,26006
26,7,41,41,100.0,26007
26,8,57,57,100.0,26008
26,9,36,36,100.0,26009
26,10,44,44,100.0,26010
26,11,60,60,100.0,26011
26,12,57,57,100.0,26012
26,13,78,78,100.0,26013
26,14,58,58,100.0,26014
26,15,49,49,100.0,26015
26,16,56,56,100.0,26016
26,17,32,32,100.0,26017
26,18,45,45,100.0,26018
26,19,95,95,100.0,26019
26,20,90,90,100.0,26020
26,21,63,63,100.0,26021
26,22,38,38,100.0,26022
26,23,55,55,100.0,26023
26,24,51,51,100.0,26024
26,25,43,43,100.0,26025
26,26,60,60,100.0,26026
26,27,86,86,100.0,26027
26,28,57,57,100.0,26028
26,29,54,54,100.0,26029
26,30,47,47,100.0,26030
26,31,100,100,100.0,26031
26,32,76,76,100.0,26032
26,33,26,26,100.0,26033
26,34,57,57,100.0,26034
26,35,61,61,100.0,26035
26,36,54,54,100.0,26036
26,37,40,40,100.0,26037
26,38,42,42,100.0,26038
26,39,39,39,100.0,26039
26,40,34,34,100.0,26040
26,41,62,62,100.0,26041
26,42,44,44,100.0,26042
26,43,54,54,100.0,26043
26,44,35,35,100.0,26044
26,45,69,69,100.0,26045
26,46,42,42,100.0,26046
26,47,52,52,100.0,26047
26,48,77,77,100.0,26048
26,49,50,50,100.0,26049
26,50,29,29,100.0,26050
26,51,86,86,100.0,26051
26,52,22,22,100.0,26052
26,53,41,41,100.0,26053
26,54,61,61,100.0,26054
26,55,44,44,100.0,26055
26,56,61,61,100.0,26056
26,57,48,48,100.0,26057
26,58,53,53,100.0,26058
26,59,88,88,100.0,26059
26,60,51,51,100.0,26060
26,61,38,38,100.0,26061
26,62,76,76,100.0,26062
26,63,25,25,100.0,26063
27,4,72,72,100.0,27004
27,13,61,61,100.0,27013
27,18,12,12,100.0,27018
27,27,2,2,100.0,27027
27,32,107,107,100.0,27032
27,35,78,78,100.0,27035
27,38,51,51,100.0,27038
27,59,97,97,100.0,27059
29,2,87,87,100.0,29002
29,6,61,61,100.0,29006
29,7,66,66,100.0,29007
29,24,80,80,100.0,29024
29,30,80,80,100.0,29030
29,39,83,83,100.0,29039
29,52,70,70,100.0,29052
30,3,118,118,100.0,30003
30,4,62,62,100.0,30004
30,5,50,50,100.0,30005
30,6,65,65,100.0,30006
30,8,87,87,100.0,30008
30,12,70,70,100.0,30012
30,15,114,114,100.0,30015
30,16,89,89,100.0,30016
30,17,61,61,100.0,30017
30,18,62,62,100.0,30018
30,19,49,49,100.0,30019
30,20,65,65,100.0,30020
30,21,90,90,100.0,30021
30,22,87,87,100.0,30022
30,23,79,79,100.0,30023
30,24,81,81,100.0,30024
30,25,44,44,100.0,30025
30,26,60,60,100.0,30026
30,27,107,107,100.0,30027
