ward,precinct,total,Alexander Giannoulias,Alexander Giannoulias Percent,Paul L. Mangieri,Paul L. Mangieri Percent,precinct_id
1,1,87,64,73.56,23,26.44,01001
1,2,59,38,64.41,21,35.59,01002
1,3,49,41,83.67,8,16.33,01003
1,4,82,57,69.51,25,30.49,01004
1,5,68,53,77.94,15,22.06,01005
1,6,82,50,60.98,32,39.02,01006
1,7,78,53,67.95,25,32.05,01007
1,8,75,47,62.67,28,37.33,01008
1,9,113,82,72.57,31,27.43,01009
1,10,82,53,64.63,29,35.37,01010
1,11,58,43,74.14,15,25.86,01011
1,12,81,65,80.25,16,19.75,01012
1,13,128,97,75.78,31,24.22,01013
1,14,101,70,69.31,31,30.69,01014
1,15,79,60,75.95,19,24.05,01015
1,16,40,29,72.5,11,27.5,01016
1,17,59,46,77.97,13,22.03,01017
1,18,67,48,71.64,19,28.36,01018
1,19,94,67,71.28,27,28.72,01019
1,20,125,90,72.0,35,28.0,01020
1,21,75,56,74.67,19,25.33,01021
1,22,87,65,74.71,22,25.29,01022
1,23,56,39,69.64,17,30.36,01023
1,24,156,113,72.44,43,27.56,01024
1,25,69,51,73.91,18,26.09,01025
1,26,51,37,72.55,14,27.45,01026
1,27,56,43,76.79,13,23.21,01027
1,28,102,77,75.49,25,24.51,01028
1,29,84,64,76.19,20,23.81,01029
1,30,184,130,70.65,54,29.35,01030
1,31,65,44,67.69,21,32.31,01031
1,32,102,79,77.45,23,22.55,01032
1,33,80,52,65.0,28,35.0,01033
1,34,54,44,81.48,10,18.52,01034
1,35,34,24,70.59,10,29.41,01035
1,36,68,54,79.41,14,20.59,01036
1,37,64,45,70.31,19,29.69,01037
1,38,44,32,72.73,12,27.27,01038
1,39,95,71,74.74,24,25.26,01039
1,40,57,41,71.93,16,28.07,01040
1,41,101,73,72.28,28,27.72,01041
1,42,57,49,85.96,8,14.04,01042
1,43,60,45,75.0,15,25.0,01043
1,44,49,29,59.18,20,40.82,01044
1,45,74,58,78.38,16,21.62,01045
1,46,77,58,75.32,19,24.68,01046
1,47,51,44,86.27,7,13.73,01047
1,48,78,47,60.26,31,39.74,01048
1,49,32,28,87.5,4,12.5,01049
1,50,59,44,74.58,15,25.42,01050
2,1,131,99,75.57,32,24.43,02001
2,2,3,1,33.33,2,66.67,02002
2,3,99,74,74.75,25,25.25,02003
2,4,97,71,73.2,26,26.8,02004
2,5,78,57,73.08,21,26.92,02005
2,6,76,57,75.0,19,25.0,02006
2,7,192,134,69.79,58,30.21,02007
2,8,158,122,77.22,36,22.78,02008
2,9,101,77,76.24,24,23.76,02009
2,10,28,19,67.86,9,32.14,02010
2,11,79,54,68.35,25,31.65,02011
2,12,100,72,72.0,28,28.0,02012
2,13,121,89,73.55,32,26.45,02013
2,14,224,178,79.46,46,20.54,02014
2,15,18,12,66.67,6,33.33,02015
2,16,94,70,74.47,24,25.53,02016
2,17,102,79,77.45,23,22.55,02017
2,18,140,99,70.71,41,29.29,02018
2,19,5,4,80.0,1,20.0,02019
2,20,203,156,76.85,47,23.15,02020
2,21,190,135,71.05,55,28.95,02021
2,22,256,199,77.73,57,22.27,02022
2,23,97,66,68.04,31,31.96,02023
2,24,67,46,68.66,21,31.34,02024
2,25,73,53,72.6,20,27.4,02025
2,26,183,144,78.69,39,21.31,02026
2,27,108,68,62.96,40,37.04,02027
