ward,precinct,total,Luis V. Gutierrez,Luis V. Gutierrez Percent,precinct_id
1,1,2,2,100.0,01001
1,2,50,50,100.0,01002
1,3,42,42,100.0,01003
1,4,80,80,100.0,01004
1,5,65,65,100.0,01005
1,7,77,77,100.0,01007
1,8,64,64,100.0,01008
1,9,108,108,100.0,01009
1,10,76,76,100.0,01010
1,11,44,44,100.0,01011
1,12,75,75,100.0,01012
1,13,120,120,100.0,01013
1,14,98,98,100.0,01014
1,15,86,86,100.0,01015
1,16,41,41,100.0,01016
1,17,56,56,100.0,01017
1,18,66,66,100.0,01018
1,19,89,89,100.0,01019
1,20,126,126,100.0,01020
1,21,74,74,100.0,01021
1,22,87,87,100.0,01022
1,23,52,52,100.0,01023
1,24,145,145,100.0,01024
1,25,58,58,100.0,01025
1,26,41,41,100.0,01026
1,27,54,54,100.0,01027
1,28,103,103,100.0,01028
1,29,80,80,100.0,01029
1,30,173,173,100.0,01030
1,31,64,64,100.0,01031
1,32,107,107,100.0,01032
1,33,76,76,100.0,01033
1,34,51,51,100.0,01034
1,35,34,34,100.0,01035
1,36,67,67,100.0,01036
1,37,61,61,100.0,01037
1,38,45,45,100.0,01038
1,39,89,89,100.0,01039
1,40,57,57,100.0,01040
1,41,102,102,100.0,01041
1,42,48,48,100.0,01042
1,43,59,59,100.0,01043
1,44,36,36,100.0,01044
1,45,80,80,100.0,01045
1,46,64,64,100.0,01046
1,47,45,45,100.0,01047
1,48,62,62,100.0,01048
1,49,32,32,100.0,01049
1,50,54,54,100.0,01050
3,13,108,108,100.0,03013
11,3,97,97,100.0,11003
11,10,80,80,100.0,11010
11,18,17,17,100.0,11018
11,26,2,2,100.0,11026
12,1,53,53,100.0,12001
12,2,84,84,100.0,12002
12,3,78,78,100.0,12003
12,4,68,68,100.0,12004
12,5,94,94,100.0,12005
12,6,78,78,100.0,12006
12,7,88,88,100.0,12007
12,8,146,146,100.0,12008
12,9,107,107,100.0,12009
12,10,94,94,100.0,12010
12,11,154,154,100.0,12011
12,12,69,69,100.0,12012
12,13,137,137,100.0,12013
12,14,63,63,100.0,12014
12,15,89,89,100.0,12015
12,16,76,76,100.0,12016
12,17,127,127,100.0,12017
12,18,60,60,100.0,12018
12,19,112,112,100.0,12019
12,20,86,86,100.0,12020
12,21,116,116,100.0,12021
12,22,87,87,100.0,12022
12,23,92,92,100.0,12023
12,24,126,126,100.0,12024
13,3,183,183,100.0,13003
14,1,103,103,100.0,14001
14,3,167,167,100.0,14003
14,4,112,112,100.0,14004
14,5,181,181,100.0,14005
14,6,123,123,100.0,14006
14,7,107,107,100.0,14007
14,8,88,88,100.0,14008
14,9,153,153,100.0,14009
14,10,126,126,100.0,14010
14,11,112,112,100.0,14011
14,12,119,119,100.0,14012
14,13,193,193,100.0,14013
14,14,102,102,100.0,14014
14,15,156,156,100.0,14015
14,16,111,111,100.0,14016
14,17,145,145,100.0,14017
14,18,112,112,100.0,14018
14,19,176,176,100.0,14019
14,20,109,109,100.0,14020
14,21,148,148,100.0,14021
14,22,158,158,100.0,14022
14,23,133,133,100.0,14023
14,24,81,81,100.0,14024
14,26,151,151,100.0,14026
14,27,161,161,100.0,14027
14,29,150,150,100.0,14029
14,30,102,102,100.0,14030
14,31,126,126,100.0,14031
14,32,117,117,100.0,14032
14,33,102,102,100.0,14033
14,34,134,134,100.0,14034
14,35,103,103,100.0,14035
16,21,82,82,100.0,16021
16,32,82,82,100.0,16032
20,4,90,90,100.0,20004
20,8,49,49,100.0,20008
20,15,98,98,100.0,20015
20,21,51,51,100.0,20021
22,1,81,81,100.0,22001
22,2,83,83,100.0,22002
22,3,134,134,100.0,22003
22,4,116,116,100.0,22004
22,5,131,131,100.0,22005
22,6,123,123,100.0,22006
22,8,88,88,100.0,22008
22,9,128,128,100.0,22009
22,10,106,106,100.0,22010
22,11,92,92,100.0,22011
22,12,99,99,100.0,22012
22,13,135,135,100.0,22013
22,14,80,80,100.0,22014
22,15,96,96,100.0,22015
22,16,139,139,100.0,22016
22,17,104,104,100.0,22017
22,18,118,118,100.0,22018
22,20,138,138,100.0,22020
22,22,83,83,100.0,22022
22,23,116,116,100.0,22023
22,24,107,107,100.0,22024
22,25,94,94,100.0,22025
22,26,100,100,100.0,22026
22,27,126,126,100.0,22027
22,28,76,76,100.0,22028
22,29,80,80,100.0,22029
23,9,167,167,100.0,23009
23,24,110,110,100.0,23024
23,29,148,148,100.0,23029
24,53,145,145,100.0,24053
24,57,121,121,100.0,24057
25,1,137,137,100.0,25001
25,2,194,194,100.0,25002
25,5,147,147,100.0,25005
25,6,77,77,100.0,25006
25,7,126,126,100.0,25007
25,8,149,149,100.0,25008
25,9,198,198,100.0,25009
25,11,152,152,100.0,25011
25,12,120,120,100.0,25012
25,13,177,177,100.0,25013
25,15,149,149,100.0,25015
25,17,231,231,100.0,25017
25,19,157,157,100.0,25019
25,20,168,168,100.0,25020
25,22,74,74,100.0,25022
25,23,176,176,100.0,25023
25,24,151,151,100.0,25024
25,30,140,140,100.0,25030
25,31,56,56,100.0,25031
26,1,48,48,100.0,26001
26,2,91,91,100.0,26002
26,3,46,46,100.0,26003
26,4,55,55,100.0,26004
26,5,95,95,100.0,26005
26,6,75,75,100.0,26006
26,7,41,41,100.0,26007
26,8,59,59,100.0,26008
26,9,42,42,100.0,26009
26,10,49,49,100.0,26010
26,11,56,56,100.0,26011
26,12,57,57,100.0,26012
26,13,81,81,100.0,26013
26,14,52,52,100.0,26014
26,15,47,47,100.0,26015
26,16,55,55,100.0,26016
26,18,45,45,100.0,26018
26,19,95,95,100.0,26019
26,20,88,88,100.0,26020
26,21,66,66,100.0,26021
26,22,36,36,100.0,26022
26,23,59,59,100.0,26023
26,24,49,49,100.0,26024
26,25,42,42,100.0,26025
26,26,62,62,100.0,26026
26,27,82,82,100.0,26027
26,28,55,55,100.0,26028
26,29,55,55,100.0,26029
26,30,46,46,100.0,26030
26,31,84,84,100.0,26031
26,32,75,75,100.0,26032
26,34,61,61,100.0,26034
26,35,60,60,100.0,26035
26,36,58,58,100.0,26036
26,37,40,40,100.0,26037
26,38,39,39,100.0,26038
26,39,41,41,100.0,26039
26,40,38,38,100.0,26040
26,41,61,61,100.0,26041
26,42,48,48,100.0,26042
26,43,53,53,100.0,26043
26,44,38,38,100.0,26044
26,45,72,72,100.0,26045
26,46,12,12,100.0,26046
26,47,47,47,100.0,26047
26,48,80,80,100.0,26048
26,49,52,52,100.0,26049
26,50,30,30,100.0,26050
26,51,85,85,100.0,26051
26,52,22,22,100.0,26052
26,53,39,39,100.0,26053
26,54,62,62,100.0,26054
26,55,44,44,100.0,26055
26,56,66,66,100.0,26056
26,57,54,54,100.0,26057
26,58,51,51,100.0,26058
26,59,87,87,100.0,26059
26,60,62,62,100.0,26060
26,61,38,38,100.0,26061
26,62,80,80,100.0,26062
26,63,28,28,100.0,26063
27,13,67,67,100.0,27013
27,18,21,21,100.0,27018
27,32,113,113,100.0,27032
27,35,79,79,100.0,27035
27,38,57,57,100.0,27038
27,41,73,73,100.0,27041
27,56,56,56,100.0,27056
27,59,125,125,100.0,27059
28,29,99,99,100.0,28029
28,34,20,20,100.0,28034
28,38,55,55,100.0,28038
29,6,61,61,100.0,29006
29,7,79,79,100.0,29007
29,24,2,2,100.0,29024
29,39,85,85,100.0,29039
29,52,78,78,100.0,29052
30,4,65,65,100.0,30004
