ward,precinct,total,John J. Cullerton,John J. Cullerton Percent,precinct_id
1,28,3,3,100.0,01028
1,42,1,1,100.0,01042
32,7,46,46,100.0,32007
32,8,102,102,100.0,32008
32,9,149,149,100.0,32009
32,10,77,77,100.0,32010
32,13,29,29,100.0,32013
32,15,62,62,100.0,32015
32,16,26,26,100.0,32016
32,18,62,62,100.0,32018
32,19,83,83,100.0,32019
32,20,88,88,100.0,32020
32,21,78,78,100.0,32021
32,22,109,109,100.0,32022
32,23,111,111,100.0,32023
32,24,70,70,100.0,32024
32,25,76,76,100.0,32025
32,27,77,77,100.0,32027
32,28,73,73,100.0,32028
32,29,4,4,100.0,32029
32,30,57,57,100.0,32030
32,32,71,71,100.0,32032
32,34,26,26,100.0,32034
32,37,65,65,100.0,32037
32,38,83,83,100.0,32038
32,39,97,97,100.0,32039
32,40,96,96,100.0,32040
32,41,100,100,100.0,32041
32,42,104,104,100.0,32042
32,43,98,98,100.0,32043
32,44,104,104,100.0,32044
32,45,85,85,100.0,32045
32,47,94,94,100.0,32047
32,48,110,110,100.0,32048
32,49,55,55,100.0,32049
32,50,84,84,100.0,32050
33,7,230,230,100.0,33007
33,8,128,128,100.0,33008
33,10,231,231,100.0,33010
33,24,211,211,100.0,33024
40,5,98,98,100.0,40005
40,6,87,87,100.0,40006
40,20,86,86,100.0,40020
42,8,129,129,100.0,42008
42,10,56,56,100.0,42010
42,15,105,105,100.0,42015
42,16,54,54,100.0,42016
42,26,133,133,100.0,42026
42,28,116,116,100.0,42028
42,30,65,65,100.0,42030
42,33,163,163,100.0,42033
42,34,100,100,100.0,42034
42,36,74,74,100.0,42036
43,2,87,87,100.0,43002
43,4,101,101,100.0,43004
43,6,74,74,100.0,43006
43,7,114,114,100.0,43007
43,8,129,129,100.0,43008
43,12,132,132,100.0,43012
43,14,103,103,100.0,43014
43,16,103,103,100.0,43016
43,17,86,86,100.0,43017
43,18,119,119,100.0,43018
43,20,102,102,100.0,43020
43,21,102,102,100.0,43021
43,22,61,61,100.0,43022
43,23,76,76,100.0,43023
43,24,111,111,100.0,43024
43,25,108,108,100.0,43025
43,26,88,88,100.0,43026
43,27,88,88,100.0,43027
43,28,100,100,100.0,43028
43,29,79,79,100.0,43029
43,31,109,109,100.0,43031
43,32,106,106,100.0,43032
43,33,32,32,100.0,43033
43,34,31,31,100.0,43034
43,36,73,73,100.0,43036
43,38,66,66,100.0,43038
43,39,58,58,100.0,43039
43,41,43,43,100.0,43041
43,42,105,105,100.0,43042
43,43,55,55,100.0,43043
43,44,74,74,100.0,43044
43,45,39,39,100.0,43045
43,46,128,128,100.0,43046
43,48,84,84,100.0,43048
43,49,95,95,100.0,43049
43,50,62,62,100.0,43050
43,52,58,58,100.0,43052
43,53,103,103,100.0,43053
43,56,54,54,100.0,43056
43,57,51,51,100.0,43057
43,58,66,66,100.0,43058
43,59,115,115,100.0,43059
44,1,111,111,100.0,44001
44,2,75,75,100.0,44002
44,3,142,142,100.0,44003
44,4,139,139,100.0,44004
44,5,97,97,100.0,44005
44,6,82,82,100.0,44006
44,7,140,140,100.0,44007
44,8,48,48,100.0,44008
44,9,64,64,100.0,44009
44,10,44,44,100.0,44010
44,11,93,93,100.0,44011
44,12,64,64,100.0,44012
44,13,65,65,100.0,44013
44,14,73,73,100.0,44014
44,15,143,143,100.0,44015
44,16,85,85,100.0,44016
44,17,116,116,100.0,44017
44,18,67,67,100.0,44018
44,19,50,50,100.0,44019
44,20,65,65,100.0,44020
44,21,105,105,100.0,44021
44,22,130,130,100.0,44022
44,23,73,73,100.0,44023
44,24,68,68,100.0,44024
44,25,90,90,100.0,44025
44,26,60,60,100.0,44026
44,27,84,84,100.0,44027
44,28,67,67,100.0,44028
44,29,92,92,100.0,44029
44,30,93,93,100.0,44030
44,31,84,84,100.0,44031
44,32,71,71,100.0,44032
44,33,96,96,100.0,44033
44,34,69,69,100.0,44034
44,35,99,99,100.0,44035
44,36,63,63,100.0,44036
44,37,159,159,100.0,44037
44,38,71,71,100.0,44038
44,39,78,78,100.0,44039
44,40,101,101,100.0,44040
44,41,79,79,100.0,44041
44,42,124,124,100.0,44042
44,43,110,110,100.0,44043
44,44,125,125,100.0,44044
44,45,104,104,100.0,44045
44,46,81,81,100.0,44046
44,47,114,114,100.0,44047
44,48,91,91,100.0,44048
44,49,210,210,100.0,44049
44,50,81,81,100.0,44050
44,51,71,71,100.0,44051
46,1,251,251,100.0,46001
46,3,143,143,100.0,46003
46,5,50,50,100.0,46005
46,10,65,65,100.0,46010
46,13,96,96,100.0,46013
46,15,116,116,100.0,46015
46,17,154,154,100.0,46017
46,18,146,146,100.0,46018
46,24,66,66,100.0,46024
46,28,106,106,100.0,46028
46,29,124,124,100.0,46029
46,30,141,141,100.0,46030
46,31,117,117,100.0,46031
46,33,127,127,100.0,46033
46,36,143,143,100.0,46036
46,37,48,48,100.0,46037
46,43,162,162,100.0,46043
46,44,102,102,100.0,46044
47,1,140,140,100.0,47001
47,2,131,131,100.0,47002
47,3,97,97,100.0,47003
47,4,183,183,100.0,47004
47,6,181,181,100.0,47006
47,7,132,132,100.0,47007
47,8,205,205,100.0,47008
47,9,131,131,100.0,47009
47,12,129,129,100.0,47012
47,13,236,236,100.0,47013
47,14,99,99,100.0,47014
47,15,123,123,100.0,47015
47,16,149,149,100.0,47016
47,17,145,145,100.0,47017
47,18,159,159,100.0,47018
47,21,159,159,100.0,47021
47,24,110,110,100.0,47024
47,25,144,144,100.0,47025
47,27,115,115,100.0,47027
47,29,124,124,100.0,47029
47,35,199,199,100.0,47035
47,40,100,100,100.0,47040
47,42,108,108,100.0,47042
47,43,100,100,100.0,47043
47,44,138,138,100.0,47044
47,46,100,100,100.0,47046
47,47,127,127,100.0,47047
47,48,38,38,100.0,47048
47,49,76,76,100.0,47049
47,50,102,102,100.0,47050
47,51,105,105,100.0,47051
47,52,40,40,100.0,47052
