ward,precinct,total,James D. Brosnahan,James D. Brosnahan Percent,precinct_id
18,19,176,176,100.0,18019
18,24,191,191,100.0,18024
18,25,54,54,100.0,18025
18,26,118,118,100.0,18026
18,30,85,85,100.0,18030
18,32,186,186,100.0,18032
18,34,215,215,100.0,18034
18,45,156,156,100.0,18045
18,46,168,168,100.0,18046
18,51,182,182,100.0,18051
18,52,157,157,100.0,18052
18,53,114,114,100.0,18053
19,9,167,167,100.0,19009
19,56,255,255,100.0,19056
21,15,131,131,100.0,21015
21,29,75,75,100.0,21029
21,35,86,86,100.0,21035
21,36,121,121,100.0,21036
21,57,119,119,100.0,21057
21,70,150,150,100.0,21070
21,71,94,94,100.0,21071
21,73,175,175,100.0,21073
