ward,precinct,total,Deborah L. Graham,Deborah L. Graham Percent,precinct_id
28,16,87,87,100.0,28016
28,47,124,124,100.0,28047
29,4,191,191,100.0,29004
29,5,166,166,100.0,29005
29,8,116,116,100.0,29008
29,11,179,179,100.0,29011
29,13,164,164,100.0,29013
29,18,211,211,100.0,29018
29,23,178,178,100.0,29023
29,29,222,222,100.0,29029
29,33,200,200,100.0,29033
29,35,128,128,100.0,29035
29,37,160,160,100.0,29037
29,40,296,296,100.0,29040
29,41,208,208,100.0,29041
29,43,277,277,100.0,29043
29,44,215,215,100.0,29044
29,45,149,149,100.0,29045
29,46,132,132,100.0,29046
29,47,230,230,100.0,29047
29,50,127,127,100.0,29050
29,51,153,153,100.0,29051
36,2,106,106,100.0,36002
36,16,233,233,100.0,36016
36,22,153,153,100.0,36022
36,23,86,86,100.0,36023
36,24,151,151,100.0,36024
36,33,120,120,100.0,36033
36,44,160,160,100.0,36044
36,45,144,144,100.0,36045
36,54,178,178,100.0,36054
36,55,200,200,100.0,36055
37,5,178,178,100.0,37005
37,6,182,182,100.0,37006
37,7,175,175,100.0,37007
37,9,152,152,100.0,37009
37,17,125,125,100.0,37017
37,18,158,158,100.0,37018
37,29,158,158,100.0,37029
37,32,165,165,100.0,37032
37,35,160,160,100.0,37035
37,37,158,158,100.0,37037
37,38,174,174,100.0,37038
